date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,70.05,70.99,69.81,70.67,3665141,0.18,0.26%,70.67,258835314.15,36116
2018-03-09,70.38,70.82,69.33,70.49,6813029,0.74,1.06%,70.49,477354100.20,50690
2018-03-08,71.43,71.58,69.15,69.75,8753859,-1.68,-2.35%,69.75,612309011.72,59641
2018-03-07,71.06,72.14,70.58,71.43,7684566,-0.36,-0.50%,71.43,549192486.41,57506
2018-03-06,74.25,74.64,69.94,71.79,20019672,-3.35,-4.46%,71.79,1437269989.61,128296
2018-03-05,74.77,75.75,73.9475,75.14,7654766,-0.01,-0.01%,75.14,574918717.41,53893
2018-03-02,73.63,75.48,73.30,75.15,4956236,1.02,1.38%,75.15,370098443.18,41042
2018-03-01,75.51,75.55,73.00,74.13,7084406,-1.28,-1.70%,74.13,524935795.94,60167
2018-02-28,76.06,76.68,75.41,75.41,5520482,-0.16,-0.21%,75.41,419293763.21,39435
2018-02-27,77.74,78.43,75.27,75.57,6234349,-1.33,-1.73%,75.57,475291175.65,51536
2018-02-26,76.25,76.99,75.18,76.90,5779338,1.49,1.98%,76.90,441938700.67,41649
2018-02-23,75.52,76.30,74.29,75.41,5475570,0.38,0.51%,75.41,411318762.42,37754
2018-02-22,73.49,75.96,73.47,75.03,6987057,2.07,2.84%,75.03,525128744.32,51600
2018-02-21,73.22,74.68,72.92,72.96,8645235,0.10,0.14%,72.96,636422934.04,43220
2018-02-20,72.84,73.84,71.68,72.86,7085994,-2.22,-2.96%,72.86,516300304.22,48867
2018-02-16,76.14,76.81,75.31,75.70,4278959,-0.337,-0.45%,75.08,325381905.36,27159
2018-02-15,75.72,76.21,75.12,76.04,3428640,0.684,0.92%,75.4172,259924413.24,30745
2018-02-14,74.29,76.62,74.06,75.35,7388726,1.458,1.99%,74.7329,558298993.30,56031
2018-02-13,71.86,73.95,71.675,73.88,4417541,1.984,2.78%,73.2749,323994079.49,34089
2018-02-12,73.13,73.23,71.53,71.88,4624506,-0.565,-0.79%,71.2913,333468054.58,33920
2018-02-09,71.81,72.97,68.91,72.45,7733215,1.329,1.88%,71.8566,549733676.26,62313
2018-02-08,73.51,73.89,71.07,71.11,5705455,-2.122,-2.92%,70.5276,411258667.46,41443
2018-02-07,72.53,74.145,72.34,73.25,6521872,0.536,0.74%,72.6501,478888362.88,44939
2018-02-06,69.54,73.06,68.39,72.71,8051554,1.924,2.74%,72.1145,575917166.45,64074
2018-02-05,72.45,74.17,70.51,70.77,6518197,-2.162,-2.99%,70.1904,471869058.67,51853
2018-02-02,74.28,74.49,72.72,72.95,6807824,-2.003,-2.69%,72.3525,501121208.32,48482
2018-02-01,74.63,75.65,74.15,74.97,4649130,-0.248,-0.33%,74.356,349326464.76,34200
2018-01-31,75.39,75.75,74.595,75.22,8706323,0.119,0.16%,74.6039,655917232.07,39373
2018-01-30,76.39,76.70,74.82,75.10,5626261,-1.686,-2.21%,74.4849,424363380.27,40187
2018-01-29,76.67,77.14,76.38,76.80,3489411,-0.149,-0.19%,76.171,268049068.23,27160
2018-01-26,76.62,77.02,75.815,76.95,4981242,0.645,0.85%,76.3198,381208861.31,33046
2018-01-25,77.55,77.56,75.76,76.30,6347651,-0.585,-0.77%,75.6751,483558416.47,51099
2018-01-24,78.29,78.29,76.37,76.89,9765064,-1.22,-1.57%,76.2603,752353574.39,47734
2018-01-23,78.58,78.70,77.84,78.12,5372678,-0.456,-0.59%,77.4802,420259791.81,37345
2018-01-22,78.11,78.64,77.57,78.58,5621598,0.476,0.61%,77.9364,440285393.62,33147
2018-01-19,78.17,78.17,76.89,78.10,7808136,0.198,0.26%,77.4604,607443192.76,45783
2018-01-18,76.86,77.91,76.26,77.90,7668552,1.071,1.41%,77.262,592334838.05,46228
2018-01-17,74.99,77.25,74.831,76.82,7083696,1.845,2.48%,76.1908,540999190.24,52173
2018-01-16,76.88,77.58,74.64,74.96,10167886,-1.825,-2.40%,74.3461,773962939.17,74895
2018-01-12,74.54,77.00,74.45,76.80,14845951,2.777,3.78%,76.171,1133063913.11,94346
2018-01-11,70.90,74.06,70.50,74.00,12185998,3.243,4.62%,73.3939,887249256.01,72413
2018-01-10,69.41,71.76,69.30,70.73,10985166,1.577,2.30%,70.1507,776624674.07,73851
2018-01-09,69.52,70.02,68.50,69.14,18160831,1.944,2.92%,68.5737,1257862922.66,98172
2018-01-08,67.20,68.32,66.245,67.18,8337187,0.625,0.95%,66.6298,559482815.98,51706
2018-01-05,66.38,66.74,65.95,66.55,5549663,0.694,1.06%,66.005,368446677.29,37152
2018-01-04,67.23,67.82,65.06,65.85,7124496,-1.309,-1.97%,65.3107,468746083.29,49764
2018-01-03,68.63,68.84,67.10,67.17,6057471,-0.456,-0.68%,66.6199,409697353.96,45632
2018-01-02,65.95,68.13,65.95,67.63,8509007,2.361,3.65%,67.0761,573907454.62,57784
2017-12-29,65.21,65.74,64.89,65.25,5058071,0.426,0.66%,64.7156,330783979.23,25461
2017-12-28,65.23,65.41,64.60,64.82,2467514,-0.317,-0.49%,64.2891,160079405.69,18643
2017-12-27,66.00,66.11,65.065,65.14,3510584,-0.674,-1.03%,64.6065,229417261.20,21294
2017-12-26,65.40,66.45,65.25,65.82,2637746,0.426,0.66%,65.2809,174130659.75,20181
2017-12-22,65.12,65.47,64.67,65.39,3938890,0.169,0.26%,64.8545,256963281.23,25668
2017-12-21,64.77,65.735,64.52,65.22,7640858,0.734,1.15%,64.6858,499196034.37,40106
2017-12-20,64.34,65.24,64.1744,64.48,8163829,0.417,0.66%,63.9519,527710592.32,45864
2017-12-19,64.33,64.64,63.87,64.06,6424939,-0.02,-0.03%,63.5353,412458326.67,37115
2017-12-18,63.60,64.42,63.35,64.08,6372484,1.458,2.35%,63.5552,407891861.24,42236
2017-12-15,62.67,63.20,62.35,62.61,9152056,0.665,1.08%,62.0972,574184224.45,40437
2017-12-14,62.94,63.70,61.89,61.94,6332036,-0.724,-1.16%,61.4327,396097206.66,43691
2017-12-13,60.85,62.83,60.80,62.67,7998128,1.636,2.70%,62.1567,497960697.92,43525
2017-12-12,61.76,61.95,60.88,61.02,4769315,-0.734,-1.20%,60.5202,292553640.48,30284
2017-12-11,61.58,62.17,61.15,61.76,4315287,0.387,0.64%,61.2542,266174932.91,29760
2017-12-08,61.10,61.83,60.65,61.37,3666487,0.278,0.46%,60.8674,224711229.94,27433
2017-12-07,60.88,61.66,60.50,61.09,3965335,0.367,0.61%,60.5897,242499447.30,28097
2017-12-06,62.10,62.28,60.55,60.72,5562276,-1.468,-2.38%,60.2227,339592429.61,37248
2017-12-05,62.39,62.48,60.45,62.20,8184257,-0.357,-0.58%,61.6906,504152129.95,54857
2017-12-04,60.65,63.03,60.54,62.56,11463103,3.025,5.13%,62.0476,714947074.05,68257
2017-12-01,60.00,60.47,58.901,59.51,8317976,-0.387,-0.65%,59.0226,496034563.41,59066
2017-11-30,61.65,63.10,59.84,59.90,14923067,-1.765,-2.89%,59.4094,909117972.25,79993
2017-11-29,56.82,61.78,56.82,61.68,18820853,5.019,8.94%,61.1748,1137530040.36,112878
2017-11-28,56.02,56.75,55.42,56.62,6312093,0.774,1.40%,56.1563,353891287.61,35917
2017-11-27,56.20,56.39,55.25,55.84,8277456,-0.04,-0.07%,55.3827,460916876.88,50487
2017-11-24,58.05,58.13,55.83,55.88,5892390,-1.597,-2.80%,55.4223,332988221.74,29786
2017-11-22,57.42,57.76,57.07,57.49,2867640,0.238,0.42%,57.0192,164965630.84,20538
2017-11-21,57.85,58.07,56.79,57.25,6318423,-0.625,-1.09%,56.7811,360892367.74,34937
2017-11-20,57.97,58.21,57.1051,57.88,7972995,-0.258,-0.45%,57.406,460216444.01,47205
2017-11-17,55.76,58.74,55.72,58.14,16719410,3.015,5.52%,57.6638,962314132.42,93130
2017-11-16,54.51,55.32,54.13,55.10,12744706,0.932,1.74%,54.6487,700319937.89,79981
2017-11-15,56.26,57.91,54.04,54.16,34811172,-5.881,-9.87%,53.7164,1908741780.47,186061
2017-11-14,59.59,60.305,59.15,60.09,8018716,0.307,0.52%,59.5979,478710024.11,52478
2017-11-13,61.40,61.95,60.15,60.40,6608755,-0.982,-1.63%,59.2904,401704032.77,42651
2017-11-10,59.91,61.41,59.91,61.40,6854543,1.472,2.50%,60.272,417791181.85,45435
2017-11-09,57.66,60.15,57.19,59.90,8489620,1.502,2.62%,58.7996,501145859.71,54727
2017-11-08,57.86,58.95,57.38,58.37,4921568,0.471,0.83%,57.2977,286671000.71,32425
2017-11-07,59.07,59.11,57.66,57.89,6587569,-1.374,-2.36%,56.8265,382524763.03,38652
2017-11-06,59.30,59.40,58.71,59.29,4538741,-0.069,-0.12%,58.2008,268199942.66,30810
2017-11-03,59.67,60.12,59.29,59.36,3992458,-0.422,-0.72%,58.2695,237992146.12,31180
2017-11-02,59.14,59.95,58.60,59.79,4790541,0.913,1.58%,58.6916,284704400.20,34299
2017-11-01,58.80,59.42,58.615,58.86,4710541,-0.177,-0.30%,57.7787,277636012.71,32137
2017-10-31,59.49,59.76,58.91,59.04,6458136,-0.501,-0.86%,57.9554,381659194.98,37790
2017-10-30,60.18,60.20,59.305,59.55,6162174,-0.697,-1.18%,58.456,367734548.81,41867
2017-10-27,61.45,61.56,59.86,60.26,6964433,-1.718,-2.82%,59.153,419772305.49,48277
2017-10-26,62.10,62.67,61.64,62.01,4287340,0.147,0.24%,60.8708,266389424.93,30309
2017-10-25,62.74,62.97,61.37,61.86,4397133,-1.05,-1.70%,60.7236,272467141.53,37161
2017-10-24,62.87,63.24,62.30,62.93,5644673,0.344,0.56%,61.7739,355040522.03,33103
2017-10-23,61.81,63.62,61.66,62.58,8877816,0.805,1.33%,61.4303,558695351.82,54461
2017-10-20,60.68,61.80,60.54,61.76,6053790,1.306,2.20%,60.6254,372234918.89,36955
2017-10-19,59.83,60.54,59.62,60.43,4201326,0.393,0.67%,59.3198,253408578.06,30162
2017-10-18,60.17,60.58,60.00,60.03,3538579,-0.137,-0.23%,58.9272,213055070.88,25005
