date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,218.70,219.94,216.93,217.49,2268438,-0.40,-0.18%,217.49,494934379.04,15959
2018-03-09,213.25,218.08,212.36,217.89,1594613,6.19,2.92%,217.89,344536112.77,16474
2018-03-08,212.70,212.73,210.01,211.70,868725,-0.46,-0.22%,211.70,183674589.30,10095
2018-03-07,207.34,212.46,207.34,212.16,1225472,2.04,0.97%,212.16,258586465.60,12945
2018-03-06,208.07,210.33,206.66,210.12,1007085,3.36,1.63%,210.12,210582807.89,12693
2018-03-05,204.51,207.93,202.07,206.76,1228497,0.32,0.16%,206.76,252848306.60,13309
2018-03-02,203.67,206.99,201.82,206.44,1228626,1.23,0.60%,206.44,251180709.80,13995
2018-03-01,208.64,208.80,202.82,205.21,1419464,-3.37,-1.62%,205.21,292047109.67,16997
2018-02-28,211.41,213.48,208.50,208.58,1099334,-2.10,-1.00%,208.58,231081465.62,9920
2018-02-27,213.92,214.87,210.46,210.68,1067034,-3.39,-1.58%,210.68,225849069.46,13571
2018-02-26,212.18,214.2063,211.2101,214.07,990558,2.36,1.11%,214.07,211110537.12,9282
2018-02-23,209.97,211.84,208.395,211.71,827286,2.58,1.23%,211.71,174195333.09,7339
2018-02-22,210.80,213.63,208.70,209.13,1230619,-0.66,-0.31%,209.13,258416327.67,10691
2018-02-21,208.30,213.64,208.30,209.79,1021302,1.95,0.94%,209.79,215365429.25,11807
2018-02-20,208.90,210.95,207.30,207.84,1127717,-2.77,-1.32%,207.84,235630272.60,13625
2018-02-16,210.26,212.69,209.35,210.61,895810,-0.11,-0.05%,210.61,188970289.08,10627
2018-02-15,210.34,210.75,206.62,210.72,1080770,2.41,1.16%,210.72,226238849.68,12757
2018-02-14,201.86,208.81,201.72,208.31,1412345,4.81,2.36%,208.31,291474244.48,16656
2018-02-13,203.51,204.47,200.86,203.50,1222697,-1.01,-0.49%,203.50,247980680.71,13556
2018-02-12,202.00,206.13,201.52,204.51,1528150,4.33,2.16%,204.51,311371420.01,15935
2018-02-09,200.54,202.39,194.51,200.18,2074348,1.45,0.73%,200.18,412775215.87,23521
2018-02-08,207.32,209.99,198.69,198.73,2196598,-8.82,-4.25%,198.73,442431039.33,23509
2018-02-07,208.34,211.20,206.13,207.55,1653024,-1.93,-0.92%,207.55,344935265.09,18520
2018-02-06,205.00,211.10,201.62,209.48,2415333,1.17,0.56%,209.48,501253866.68,30949
2018-02-05,216.71,219.255,207.81,208.31,2387588,-9.38,-4.31%,208.31,507233747.07,29525
2018-02-02,220.11,220.775,217.5642,217.69,1992430,-4.67,-2.10%,217.69,436095023.01,22367
2018-02-01,224.16,226.44,219.61,222.36,1912795,-1.75,-0.78%,222.36,425763535.94,24734
2018-01-31,223.46,226.00,219.70,224.11,3414180,9.49,4.42%,224.11,759818677.99,31430
2018-01-30,215.99,216.28,212.54,214.62,1921680,-4.19,-1.91%,214.62,413262764.63,19611
2018-01-29,219.40,220.10,218.59,218.81,1042756,-0.97,-0.44%,218.81,228554588.56,11844
2018-01-26,218.17,219.78,216.73,219.78,1161963,1.90,0.87%,219.78,254124057.30,12216
