date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,52.59,52.85,52.24,52.46,1987953,-0.03,-0.06%,52.46,104411680.96,13487
2018-03-09,52.21,52.80,51.97,52.49,3182849,0.53,1.02%,52.49,166541444.01,23538
2018-03-08,50.66,52.52,50.53,51.96,4258212,1.27,2.51%,51.96,220738726.61,29176
2018-03-07,50.67,51.15,50.45,50.69,1593343,-0.51,-1.00%,50.69,80863635.87,13438
2018-03-06,50.99,51.20,50.4786,51.20,1759010,0.22,0.43%,51.20,89581209.57,13030
2018-03-05,50.55,51.21,50.42,50.98,1874826,0.03,0.06%,50.98,95401634.66,13738
2018-03-02,50.00,51.04,49.45,50.95,2580302,0.68,1.35%,50.95,130073514.08,19707
2018-03-01,50.83,50.83,49.60,50.27,1987300,-0.64,-1.26%,50.27,99802166.25,17744
2018-02-28,50.71,51.38,50.27,50.91,2915454,0.26,0.51%,50.91,148606862.40,20659
2018-02-27,51.37,51.64,50.58,50.65,2376225,-0.51,-1.00%,50.65,121206292.33,19369
2018-02-26,50.77,51.20,50.71,51.16,2407574,0.51,1.01%,51.16,122819970.41,15395
2018-02-23,50.00,50.67,49.65,50.65,1724168,0.88,1.77%,50.65,86574587.42,12549
2018-02-22,49.66,49.99,49.52,49.77,1899900,0.19,0.38%,49.77,94598808.15,16264
2018-02-21,49.50,50.25,49.36,49.58,2369688,0.17,0.34%,49.58,117970921.79,16270
2018-02-20,49.79,49.94,49.23,49.41,2594474,-0.65,-1.30%,49.41,128281831.45,17828
2018-02-16,50.36,50.45,49.89,50.06,3189235,-0.57,-1.13%,50.06,159905178.05,23242
2018-02-15,50.50,50.83,50.17,50.63,2801198,0.14,0.28%,50.63,141703452.50,18195
2018-02-14,49.97,50.99,49.74,50.49,2589854,0.35,0.70%,50.49,130571011.61,19305
2018-02-13,49.91,50.25,49.65,50.14,2152698,0.23,0.46%,50.14,107591811.60,16851
2018-02-12,49.11,50.35,49.11,49.91,4946341,0.85,1.73%,49.91,247087099.55,31577
2018-02-09,49.12,49.45,47.42,49.06,5827666,0.21,0.43%,49.06,283010115.32,42921
2018-02-08,48.76,50.46,48.23,48.85,8124090,-1.25,-2.50%,48.85,401647803.53,48940
2018-02-07,48.93,50.71,48.93,50.10,7974146,1.08,2.20%,50.10,400787124.73,55119
2018-02-06,46.90,49.38,46.46,49.02,9419823,4.05,9.01%,49.02,454140047.47,65575
2018-02-05,45.89,46.50,44.97,44.97,3337848,-0.99,-2.15%,44.97,152743809.74,28585
2018-02-02,46.95,46.99,45.96,45.96,2707572,-1.00,-2.13%,45.96,125380465.30,23222
2018-02-01,46.75,47.69,46.11,46.96,2409216,-0.08,-0.17%,46.96,113778056.43,15626
2018-01-31,47.78,48.13,46.97,47.04,2934617,-0.81,-1.69%,47.04,138890568.75,19224
2018-01-30,47.98,48.45,47.628,47.85,2865197,-0.59,-1.22%,47.85,137512009.82,15209
2018-01-29,47.74,48.80,47.51,48.44,2460560,0.70,1.47%,48.44,119242315.25,16704
2018-01-26,47.67,47.96,47.28,47.74,1825794,0.31,0.65%,47.74,87032127.32,13411
2018-01-25,47.75,48.06,47.29,47.43,2103255,-0.11,-0.23%,47.43,99877268.08,13031
2018-01-24,47.73,48.56,47.43,47.54,1884714,-0.04,-0.08%,47.54,89966168.79,13968
2018-01-23,47.51,47.74,47.24,47.58,2590694,0.07,0.15%,47.58,123224310.87,15338
2018-01-22,47.67,47.92,47.30,47.51,2380774,-0.25,-0.52%,47.51,113172339.54,16683
2018-01-19,47.58,48.14,47.56,47.76,2554418,0.45,0.95%,47.76,122067153.00,12964
2018-01-18,46.96,47.42,46.79,47.31,2695777,0.32,0.68%,47.31,127291009.95,17320
2018-01-17,46.11,47.57,45.90,46.99,2417603,1.09,2.37%,46.99,113793236.92,16113
2018-01-16,45.75,46.17,45.70,45.90,2684755,0.12,0.26%,45.90,123430894.30,17764
2018-01-12,45.49,45.80,45.07,45.78,2325417,0.26,0.57%,45.78,105818184.30,15033
2018-01-11,45.20,45.62,45.03,45.52,1415554,0.29,0.64%,45.52,64342406.08,7179
2018-01-10,45.19,45.53,44.72,45.23,2018575,-0.12,-0.26%,45.23,91291465.36,11104
