date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,43.20,43.26,42.49,43.17,1528189,0.14,0.33%,43.17,65651257.70,13172
2018-03-09,42.61,43.0466,42.189,43.03,1743831,0.58,1.37%,43.03,74568215.48,16053
2018-03-08,42.69,42.78,41.68,42.45,1775439,-0.13,-0.31%,42.45,75140585.65,13873
2018-03-07,41.85,43.25,41.56,42.58,1958451,0.20,0.47%,42.58,83347918.25,16648
2018-03-06,41.89,42.64,41.15,42.38,2681738,0.41,0.98%,42.38,112854322.52,19230
2018-03-05,39.54,42.1099,39.325,41.97,2710047,2.28,5.74%,41.97,112142351.91,19682
2018-03-02,39.30,40.26,38.27,39.69,2220828,-0.07,-0.18%,39.69,87426705.16,19101
2018-03-01,40.49,40.75,39.354,39.76,2093722,-0.32,-0.80%,39.76,83755822.78,19676
2018-02-28,40.09,40.60,39.55,40.08,2635469,0.35,0.88%,40.08,105778240.61,21168
2018-02-27,41.64,42.10,39.64,39.73,3869345,-1.72,-4.15%,39.73,156538217.45,32902
2018-02-26,42.40,42.68,41.13,41.45,2174376,-0.85,-2.01%,41.45,90291011.24,17775
2018-02-23,41.78,42.52,41.26,42.30,2727294,0.65,1.56%,42.30,114478010.19,21123
2018-02-22,42.62,42.62,41.45,41.65,2757667,-0.72,-1.70%,41.65,115110047.81,24745
2018-02-21,42.67,43.11,41.68,42.37,4005155,-0.28,-0.66%,42.37,170242397.50,30733
2018-02-20,43.21,43.60,42.24,42.65,3659799,-0.67,-1.55%,42.65,156320830.00,27367
2018-02-16,42.45,44.26,41.90,43.32,5179473,0.92,2.17%,43.32,224903957.12,38599
2018-02-15,46.00,47.02,41.45,42.40,19137874,1.68,4.13%,42.40,838873569.65,117838
2018-02-14,39.50,40.93,39.02,40.72,6076945,0.84,2.11%,40.72,245801754.13,47023
2018-02-13,37.63,40.14,37.47,39.88,3643910,2.17,5.75%,39.88,143391928.75,30320
2018-02-12,38.52,38.75,36.27,37.71,3842296,-0.60,-1.57%,37.71,143692149.39,32951
2018-02-09,38.97,40.35,36.50,38.31,7047895,-1.74,-4.34%,38.31,270738381.22,48917
2018-02-08,41.20,41.33,40.05,40.05,5234474,-1.00,-2.44%,40.05,212579029.51,40959
2018-02-07,40.51,41.34,40.00,41.05,4229383,0.21,0.51%,41.05,172965375.84,34181
2018-02-06,34.89,41.31,34.76,40.84,11626468,5.22,14.65%,40.84,460622815.53,74965
2018-02-05,34.34,36.20,34.18,35.62,4758249,1.27,3.70%,35.62,169092086.58,31701
2018-02-02,34.44,34.93,34.0791,34.35,1493803,-0.27,-0.78%,34.35,51374069.11,12383
2018-02-01,34.28,34.95,34.23,34.62,1516931,-0.05,-0.14%,34.62,52556892.95,13635
2018-01-31,34.99,35.14,34.09,34.67,2665955,-0.23,-0.66%,34.67,91972536.28,19393
2018-01-30,36.04,36.11,34.88,34.90,2064581,-1.43,-3.94%,34.90,72740168.40,17027
2018-01-29,36.55,37.48,36.14,36.33,1943966,-0.45,-1.22%,36.33,71089985.16,14777
2018-01-26,36.80,36.97,36.12,36.78,1199350,0.29,0.79%,36.78,43979302.17,10611
2018-01-25,36.77,36.80,35.58,36.49,1680501,0.18,0.50%,36.49,61096822.03,12663
2018-01-24,36.35,36.83,35.84,36.31,2360976,0.01,0.03%,36.31,85688951.30,15581
2018-01-23,37.19,38.17,36.26,36.30,3377347,-0.90,-2.42%,36.30,123925331.21,23215
