date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,142.79,143.25,140.90,141.49,1215718,-0.81,-0.57%,141.49,172567283.45,13309
2018-03-09,140.20,142.43,139.83,142.30,1429169,2.63,1.88%,142.30,202325798.92,14263
2018-03-08,138.92,139.86,138.20,139.67,1657171,1.51,1.09%,139.67,230742483.21,13790
2018-03-07,140.45,140.715,137.53,138.88,1779352,-2.497,-1.78%,138.16,247275632.85,17150
2018-03-06,140.13,141.53,139.30,141.39,1468765,1.801,1.30%,140.657,206484998.29,15668
2018-03-05,138.02,140.38,137.70,139.58,1903189,1.691,1.23%,138.8564,265364299.12,17185
2018-03-02,138.00,138.81,136.76,137.88,1844247,-1.084,-0.78%,137.1652,254154830.72,19091
2018-03-01,139.40,139.94,137.18,138.97,2382097,-0.03,-0.02%,138.2496,330577662.21,26179
2018-02-28,141.97,142.77,138.89,139.00,1462535,-2.527,-1.79%,138.2794,204876713.08,12601
2018-02-27,143.13,143.41,141.08,141.54,1869523,-1.035,-0.73%,140.8063,265485019.89,17294
2018-02-26,140.21,143.40,140.21,142.58,1809583,2.825,2.03%,141.8409,257656885.53,15367
2018-02-23,138.30,139.85,137.57,139.74,2006265,2.089,1.53%,139.0156,279089453.68,13883
2018-02-22,138.68,139.9899,137.35,137.64,1744650,-0.895,-0.65%,136.9265,241985725.50,15843
2018-02-21,139.28,140.92,138.52,138.54,1334512,-0.527,-0.38%,137.8218,186226345.36,14720
2018-02-20,140.48,140.80,138.39,139.07,1533136,-2.079,-1.48%,138.3491,213433857.12,14256
2018-02-16,140.93,141.88,140.44,141.16,1923925,0.279,0.20%,140.4282,271631178.85,13634
2018-02-15,141.95,142.24,139.905,140.88,1406212,0.279,0.20%,140.1497,198074329.79,13720
2018-02-14,137.63,140.88,137.63,140.60,1907066,2.01,1.46%,139.8711,266120989.08,18776
2018-02-13,137.64,138.82,136.72,138.58,1282274,0.438,0.32%,137.8616,176933686.71,13344
2018-02-12,137.27,139.17,136.08,138.14,2404566,1.055,0.77%,137.4239,331645822.06,23429
2018-02-09,135.91,138.15,132.76,137.08,3655399,2.059,1.53%,136.3694,494096985.66,41826
2018-02-08,141.52,141.98,134.91,135.01,3160342,-7.093,-5.02%,134.3101,435575397.13,31933
2018-02-07,140.08,143.9372,139.96,142.14,3034197,1.283,0.92%,141.4031,431677974.38,28761
2018-02-06,137.02,141.21,136.33,140.85,3932062,-0.667,-0.47%,140.1198,546108130.94,39095
2018-02-05,146.63,147.88,139.57,141.52,3358918,-6.397,-4.35%,140.7864,483648406.09,31582
2018-02-02,149.69,150.55,147.81,147.95,2297933,-2.039,-1.37%,147.183,342141530.81,21569
2018-02-01,149.68,150.48,148.80,150.00,1993858,0.08,0.05%,149.2224,298606000.13,16422
2018-01-31,148.31,150.18,147.72,149.92,2083614,1.194,0.81%,149.1428,311626972.56,18501
2018-01-30,148.69,150.42,148.00,148.72,2397369,-0.239,-0.16%,147.949,357072287.52,22038
2018-01-29,149.52,149.69,148.5552,148.96,1866531,-0.458,-0.31%,148.1878,278262602.00,17389
2018-01-26,149.40,150.1899,148.26,149.42,2538390,0.945,0.64%,148.6454,379040144.50,20101
2018-01-25,147.43,148.88,146.95,148.47,2213528,0.846,0.58%,147.7003,328064620.83,17886
2018-01-24,146.91,148.05,146.27,147.62,2377533,1.353,0.93%,146.8547,350315795.34,23997
2018-01-23,144.34,146.96,142.79,146.26,5048089,6.874,4.96%,145.5018,734263046.30,37423
2018-01-22,137.46,139.35,137.3191,139.35,2922464,1.492,1.09%,138.6276,404251676.87,22214
2018-01-19,137.76,137.99,136.69,137.85,1628130,0.507,0.37%,137.1354,223917007.08,15282
2018-01-18,137.06,137.70,136.18,137.34,1561201,0.478,0.35%,136.628,214027276.05,14565
2018-01-17,136.60,137.40,135.53,136.86,1730117,1.333,0.99%,136.1505,236671213.15,15238
2018-01-16,135.10,136.03,134.42,135.52,1809306,0.786,0.59%,134.8175,245051738.82,17730
2018-01-12,133.05,134.99,132.03,134.73,2010111,2.378,1.81%,134.0316,269744218.43,15759
2018-01-11,132.09,132.875,131.66,132.34,1046475,0.229,0.17%,131.6539,138345444.37,12025
2018-01-10,132.50,133.02,131.82,132.11,1171661,-0.358,-0.27%,131.4251,155014112.97,13255
2018-01-09,132.59,134.19,132.20,132.47,2120793,1.015,0.78%,131.7833,282054521.47,20376
2018-01-08,132.16,132.40,131.10,131.45,1343316,-0.706,-0.54%,130.7686,176748710.21,11782
