date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,65.31,65.73,63.61,63.66,1548942,-1.68,-2.57%,63.66,99360586.56,16682
2018-03-09,64.90,65.39,64.27,65.34,915903,0.93,1.44%,65.34,59605560.41,9669
2018-03-08,64.05,64.52,63.80,64.41,1197342,0.63,0.99%,64.41,77005504.96,11580
2018-03-07,63.95,64.30,63.00,63.78,1496112,-1.00,-1.54%,63.78,95359393.12,14128
2018-03-06,64.55,64.86,64.101,64.78,1355776,0.36,0.56%,64.78,87633274.33,11250
2018-03-05,64.55,64.93,63.88,64.42,1888395,0.20,0.31%,64.42,121689680.74,11834
2018-03-02,63.24,64.50,62.61,64.22,2097857,0.36,0.56%,64.22,133500258.10,24215
2018-03-01,64.80,64.96,63.43,63.86,1594769,-1.07,-1.65%,63.86,102311772.07,16785
2018-02-28,65.24,65.43,64.44,64.93,1709330,-0.10,-0.15%,64.93,111174414.67,14306
2018-02-27,65.34,66.68,64.99,65.03,1766600,0.17,0.26%,65.03,115753076.66,18811
2018-02-26,66.22,66.51,64.575,64.86,1694689,-1.00,-1.52%,64.86,110111277.25,16666
2018-02-23,65.97,66.43,65.19,65.86,1352085,0.34,0.52%,65.86,88814470.94,15220
2018-02-22,66.45,66.83,65.52,65.79,1492638,-0.508,-0.77%,65.52,98378227.19,16201
2018-02-21,67.47,68.47,66.22,66.30,1611449,-0.916,-1.37%,66.0279,107853543.53,16056
2018-02-20,66.64,68.34,66.43,67.22,1507924,-0.10,-0.15%,66.9441,101651332.77,16452
2018-02-16,68.94,69.3357,66.445,67.32,1911540,-1.813,-2.63%,67.0437,128801937.42,19119
2018-02-15,68.49,70.57,68.00,69.14,2093670,1.135,1.68%,68.8562,144289729.66,22084
2018-02-14,65.87,68.22,65.62,68.00,1445055,1.832,2.78%,67.7209,97343073.78,15692
2018-02-13,66.57,66.79,65.09,66.16,1471973,-0.508,-0.76%,65.8885,97091150.67,15036
2018-02-12,66.85,67.62,65.62,66.67,1768133,0.169,0.26%,66.3964,117521079.84,18338
2018-02-09,66.29,67.00,63.82,66.50,2560886,0.558,0.85%,66.2271,168182969.02,28610
2018-02-08,67.53,67.97,65.93,65.94,2161049,-1.424,-2.12%,65.6694,144499963.36,20995
2018-02-07,67.10,68.00,66.881,67.37,2375942,0.09,0.13%,67.0935,160468936.81,24026
2018-02-06,65.08,68.21,63.65,67.28,3807951,1.623,2.48%,67.0039,254733281.98,38309
2018-02-05,67.71,68.22,65.62,65.65,3284757,-2.221,-3.29%,65.3806,219381903.79,28341
2018-02-02,70.14,70.84,67.58,67.88,4546991,-3.545,-4.98%,67.6014,312855292.88,42599
2018-02-01,72.00,72.30,69.30,71.44,7952139,-4.79,-6.31%,71.1468,560539646.03,59943
2018-01-31,78.08,78.65,75.82,76.25,2873590,-1.803,-2.32%,75.9371,220895274.24,21968
2018-01-30,78.51,79.23,78.02,78.06,1408711,-1.036,-1.31%,77.7396,110441557.64,13876
2018-01-29,78.85,79.39,78.2204,79.10,1803970,0.00,0.00%,78.7754,142262879.97,15345
2018-01-26,78.49,79.22,78.28,79.10,2112966,0.946,1.22%,78.7754,166584699.09,18060
2018-01-25,78.82,79.20,76.45,78.15,2461602,-2.52,-3.14%,77.8293,192174506.22,20659
2018-01-24,81.00,81.1472,79.83,80.68,2589837,-0.359,-0.44%,80.3489,208298269.42,19372
2018-01-23,81.88,82.13,80.79,81.04,2535617,-0.896,-1.10%,80.7074,205849367.65,20155
2018-01-22,82.55,82.68,81.42,81.94,1348771,-0.448,-0.55%,81.6037,110382146.75,12012
2018-01-19,81.24,82.44,81.03,82.39,1122005,1.484,1.84%,82.0519,91966724.10,11417
2018-01-18,80.57,81.19,80.26,80.90,987909,0.319,0.40%,80.568,79887918.24,9923
2018-01-17,79.78,81.11,79.48,80.58,1082443,1.394,1.77%,80.2493,87232886.35,12102
2018-01-16,79.97,80.93,78.42,79.18,1407922,-0.428,-0.54%,78.855,112079269.63,12761
2018-01-12,78.54,79.85,78.45,79.61,2099397,1.115,1.43%,79.2833,166839293.73,16685
2018-01-11,77.97,78.54,75.8921,78.49,2973568,-0.04,-0.05%,78.1679,230217381.26,23913
2018-01-10,79.11,79.31,78.16,78.53,1432396,-0.956,-1.21%,78.2077,112515734.26,14089
2018-01-09,79.45,79.59,78.77,79.49,1117221,0.239,0.30%,79.1638,88589060.51,11393
2018-01-08,79.17,79.72,78.7118,79.25,1409797,-0.189,-0.24%,78.9248,111715634.35,12750
2018-01-05,77.89,79.53,77.69,79.44,2160076,1.813,2.34%,79.114,170625174.39,19028
2018-01-04,76.51,77.72,76.09,77.62,1226098,1.364,1.80%,77.3014,94455028.11,12849
2018-01-03,75.84,76.355,75.445,76.25,786058,0.568,0.75%,75.9371,59775251.59,8505
2018-01-02,75.35,76.73,75.01,75.68,1590011,0.926,1.24%,75.3694,120571287.80,16336
2017-12-29,75.00,75.22,74.58,74.75,731122,-0.329,-0.44%,74.4432,54773612.37,7308
