date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,75.75,76.32,75.23,75.27,2542199,-0.42,-0.55%,75.27,191888734.51,12448
2018-03-09,75.32,75.76,75.08,75.69,1557738,0.72,0.96%,75.69,117686043.52,12368
2018-03-08,74.53,75.015,74.14,74.97,1602060,0.44,0.59%,74.97,119888224.81,10126
2018-03-07,73.63,74.5501,73.26,74.53,1512610,0.48,0.65%,74.53,112418600.08,11564
2018-03-06,73.87,74.41,73.31,74.05,3732834,0.45,0.61%,74.05,275809858.03,17615
2018-03-05,73.25,73.78,72.89,73.60,3838976,-0.05,-0.07%,73.60,282167411.77,22908
2018-03-02,73.14,73.77,72.86,73.65,2046205,0.23,0.31%,73.65,150203718.09,15445
2018-03-01,74.36,74.96,72.94,73.42,2487958,-0.96,-1.29%,73.42,183525836.55,22991
2018-02-28,74.76,75.17,73.78,74.38,2807895,0.12,0.16%,74.38,209408875.24,19029
2018-02-27,76.00,76.20,74.54,74.56,1639631,-1.145,-1.52%,74.26,123184240.75,12154
2018-02-26,75.36,75.81,74.81,75.71,1186771,0.627,0.84%,75.4053,89604192.86,11626
2018-02-23,74.80,75.13,74.06,75.08,1491135,0.388,0.52%,74.7779,111543004.20,13729
2018-02-22,74.70,75.3681,74.07,74.69,2557509,-0.707,-0.94%,74.3894,191272008.65,18161
2018-02-21,76.02,77.31,75.36,75.40,3403152,-0.727,-0.96%,75.0966,259221123.45,26810
2018-02-20,75.96,76.44,75.25,76.13,2703163,0.12,0.16%,75.8237,205471879.85,19259
2018-02-16,75.65,76.71,75.53,76.01,1492953,0.129,0.17%,75.7041,113542273.56,12752
2018-02-15,75.89,75.925,74.30,75.88,2989780,0.04,0.05%,75.5747,224917385.27,19925
2018-02-14,74.59,76.17,74.36,75.84,2207394,1.106,1.49%,75.5348,166762038.67,19655
2018-02-13,74.53,75.05,74.09,74.73,1787904,0.199,0.27%,74.4293,133280297.75,16241
2018-02-12,75.01,75.54,73.85,74.53,2216563,-0.339,-0.45%,74.2301,165350827.54,20697
2018-02-09,74.83,75.42,72.98,74.87,3687027,0.946,1.29%,74.5687,274029801.61,34065
2018-02-08,75.92,77.62,73.32,73.92,4373200,0.538,0.74%,73.6225,325908588.58,34769
2018-02-07,73.81,74.99,73.26,73.38,2441658,-0.807,-1.09%,73.0847,180556394.80,22484
2018-02-06,73.23,74.46,72.50,74.19,2912717,0.956,1.31%,73.8915,214463003.18,25929
2018-02-05,74.34,74.99,72.81,73.23,2909546,-1.255,-1.69%,72.9353,214246232.36,20417
2018-02-02,75.22,75.47,74.40,74.49,1949559,-1.265,-1.68%,74.1903,146039173.96,16849
2018-02-01,75.75,76.69,75.32,75.76,2625218,-0.349,-0.46%,75.4551,199253749.55,20381
2018-01-31,78.91,78.91,74.87,76.11,6010017,-2.769,-3.52%,75.8037,458878753.21,38801
2018-01-30,78.73,79.47,78.42,78.89,963675,-0.02,-0.03%,78.5725,76165220.64,8624
2018-01-29,79.86,80.09,78.83,78.91,2147058,-1.255,-1.57%,78.5925,170474067.05,13679
2018-01-26,80.00,80.18,79.07,80.17,1453134,0.369,0.46%,79.8474,115880673.61,9651
2018-01-25,79.99,80.45,79.56,79.80,1302578,0.02,0.03%,79.4789,104125136.28,8965
2018-01-24,81.45,81.51,79.66,79.78,1634310,-1.345,-1.66%,79.459,131050507.49,11873
2018-01-23,80.84,81.489,80.70,81.13,1717572,0.239,0.30%,80.8035,139390005.66,12145
2018-01-22,80.29,80.99,80.11,80.89,1519210,0.697,0.87%,80.5645,122622432.02,10440
2018-01-19,79.50,80.89,79.18,80.19,2509572,1.305,1.66%,79.8673,201400553.73,17485
2018-01-18,78.94,79.23,78.22,78.88,2538157,-0.369,-0.47%,78.5626,199686369.89,17717
2018-01-17,79.21,79.92,79.05,79.25,2115001,0.578,0.74%,78.9311,167867656.87,16096
2018-01-16,79.84,80.43,78.56,78.67,2527517,-1.225,-1.54%,78.3534,199744598.31,18802
2018-01-12,79.90,80.13,79.26,79.90,1485045,-0.06,-0.08%,79.5785,118429341.93,11611
2018-01-11,81.05,81.155,79.57,79.96,2130445,-1.036,-1.28%,79.6382,170639174.67,14683
2018-01-10,81.89,81.89,80.46,81.00,1311211,-1.255,-1.53%,80.6741,106281809.90,12152
2018-01-09,81.70,82.51,81.61,82.26,1755440,0.548,0.67%,81.929,144364432.95,15337
2018-01-08,80.90,81.97,80.83,81.71,1472117,0.876,1.09%,81.3812,120207631.80,11224
2018-01-05,80.70,80.905,80.17,80.83,2079863,0.608,0.76%,80.5047,167889758.91,11638
2018-01-04,79.74,80.79,79.4733,80.22,2848171,0.508,0.64%,79.8972,228620814.92,14919
2018-01-03,80.60,80.98,79.27,79.71,2403191,-0.906,-1.13%,79.3892,191600165.33,16793
2018-01-02,81.12,81.12,80.21,80.62,1573729,-0.448,-0.56%,80.2956,126901383.39,12170
2017-12-29,81.63,81.735,81.07,81.07,783219,-0.478,-0.59%,80.7438,63651101.44,6196
2017-12-28,81.50,82.11,81.30,81.55,834948,0.07,0.09%,81.2218,68093937.83,7442
2017-12-27,81.98,82.43,81.36,81.48,1000125,-0.249,-0.31%,81.1521,81634561.04,6669
