date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,95.69,97.02,95.59,96.75,6434019,1.49,1.56%,96.75,622127449.44,30141
2018-03-09,94.96,95.29,94.41,95.26,5398670,0.47,0.50%,95.26,512852627.58,19859
2018-03-08,95.25,95.26,94.58,94.79,3431867,-0.21,-0.22%,94.79,325587451.13,20480
2018-03-07,94.50,95.15,94.45,95.00,4320827,-0.12,-0.13%,95.00,409516325.47,22829
2018-03-06,94.78,95.21,94.59,95.12,3598561,0.53,0.56%,95.12,341632670.42,22590
2018-03-05,93.35,94.93,93.18,94.59,5725186,1.01,1.08%,94.59,539960680.96,31672
2018-03-02,92.92,93.78,92.70,93.58,5291364,0.42,0.45%,93.58,493184232.59,28819
2018-03-01,93.17,94.01,92.455,93.16,4106728,0.20,0.22%,93.16,382779899.32,36990
2018-02-28,94.40,94.56,92.96,92.96,5512869,-1.36,-1.44%,92.96,516509969.26,31709
2018-02-27,95.19,95.50,94.26,94.32,3617010,-0.96,-1.01%,94.32,343325449.84,23410
2018-02-26,95.20,95.5599,94.93,95.28,4652492,0.58,0.61%,95.28,443499795.53,24280
2018-02-23,94.58,95.00,94.12,94.70,3481161,0.33,0.35%,94.70,329634581.44,13870
2018-02-22,95.00,95.29,93.95,94.37,3903340,-0.43,-0.45%,94.37,369021790.92,22019
2018-02-21,95.00,95.79,94.77,94.80,3757471,-0.27,-0.28%,94.80,357690941.34,29792
2018-02-20,95.31,96.15,94.76,95.07,5192575,-0.30,-0.31%,95.07,495963769.52,26255
2018-02-16,94.82,95.93,94.73,95.37,6293656,0.38,0.40%,95.37,600498104.11,27087
2018-02-15,94.75,95.00,94.16,94.99,3174120,0.47,0.50%,94.99,300720610.66,19572
2018-02-14,94.09,95.08,93.79,94.52,3195360,0.21,0.22%,94.52,302264619.07,19056
2018-02-13,93.31,94.69,93.05,94.31,3706265,0.70,0.75%,94.31,349065814.83,19869
2018-02-12,92.76,93.92,92.02,93.61,5603534,1.21,1.31%,93.61,522218039.44,31724
2018-02-09,93.54,93.77,91.17,92.40,8077137,-0.62,-0.67%,92.40,745908966.18,57877
2018-02-08,95.17,95.34,92.93,93.02,5383604,-2.09,-2.20%,93.02,505991120.25,31575
2018-02-07,95.17,96.47,94.96,95.11,5192796,-0.05,-0.05%,95.11,496711469.72,30559
2018-02-06,94.48,95.99,93.62,95.16,11414192,-0.23,-0.24%,95.16,1078557614.94,64279
2018-02-05,96.83,97.50,94.71,95.39,8111404,-1.36,-1.41%,95.39,778842898.24,45717
2018-02-02,97.00,97.55,96.29,96.75,6076612,-0.25,-0.26%,96.75,588697655.64,39727
2018-02-01,96.45,97.81,95.98,97.00,8997334,1.65,1.73%,97.00,874279222.33,56907
2018-01-31,94.96,95.40,94.55,95.35,5705620,0.90,0.95%,95.35,542174532.12,32919
2018-01-30,94.39,94.84,93.99,94.45,6086054,-0.05,-0.05%,94.45,574215378.94,20577
2018-01-29,94.41,94.85,94.00,94.50,3667923,-0.33,-0.35%,94.50,346568898.43,19444
2018-01-26,94.30,94.90,94.04,94.83,3634491,0.75,0.80%,94.83,343676560.34,19378
2018-01-25,94.06,94.30,93.66,94.08,3937326,0.25,0.27%,94.08,370383209.49,19742
2018-01-24,93.89,94.07,93.36,93.83,4080739,0.17,0.18%,93.83,382847346.89,19933
2018-01-23,94.02,94.12,93.28,93.66,4262570,-0.34,-0.36%,93.66,399144735.96,20582
2018-01-22,93.36,94.03,93.11,94.00,5266755,0.64,0.69%,94.00,493562953.11,21793
2018-01-19,93.07,93.80,92.54,93.36,5456436,0.39,0.42%,93.36,508734619.05,30205
2018-01-18,92.33,93.02,92.02,92.97,3953032,0.80,0.87%,92.97,365921510.91,22951
2018-01-17,92.25,92.26,91.59,92.17,2907364,0.26,0.28%,92.17,267565642.18,19253
2018-01-16,92.40,92.42,91.61,91.91,3971849,-0.14,-0.15%,91.91,365290714.22,15768
2018-01-12,91.81,92.1552,91.35,92.05,3068271,0.16,0.17%,92.05,281836885.68,19377
2018-01-11,91.90,92.20,91.55,91.89,3150478,-0.20,-0.22%,91.89,289277586.22,19351
2018-01-10,92.08,92.28,91.32,92.09,3981986,-0.19,-0.21%,92.09,365509393.83,24091
2018-01-09,92.45,92.97,92.06,92.28,4620763,-0.378,-0.41%,92.28,427276811.70,21817
2018-01-08,93.27,93.4997,92.48,93.06,11114059,-0.538,-0.58%,92.6575,1032241746.97,22930
2018-01-05,92.75,94.00,92.24,93.60,5438495,0.966,1.05%,93.1952,506127756.05,22759
2018-01-04,91.50,92.63,91.37,92.63,3544977,1.125,1.23%,92.2294,326703761.59,20410
2018-01-03,92.20,92.30,91.26,91.50,4033141,-0.408,-0.45%,91.1043,370022485.18,25840
2018-01-02,91.74,92.255,91.64,91.91,5215419,0.438,0.48%,91.5125,479670623.07,20112
2017-12-29,91.53,91.74,91.34,91.47,2649836,-0.139,-0.15%,91.0744,242575142.62,18761
2017-12-28,91.46,91.65,91.20,91.61,1550678,0.239,0.26%,91.2138,141880249.68,12005
2017-12-27,91.85,91.89,90.90,91.37,3447205,-0.279,-0.31%,90.9748,314870965.76,17534
2017-12-26,92.44,92.59,91.53,91.65,2019179,-0.727,-0.79%,91.2536,185343047.17,10770
2017-12-22,92.75,93.17,92.26,92.38,6163778,-0.568,-0.61%,91.9805,570317014.98,24369
2017-12-21,90.885,92.96,90.71,92.95,9652003,2.36,2.62%,92.548,888986906.77,41721
2017-12-20,89.97,90.78,89.91,90.58,5167969,0.697,0.78%,90.1882,466483109.37,25546
2017-12-19,89.95,90.24,89.76,89.88,3724847,0.09,0.10%,89.4913,335117128.02,19050
2017-12-18,90.26,90.99,89.78,89.79,4955667,-0.458,-0.51%,89.4017,447024821.75,27826
2017-12-15,90.18,90.45,89.68,90.25,11007358,0.597,0.67%,89.8597,992850350.68,29719
2017-12-14,90.095,90.38,89.65,89.65,6077444,-0.408,-0.46%,89.2623,546697180.00,23857
2017-12-13,90.50,90.86,89.90,90.06,8529089,-0.587,-0.65%,89.6705,769818514.96,26707
2017-12-12,91.20,91.28,90.19,90.65,6198013,-0.169,-0.19%,90.2579,562080047.86,29936
2017-12-11,90.77,91.14,90.38,90.82,2954814,0.11,0.12%,90.4272,268322623.06,16071
2017-12-08,90.28,90.765,89.90,90.71,3077694,0.339,0.38%,90.3177,278297411.49,19705
2017-12-07,90.56,91.18,89.84,90.37,7195648,-0.01,-0.01%,89.9792,651362203.21,35860
2017-12-06,91.12,91.17,90.20,90.38,4704163,-0.697,-0.77%,89.9891,426140604.94,21279
2017-12-05,92.65,92.77,90.75,91.08,4543485,-1.623,-1.76%,90.6861,416301179.41,26989
2017-12-04,91.87,93.075,91.84,92.71,6077899,1.404,1.54%,92.309,563731009.58,38418
2017-12-01,91.34,91.90,90.72,91.30,4291282,-0.209,-0.23%,90.9051,392241618.73,25588
2017-11-30,91.26,91.77,90.85,91.51,8553363,0.587,0.65%,91.1142,782096050.85,46095
2017-11-29,90.12,91.00,89.80,90.92,8280867,1.294,1.45%,90.5268,750599397.94,38700
2017-11-28,89.39,89.95,89.00,89.62,4815483,0.548,0.62%,89.2324,430858301.19,22218
2017-11-27,89.58,89.61,89.02,89.07,3452969,-0.428,-0.48%,88.6848,307928275.57,16790
2017-11-24,90.02,90.20,89.50,89.50,1768431,-0.508,-0.57%,89.1129,158686537.58,7493
2017-11-22,89.62,90.26,89.57,90.01,5497987,0.448,0.50%,89.6207,494871522.71,28646
2017-11-21,88.20,89.93,88.20,89.56,14425149,1.842,2.11%,89.1727,1287655169.85,79144
2017-11-20,88.75,88.85,87.03,87.71,12781993,-1.006,-1.14%,87.3307,1124028665.11,65602
2017-11-17,88.20,89.105,87.81,88.72,8439691,0.707,0.81%,88.3363,748501037.10,41747
2017-11-16,87.70,88.70,86.75,88.01,13555798,0.637,0.73%,87.6294,1192250205.75,74808
2017-11-15,85.94,87.57,85.88,87.37,13526128,-0.139,-0.16%,86.9921,1176090675.21,69378
2017-11-14,88.64,88.64,87.24,87.51,12007151,-0.976,-1.11%,87.1315,1052944821.67,59386
2017-11-13,88.60,89.50,88.42,88.49,12820500,-2.101,-2.33%,88.1073,1137243773.01,69712
2017-11-10,88.39,91.49,88.17,90.60,26863656,3.535,4.08%,90.2082,2422038104.74,141001
2017-11-09,87.75,89.40,86.38,87.05,31459746,-1.444,-1.64%,86.6735,2751226987.82,188743
