date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,112.04,113.00,111.46,111.63,4270810,0.10,0.09%,111.63,477957126.62,35041
2018-03-09,110.00,111.61,109.33,111.53,5535870,2.04,1.86%,111.53,614078935.10,39110
2018-03-08,109.18,109.49,108.27,109.49,3573538,0.93,0.86%,109.49,389545713.32,28552
2018-03-07,108.04,109.46,107.13,108.56,4637606,-1.13,-1.03%,108.56,502623552.78,29339
2018-03-06,109.97,110.1819,108.94,109.69,4109551,0.68,0.62%,109.69,450560392.29,32005
2018-03-05,107.48,109.33,106.52,109.01,4417206,0.79,0.73%,109.01,479082172.03,38387
2018-03-02,104.79,108.48,104.66,108.22,6476277,1.69,1.59%,108.22,691278176.13,55793
2018-03-01,108.93,108.93,105.72,106.53,8626635,-1.82,-1.68%,106.53,923657976.11,73311
2018-02-28,109.04,110.22,108.32,108.35,7333003,0.01,0.01%,108.35,800073166.05,46632
2018-02-27,109.38,110.29,108.34,108.34,5311892,-1.29,-1.18%,108.34,579552600.88,42396
2018-02-26,107.28,109.74,107.28,109.63,5496063,2.59,2.42%,109.63,598586911.17,39028
2018-02-23,105.01,107.06,104.74,107.04,4936880,3.11,2.99%,107.04,524081343.85,33219
2018-02-22,104.00,105.08,103.41,103.93,4036480,0.27,0.26%,103.93,419980328.68,33716
2018-02-21,105.77,106.18,103.59,103.66,6536466,-1.63,-1.55%,103.66,684827288.06,48054
2018-02-20,103.99,106.86,103.91,105.29,4970455,0.82,0.78%,105.29,524938495.58,43286
2018-02-16,104.28,105.54,103.88,104.47,4910360,-0.10,-0.10%,104.47,514256282.23,37042
2018-02-15,103.82,104.58,101.5397,104.57,5264837,1.89,1.84%,104.57,545048468.20,44299
2018-02-14,99.85,102.96,99.85,102.68,7413480,1.70,1.68%,102.68,753626361.26,50743
2018-02-13,101.11,101.73,100.12,100.98,5061423,-0.96,-0.94%,100.98,510925238.45,42918
2018-02-12,101.55,102.55,100.4343,101.94,6673726,1.45,1.44%,101.94,679144298.53,50266
2018-02-09,99.52,101.30,96.99,100.49,11599319,2.83,2.90%,100.49,1152939204.14,92707
2018-02-08,102.03,102.61,97.60,97.66,11506631,-4.32,-4.24%,97.66,1145845952.49,92872
2018-02-07,104.60,105.68,101.91,101.98,10009109,-3.89,-3.67%,101.98,1035619187.01,80038
2018-02-06,102.62,106.66,102.25,105.87,9266882,1.66,1.59%,105.87,969400704.77,77094
2018-02-05,107.02,109.115,103.38,104.21,8460397,-3.45,-3.20%,104.21,897619449.41,70715
2018-02-02,109.02,110.23,107.52,107.66,7474446,-2.42,-2.20%,107.66,813578326.30,55824
2018-02-01,108.75,110.75,108.57,110.08,5828150,0.41,0.37%,110.08,641929138.65,45631
2018-01-31,110.98,110.99,108.30,109.67,7362528,-0.22,-0.20%,109.67,804194922.55,58381
2018-01-30,111.20,111.47,109.30,109.89,6492875,-2.14,-1.91%,109.89,716090398.89,48396
2018-01-29,112.47,113.40,111.25,112.65,6389293,-1.034,-0.91%,112.03,718711488.02,48589
2018-01-26,110.93,114.00,109.541,113.69,7801563,3.521,3.21%,113.0643,875407150.78,54498
2018-01-25,110.86,111.71,109.08,110.15,8564786,0.448,0.41%,109.5437,945936899.03,68572
2018-01-24,111.135,114.00,108.6801,109.70,19223891,-10.134,-8.50%,109.0962,2137825325.48,133388
2018-01-23,120.02,120.75,118.90,119.89,8087143,0.448,0.38%,119.2301,967068226.55,59130
2018-01-22,117.92,119.48,117.46,119.44,7217402,2.596,2.23%,118.7826,856507911.11,42605
2018-01-19,117.01,117.56,115.71,116.83,6367294,0.418,0.36%,116.187,742092738.68,41701
2018-01-18,119.00,119.98,116.00,116.41,7970325,-2.735,-2.31%,115.7693,931406608.24,56682
2018-01-17,113.95,119.43,113.51,119.16,6916746,6.206,5.53%,118.5041,809885648.68,53393
2018-01-16,113.55,113.905,111.94,112.92,9251460,0.199,0.18%,112.2985,1044892180.00,54093
2018-01-12,110.74,113.00,110.58,112.72,4578159,2.039,1.85%,112.0996,513949856.62,36159
2018-01-11,110.05,110.76,109.43,110.67,3903763,0.965,0.88%,110.0609,430832932.24,29566
2018-01-10,109.85,109.99,108.21,109.70,5737425,-0.686,-0.63%,109.0962,626057953.37,39764
2018-01-09,109.62,110.98,109.08,110.39,4747752,0.746,0.68%,109.7824,524000562.17,35095
2018-01-08,108.55,110.37,108.41,109.64,4549786,0.517,0.48%,109.0365,498267570.75,26599
2018-01-05,108.70,109.23,108.29,109.12,5254922,0.825,0.77%,108.5194,571661923.67,37705
2018-01-04,108.48,109.21,108.05,108.29,5460417,-0.139,-0.13%,107.694,592833667.78,41743
2018-01-03,105.88,108.51,105.60,108.43,6918942,2.844,2.71%,107.8332,743607977.70,41774
2018-01-02,105.11,105.62,104.50,105.57,4236240,1.124,1.08%,104.9889,445489467.14,30326
2017-12-29,104.58,105.08,104.42,104.44,2813291,-0.378,-0.36%,103.8652,294416712.60,17314
2017-12-28,104.92,104.92,104.2194,104.82,1910723,0.288,0.28%,104.2431,199961619.67,13584
2017-12-27,104.42,104.90,103.98,104.53,1775553,0.378,0.36%,103.9547,185459058.77,14438
2017-12-26,103.58,104.19,103.06,104.15,1473786,0.02,0.02%,103.5768,153149017.49,13603
2017-12-22,104.00,104.34,103.64,104.13,3041342,0.06,0.06%,103.5569,316582628.74,20148
2017-12-21,105.16,105.33,104.0055,104.07,4709067,-0.726,-0.70%,103.4972,491895779.20,26734
2017-12-20,104.90,105.15,103.48,104.80,5529766,0.696,0.67%,104.2232,578429145.19,39203
2017-12-19,103.19,104.30,103.08,104.10,5235729,0.825,0.80%,103.527,543795332.57,35172
2017-12-18,102.10,103.37,101.65,103.27,5927678,2.039,2.03%,102.7016,610249198.18,42646
2017-12-15,101.28,101.60,100.07,101.22,9114764,0.965,0.97%,100.6629,921615882.23,38787
2017-12-14,98.96,100.537,98.78,100.25,7106662,1.382,1.41%,99.6982,711319423.05,50697
2017-12-13,98.97,99.18,98.21,98.86,5282101,0.428,0.44%,98.3159,522052992.56,35030
2017-12-12,98.70,99.19,98.23,98.43,6083109,-0.398,-0.40%,97.8882,599445188.37,34917
2017-12-11,98.07,98.88,97.77,98.83,5579194,0.806,0.83%,98.286,549560065.73,35485
2017-12-08,98.92,99.31,97.78,98.02,5591436,0.239,0.25%,97.4805,549890265.47,40570
2017-12-07,97.32,98.14,96.94,97.78,4848337,0.756,0.78%,97.2418,473669468.33,30480
2017-12-06,96.25,97.45,95.87,97.02,4675489,0.119,0.12%,96.486,453619355.89,38401
2017-12-05,95.98,98.72,95.36,96.90,4898055,0.925,0.97%,96.3667,477070204.34,40911
2017-12-04,97.54,97.88,95.27,95.97,5183830,-1.203,-1.25%,95.4418,498957623.47,43401
2017-12-01,96.54,97.41,94.72,97.18,5020497,-0.109,-0.11%,96.6451,484975110.19,42542
2017-11-30,97.38,98.47,96.70,97.29,7525736,0.408,0.42%,96.7545,733988433.71,44579
2017-11-29,99.73,99.79,96.45,96.88,5562186,-2.586,-2.61%,96.3468,541282111.52,49700
2017-11-28,99.09,99.73,98.62,99.48,3037392,0.845,0.86%,98.9325,301865545.26,25741
2017-11-27,98.95,99.25,98.61,98.63,3166323,-0.666,-0.67%,98.0871,312771820.84,20672
2017-11-24,98.20,99.33,98.19,99.30,1288450,1.213,1.24%,98.7535,127590248.12,9989
2017-11-22,99.15,99.35,98.07,98.08,2141979,-1.104,-1.12%,97.5402,210885466.56,20063
2017-11-21,98.75,99.65,98.65,99.19,3998453,0.905,0.93%,98.6441,396585897.06,30093
2017-11-20,97.81,98.92,97.80,98.28,2953705,0.537,0.55%,97.7391,290720169.13,21761
2017-11-17,98.56,98.56,97.61,97.74,3788212,-0.577,-0.59%,97.202,370985404.70,23324
2017-11-16,97.07,98.63,97.05,98.32,3564394,1.541,1.60%,97.7788,349920472.68,29385
2017-11-15,96.62,98.03,96.28,96.77,3355591,-0.189,-0.20%,96.2374,325825084.18,29285
2017-11-14,96.70,97.23,96.35,96.96,3252637,-0.07,-0.07%,96.4263,314741061.51,23926
2017-11-13,96.40,97.29,96.35,97.03,2283972,0.09,0.09%,96.4959,221627242.05,18916
2017-11-10,96.67,97.05,96.40,96.94,3416675,-0.109,-0.11%,96.4064,330845168.27,25260
2017-11-09,97.60,98.03,95.63,97.05,4239650,-1.382,-1.41%,96.5158,410046296.88,35597
2017-11-08,98.31,98.76,97.89,98.44,3265643,0.04,0.04%,97.8982,321484758.86,22731
2017-11-07,98.55,99.05,98.28,98.40,4315375,-0.139,-0.14%,97.8584,425181224.49,31216
2017-11-06,97.82,98.67,97.67,98.54,4391663,0.557,0.57%,97.9976,431389964.76,34851
