date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,60.37,60.37,58.88,59.00,2610217,-1.40,-2.32%,59.00,154314896.21,11633
2018-03-09,59.45,60.41,59.15,60.40,1177834,1.37,2.32%,60.40,70787115.52,10875
2018-03-08,58.80,59.14,58.30,59.05,1022981,0.53,0.91%,59.03,60072003.82,8705
2018-03-07,58.12,58.68,57.76,58.52,1418348,-0.07,-0.12%,58.5002,82713119.51,11643
2018-03-06,58.56,59.03,58.24,58.59,1281888,0.21,0.36%,58.5701,75124812.94,12292
2018-03-05,57.16,58.69,56.93,58.38,1430482,0.72,1.25%,58.3602,83240864.79,11798
2018-03-02,57.67,57.84,56.67,57.66,1938922,-0.58,-1.00%,57.6405,111283611.90,18304
2018-03-01,59.87,60.22,57.79,58.24,2415956,-1.609,-2.69%,58.2203,142285631.57,22407
2018-02-28,60.51,61.23,59.85,59.85,1813166,-0.40,-0.66%,59.8297,109862043.35,15030
2018-02-27,60.96,61.47,60.23,60.25,1330340,-0.78,-1.28%,60.2296,80895941.31,12142
2018-02-26,59.84,61.16,59.57,61.03,1378032,1.749,2.95%,61.0093,83680728.62,11475
2018-02-23,59.58,59.905,58.96,59.28,1846147,-0.24,-0.40%,59.2599,109414204.10,12514
2018-02-22,59.83,60.42,59.41,59.52,1340509,0.00,0.00%,59.4998,80235934.29,11062
2018-02-21,59.97,60.48,59.42,59.52,2424243,-0.54,-0.90%,59.4998,144958756.85,11904
2018-02-20,59.90,60.88,59.60,60.06,1514774,-0.27,-0.45%,60.0396,91285173.96,12785
2018-02-16,59.57,60.66,59.39,60.33,1650768,0.65,1.09%,60.3095,99522014.57,13255
2018-02-15,59.08,59.86,58.90,59.68,1855487,0.88,1.50%,59.6598,110382446.63,13921
2018-02-14,57.14,58.90,56.91,58.80,2167256,1.25,2.17%,58.7801,126345498.30,16692
2018-02-13,57.28,58.225,57.10,57.55,1794971,0.00,0.00%,57.5305,103786034.55,13645
2018-02-12,56.77,58.12,56.41,57.55,1801273,1.24,2.20%,57.5305,103565561.90,14356
2018-02-09,56.20,56.87,54.36,56.31,2062829,0.77,1.39%,56.2909,114956034.93,18603
2018-02-08,58.00,58.00,55.49,55.54,1481612,-2.369,-4.09%,55.5212,83816496.18,13659
2018-02-07,57.01,58.83,56.95,57.91,1857372,0.81,1.42%,57.8904,108160349.25,14512
2018-02-06,55.63,57.46,54.945,57.10,2487169,0.44,0.78%,57.0806,140591766.81,19251
2018-02-05,58.20,59.85,56.15,56.66,2760228,-2.399,-4.06%,56.6408,160285170.26,21766
2018-02-02,59.49,60.14,58.94,59.06,1747178,-0.78,-1.30%,59.04,103946969.60,15367
2018-02-01,58.70,60.35,58.61,59.84,2262077,1.17,1.99%,59.8197,135085775.52,18780
2018-01-31,58.30,60.34,57.87,58.67,2675208,-1.509,-2.51%,58.6501,157142017.54,21305
2018-01-30,60.89,61.07,60.12,60.18,1630752,-1.04,-1.70%,60.1596,98408321.40,13621
2018-01-29,60.90,62.19,60.871,61.22,1695671,0.36,0.59%,61.1992,104365345.23,12429
2018-01-26,60.71,60.95,60.06,60.86,1255421,0.33,0.55%,60.8394,76180854.52,8920
2018-01-25,59.98,60.6901,59.59,60.53,1386021,0.82,1.37%,60.5095,83718987.92,9366
2018-01-24,59.20,60.37,59.17,59.71,1751202,0.61,1.03%,59.6898,104736181.67,9797
2018-01-23,59.06,59.29,58.63,59.10,877547,0.01,0.02%,59.08,51809399.93,6690
2018-01-22,58.93,59.12,58.44,59.09,1116915,0.19,0.32%,59.07,65834180.11,7050
2018-01-19,59.18,59.18,58.62,58.90,1204057,0.09,0.15%,58.88,70933007.44,8926
2018-01-18,59.26,59.39,58.77,58.81,937663,-0.36,-0.61%,58.7901,55275216.03,7476
2018-01-17,59.04,59.45,58.65,59.17,988158,0.39,0.66%,59.1499,58491102.68,8602
2018-01-16,60.46,60.54,58.36,58.78,1584291,-1.37,-2.28%,58.7601,93792131.14,11704
2018-01-12,59.39,60.185,59.27,60.15,1214072,1.06,1.79%,60.1296,72684446.14,10407
2018-01-11,58.51,59.12,58.50,59.09,1047652,0.69,1.18%,59.07,61694333.17,7719
2018-01-10,58.40,58.61,58.18,58.40,570878,-0.05,-0.09%,58.3802,33346789.10,5969
2018-01-09,58.43,58.6986,58.26,58.45,934984,0.10,0.17%,58.4302,54703773.66,7790
2018-01-08,58.64,58.71,57.98,58.35,1237538,-0.15,-0.26%,58.3302,72133311.75,7644
2018-01-05,57.95,58.51,57.40,58.50,2244135,0.92,1.60%,58.4802,130563848.36,13727
2018-01-04,57.80,57.90,57.30,57.58,1190114,-0.05,-0.09%,57.5605,68507462.85,9795
2018-01-03,57.03,57.795,57.00,57.63,1131159,0.33,0.58%,57.6105,65094459.71,8522
2018-01-02,56.90,57.32,56.57,57.30,1186756,0.71,1.25%,57.2806,67689738.95,7060
2017-12-29,57.18,57.18,56.58,56.59,603342,-0.41,-0.72%,56.5708,34232296.52,4316
2017-12-28,57.00,57.03,56.83,57.00,455614,0.03,0.05%,56.9807,25950489.98,3353
2017-12-27,57.05,57.165,56.72,56.97,852067,0.09,0.16%,56.9507,48565912.93,5411
2017-12-26,56.82,57.17,56.78,56.88,473470,0.12,0.21%,56.8607,26944048.00,3818
2017-12-22,57.095,57.24,56.705,56.76,947577,-0.42,-0.73%,56.7408,53882518.21,7227
2017-12-21,57.27,57.71,56.91,57.18,2160819,0.18,0.32%,57.1606,123759715.45,9742
2017-12-20,56.795,57.32,56.56,57.00,1732308,0.65,1.15%,56.9807,98729497.40,12987
2017-12-19,56.26,56.58,56.05,56.35,1271692,0.16,0.28%,56.3309,71694782.67,8849
2017-12-18,55.50,56.26,55.29,56.19,1143350,0.97,1.76%,56.171,64065738.73,8802
2017-12-15,54.67,55.60,54.63,55.22,2583254,0.84,1.54%,55.2013,142585001.04,11584
2017-12-14,54.65,54.91,54.25,54.38,823903,-0.22,-0.40%,54.3616,44918440.16,6817
2017-12-13,54.54,55.1725,54.361,54.62,1132174,0.05,0.09%,54.5815,62012165.71,9159
2017-12-12,54.68,55.05,54.56,54.57,842074,-0.06,-0.11%,54.5315,46090188.63,6798
2017-12-11,54.91,55.18,54.52,54.63,1016870,-0.21,-0.38%,54.5915,55707930.51,8635
2017-12-08,55.06,55.20,54.72,54.84,1087983,0.05,0.09%,54.8013,59697394.38,7631
2017-12-07,53.83,55.02,53.81,54.79,1088815,0.869,1.61%,54.7514,59610506.77,7861
2017-12-06,53.98,54.49,53.91,53.92,1281588,-0.09,-0.17%,53.882,69370730.82,9863
2017-12-05,55.48,55.48,53.98,54.01,1342883,-1.169,-2.12%,53.9719,73165298.97,9083
2017-12-04,55.64,56.47,55.18,55.18,1975479,0.29,0.53%,55.1411,109935108.05,10859
2017-12-01,55.71,55.80,53.38,54.89,1451405,-0.819,-1.47%,54.8513,79454504.85,12422
2017-11-30,55.04,55.83,54.52,55.71,1656091,0.869,1.59%,55.6707,92043444.48,11663
2017-11-29,54.41,54.97,54.37,54.84,904240,0.52,0.96%,54.8013,49532541.01,8095
2017-11-28,53.74,54.39,53.59,54.32,1527613,0.839,1.57%,54.2817,82670416.27,8717
2017-11-27,53.35,53.78,53.225,53.48,1081223,0.18,0.34%,53.4423,57849819.18,7303
2017-11-24,53.67,53.80,53.28,53.30,523302,-0.23,-0.43%,53.2624,27925994.48,1902
2017-11-22,53.71,53.85,53.41,53.53,953783,-0.16,-0.30%,53.4923,51114240.07,6168
2017-11-21,53.78,54.01,53.60,53.69,1217245,0.21,0.39%,53.6522,65444598.02,6324
2017-11-20,53.19,53.57,52.85,53.48,1503712,0.51,0.96%,53.4423,80270982.56,6827
2017-11-17,52.74,53.53,52.61,52.97,1467992,0.07,0.13%,52.9327,78007327.42,9984
2017-11-16,52.64,53.20,52.50,52.90,1631290,0.43,0.82%,52.8627,86268476.42,11016
2017-11-15,53.00,53.23,52.33,52.47,1366782,-1.099,-2.05%,52.433,71898045.88,11572
2017-11-14,53.53,53.83,53.34,53.57,875945,-0.13,-0.24%,53.5322,46952379.36,6688
2017-11-13,54.03,54.185,53.58,53.70,1875099,-0.57,-1.05%,53.6621,100797289.32,8573
2017-11-10,54.21,54.75,54.01,54.27,1104346,-0.13,-0.24%,54.2317,59957224.81,10960
2017-11-09,55.03,55.24,54.02,54.40,922312,-0.45,-0.82%,54.3617,50248309.44,8513
2017-11-08,54.28,54.95,54.08,54.85,1082719,0.57,1.05%,54.8113,59180610.67,7764
2017-11-07,54.45,54.80,54.07,54.28,781880,-0.15,-0.28%,54.2417,42448084.59,6972
2017-11-06,54.55,54.69,54.20,54.43,837179,-0.12,-0.22%,54.3916,45629388.22,6878
2017-11-03,54.17,54.56,53.81,54.55,1217265,0.27,0.50%,54.5115,66198214.53,10176
2017-11-02,53.29,54.528,52.93,54.28,1311814,0.879,1.65%,54.2417,70857227.86,12342
2017-11-01,53.01,53.55,52.96,53.40,1508847,0.66,1.25%,53.3624,80437460.42,13183
2017-10-31,52.66,52.93,52.49,52.74,1398155,0.14,0.27%,52.7028,73724724.34,9506
2017-10-30,52.80,52.94,52.4275,52.60,1348815,-0.43,-0.81%,52.5629,71012122.12,10715
2017-10-27,53.57,53.90,52.84,53.03,1693984,-0.729,-1.36%,52.9926,89949720.35,9951
