date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,35.22,35.41,35.03,35.32,1620334,0.08,0.23%,35.32,57133629.83,11808
2018-03-09,34.80,35.24,34.50,35.24,1677066,0.76,2.20%,35.24,58684931.58,13115
2018-03-08,34.20,34.54,34.05,34.48,1053943,0.33,0.97%,34.48,36258648.21,9775
2018-03-07,33.72,34.17,33.65,34.15,1609218,0.27,0.80%,34.15,54731795.71,12927
2018-03-06,33.62,33.99,33.39,33.88,1376861,0.21,0.62%,33.88,46414217.00,12699
2018-03-05,33.26,33.86,33.04,33.67,1475540,0.29,0.87%,33.67,49665000.19,12152
2018-03-02,33.59,33.79,33.13,33.38,1406170,-0.32,-0.95%,33.38,46945516.98,11465
2018-03-01,33.50,34.19,33.37,33.70,1753135,0.08,0.24%,33.70,59246404.91,14663
2018-02-28,33.72,34.10,33.61,33.62,2199332,0.04,0.12%,33.62,74310840.47,13866
2018-02-27,34.10,34.21,33.33,33.58,1799970,-0.56,-1.64%,33.58,60631433.26,14902
2018-02-26,34.23,34.37,33.95,34.14,1299846,0.00,0.00%,34.14,44333091.01,10963
2018-02-23,33.63,34.16,33.47,34.14,1028035,0.70,2.09%,34.14,34886797.44,9397
2018-02-22,33.32,33.79,33.26,33.44,1295504,0.22,0.66%,33.44,43431186.03,12552
2018-02-21,34.23,34.315,33.16,33.22,1996535,-1.02,-2.98%,33.22,67087335.48,15680
2018-02-20,34.47,34.80,34.19,34.24,1794676,-0.37,-1.07%,34.24,61796782.22,14299
2018-02-16,34.48,34.84,34.38,34.61,2659053,0.21,0.61%,34.61,92103844.39,15388
2018-02-15,33.96,34.45,33.84,34.40,1706313,0.61,1.81%,34.40,58398968.53,12624
2018-02-14,33.73,33.81,33.29,33.79,1301593,-0.21,-0.62%,33.79,43799088.64,9945
2018-02-13,33.61,34.14,33.53,34.00,2169502,0.27,0.80%,34.00,73475185.93,17167
2018-02-12,33.89,33.98,32.90,33.73,1864234,-0.06,-0.18%,33.73,62480900.54,16400
2018-02-09,33.10,34.03,32.88,33.79,2601785,0.87,2.64%,33.79,86868824.27,21518
2018-02-08,33.70,34.31,32.91,32.92,2970126,-0.88,-2.60%,32.92,99656174.34,24283
2018-02-07,33.96,34.85,33.80,33.80,2530321,-0.51,-1.49%,33.80,86362345.57,18428
2018-02-06,33.72,34.46,33.31,34.31,2342981,0.13,0.38%,34.31,79821192.16,19934
2018-02-05,34.99,35.54,34.18,34.18,2114861,-1.02,-2.90%,34.18,73383155.79,16624
2018-02-02,35.01,35.40,34.655,35.20,1776916,-0.11,-0.31%,35.20,62411334.99,14460
2018-02-01,36.50,36.67,35.29,35.31,1791456,-1.22,-3.34%,35.31,63919519.12,14326
2018-01-31,35.96,36.55,35.75,36.53,2198355,0.64,1.78%,36.53,79843435.81,13421
2018-01-30,35.93,36.22,35.78,35.89,1331302,-0.16,-0.44%,35.89,47869496.88,8682
2018-01-29,36.40,36.53,36.03,36.05,1459720,-0.46,-1.26%,36.05,52784316.00,10672
2018-01-26,36.84,36.92,36.245,36.51,1025897,-0.22,-0.60%,36.51,37390241.14,8087
2018-01-25,36.81,36.92,36.45,36.73,1360138,-0.09,-0.24%,36.73,49846296.62,10601
2018-01-24,36.95,37.05,36.64,36.82,1749610,-0.21,-0.57%,36.82,64399217.98,11521
2018-01-23,36.51,37.04,36.51,37.03,1598150,0.67,1.84%,37.03,58902752.45,12428
2018-01-22,36.02,36.39,35.96,36.36,1801880,0.39,1.08%,36.36,65390270.25,11957
2018-01-19,36.04,36.07,35.795,35.97,1491567,0.09,0.25%,35.97,53610833.34,8480
2018-01-18,35.93,36.05,35.555,35.88,1298222,-0.20,-0.55%,35.88,46511199.67,10751
2018-01-17,36.26,36.30,35.80,36.08,1036859,0.01,0.03%,36.08,37359381.83,9155
2018-01-16,35.88,36.39,35.86,36.07,1783012,0.37,1.04%,36.07,64382883.72,15234
2018-01-12,36.04,36.188,35.525,35.70,1587787,-0.38,-1.05%,35.70,56739555.74,12816
2018-01-11,36.44,36.61,36.04,36.08,1477778,-0.33,-0.91%,36.08,53481125.71,12397
2018-01-10,36.70,36.78,36.095,36.41,2371978,-0.53,-1.43%,36.41,86117702.17,14796
2018-01-09,37.29,37.48,36.41,36.94,1455226,-0.36,-0.97%,36.94,53840010.61,10842
2018-01-08,37.61,37.90,37.51,37.61,1369266,0.099,0.27%,37.30,51588609.59,10815
2018-01-05,37.57,37.595,37.28,37.51,1325824,-0.05,-0.13%,37.2008,49689230.55,8406
2018-01-04,38.22,38.32,37.46,37.56,1201504,-0.774,-2.03%,37.2504,45368455.82,8658
2018-01-03,38.10,38.415,38.10,38.34,1090937,0.278,0.74%,38.024,41762734.22,8102
2018-01-02,38.57,38.64,38.06,38.06,1290626,-0.456,-1.19%,37.7463,49331857.01,8477
2017-12-29,38.64,38.64,38.40,38.52,1064882,-0.099,-0.26%,38.2025,41043024.94,7164
2017-12-28,38.46,38.66,38.26,38.62,1041668,0.258,0.68%,38.3017,40163762.87,8801
2017-12-27,38.45,38.52,38.21,38.36,826471,0.03,0.08%,38.0438,31700891.12,6647
2017-12-26,38.20,38.36,38.04,38.33,704722,0.169,0.45%,38.0141,26978620.04,5841
2017-12-22,37.76,38.24,37.7188,38.16,1245730,0.476,1.27%,37.8455,47473639.18,9234
2017-12-21,38.025,38.19,37.68,37.68,1055735,-0.347,-0.92%,37.3694,39939185.62,8698
2017-12-20,38.23,38.365,37.95,38.03,1652161,-0.109,-0.29%,37.7166,62896725.10,10809
2017-12-19,39.31,39.51,38.005,38.14,1982373,-1.22,-3.12%,37.8257,75896216.82,13382
2017-12-18,39.46,39.62,39.27,39.37,1532315,0.01,0.03%,39.0455,60381531.47,11344
2017-12-15,39.25,39.47,39.16,39.36,3684336,0.258,0.66%,39.0356,144966772.78,11929
2017-12-14,38.895,39.16,38.83,39.10,1220668,0.069,0.18%,38.7777,47703850.70,8827
2017-12-13,39.43,39.54,38.86,39.03,2136482,-0.337,-0.86%,38.7083,83473573.81,14972
2017-12-12,39.13,39.42,39.02,39.37,1497469,0.139,0.36%,39.0455,58921396.43,10480
2017-12-11,39.31,39.37,39.05,39.23,1279303,0.198,0.51%,38.9067,50147198.73,10895
2017-12-08,38.87,39.13,38.67,39.03,1213422,0.198,0.52%,38.7083,47309947.76,8874
2017-12-07,38.91,39.01,38.715,38.83,1196304,-0.04,-0.10%,38.51,46498599.45,8807
2017-12-06,38.86,39.04,38.66,38.87,912664,0.069,0.18%,38.5496,35451749.49,7561
2017-12-05,39.38,39.38,38.77,38.80,1248196,-0.486,-1.25%,38.4802,48563531.82,9127
2017-12-04,39.33,39.43,39.16,39.29,1210294,0.069,0.18%,38.9662,47555011.03,9237
2017-12-01,39.46,39.765,39.02,39.22,1417857,-0.109,-0.28%,38.8967,55700152.11,12107
2017-11-30,39.44,39.48,39.12,39.33,1927182,-0.03,-0.08%,39.0058,75743544.64,10710
2017-11-29,39.04,39.46,38.69,39.36,1781341,-0.069,-0.18%,39.0356,69799745.10,14901
2017-11-28,39.46,39.56,39.22,39.43,1428593,-0.069,-0.18%,39.105,56280259.82,11006
2017-11-27,39.63,39.73,39.47,39.50,875034,-0.169,-0.43%,39.1744,34600941.82,7518
2017-11-24,39.73,39.80,39.62,39.67,372636,0.01,0.03%,39.343,14791569.15,3232
2017-11-22,39.63,39.79,39.35,39.66,1174914,-0.089,-0.23%,39.3331,46564210.45,9861
2017-11-21,39.45,39.87,39.33,39.75,1879281,0.357,0.91%,39.4224,74637623.80,12093
2017-11-20,39.15,39.50,39.05,39.39,1806253,0.218,0.56%,39.0653,71060790.91,13251
2017-11-17,39.41,39.60,39.01,39.17,4300113,-0.337,-0.86%,38.8472,168530678.01,14466
2017-11-16,39.37,39.66,39.28,39.51,1645662,0.109,0.28%,39.1844,65051351.80,10843
2017-11-15,39.99,40.329,39.36,39.40,1260159,-0.585,-1.48%,39.0753,49831885.02,10205
2017-11-14,39.92,40.09,39.71,39.99,1044300,0.05,0.13%,39.6604,41729184.74,9449
2017-11-13,39.78,40.15,39.76,39.94,1540661,0.198,0.50%,39.6108,61613664.84,12383
2017-11-10,39.61,40.14,39.61,39.74,1123652,-0.089,-0.23%,39.4125,44802031.18,9245
2017-11-09,39.96,40.31,39.72,39.83,1782959,-0.218,-0.55%,39.5017,71349358.53,13726
2017-11-08,39.35,40.06,39.3192,40.05,2409259,0.754,1.93%,39.7199,96049555.12,16734
2017-11-07,38.97,39.335,38.95,39.29,1507984,0.397,1.03%,38.9662,59117596.28,11933
2017-11-06,38.52,39.16,38.52,38.89,1815148,0.417,1.09%,38.5695,70680910.17,13313
2017-11-03,37.91,38.69,37.85,38.47,2349234,0.337,0.89%,38.1529,90265315.70,18374
2017-11-02,39.15,39.21,37.97,38.13,2371941,-0.962,-2.48%,37.8157,91060710.17,18160
2017-11-01,38.86,39.18,38.72,39.10,1558390,0.307,0.80%,38.7777,60777566.87,12958
2017-10-31,38.46,38.80,38.175,38.79,1462279,0.228,0.60%,38.4703,56484035.84,12033
2017-10-30,38.51,38.685,38.44,38.56,1930162,0.05,0.13%,38.2422,74435730.52,14283
2017-10-27,38.26,38.57,38.08,38.51,1465292,0.258,0.68%,38.1926,56373913.90,11905
2017-10-26,38.43,38.43,38.10,38.25,1553467,0.04,0.10%,37.9347,59373897.11,12650
2017-10-25,37.95,38.30,37.93,38.21,1430182,0.179,0.47%,37.8951,54523060.08,13803
2017-10-24,38.37,38.64,37.83,38.03,1574868,-0.516,-1.35%,37.7166,59942211.63,11901
2017-10-23,38.54,38.56,38.35,38.55,985480,0.129,0.34%,38.2323,37937413.55,8138
2017-10-20,38.52,38.57,38.21,38.42,1373346,-0.099,-0.26%,38.1033,52701202.39,8979
2017-10-19,38.60,38.62,38.347,38.52,1128846,-0.03,-0.08%,38.2025,43427131.19,9618
2017-10-18,38.72,38.80,38.48,38.55,736137,-0.218,-0.57%,38.2323,28384441.57,7297
2017-10-17,38.67,38.83,38.55,38.77,934882,0.01,0.03%,38.4505,36180293.33,7621
2017-10-16,38.96,39.08,38.66,38.76,969025,-0.238,-0.62%,38.4405,37555760.62,8035
2017-10-13,39.11,39.17,38.90,39.00,1100512,0.069,0.18%,38.6786,42937762.18,7843
2017-10-12,38.62,38.935,38.58,38.93,1047294,0.317,0.83%,38.6091,40666440.68,8281
2017-10-11,38.67,38.80,38.57,38.61,1116931,-0.03,-0.08%,38.2918,43168816.87,8157
2017-10-10,38.44,38.745,38.40,38.64,1418459,0.278,0.73%,38.3215,54761262.20,11838
2017-10-09,38.12,38.45,38.09,38.36,1160372,0.198,0.52%,38.0438,44486327.81,9022
2017-10-06,38.10,38.19,37.55,38.16,994031,-0.079,-0.21%,37.8455,37799837.91,8685
2017-10-05,38.74,38.955,38.44,38.55,1330769,0.157,0.42%,37.9248,51391234.02,11031
2017-10-04,37.94,38.48,37.91,38.39,787899,0.423,1.13%,37.7674,30158916.64,7410
2017-10-03,37.98,38.05,37.68,37.96,1116012,-0.01,-0.03%,37.3444,42295777.85,8741
2017-10-02,38.07,38.12,37.77,37.97,1135397,-0.059,-0.16%,37.3542,43067335.15,10528
2017-09-29,37.95,38.04,37.73,38.03,1253655,-0.02,-0.05%,37.4132,47581300.85,8735
2017-09-28,37.87,38.08,37.745,38.05,1048115,0.207,0.55%,37.4329,39767065.75,8855
2017-09-27,38.06,38.06,37.65,37.84,992046,-0.236,-0.63%,37.2263,37498123.54,8127
2017-09-26,38.12,38.25,38.06,38.08,1001205,-0.039,-0.10%,37.4624,38179886.39,8474
2017-09-25,38.05,38.24,37.97,38.12,1241960,0.108,0.29%,37.5018,47338503.89,7082
2017-09-22,38.25,38.30,37.93,38.01,705416,-0.138,-0.37%,37.3936,26836538.74,6415
2017-09-21,38.45,38.53,38.15,38.15,942534,-0.275,-0.73%,37.5313,36051852.92,6888
2017-09-20,38.49,38.71,38.30,38.43,1252141,-0.03,-0.08%,37.8068,48215444.71,10329
2017-09-19,38.88,38.96,38.37,38.46,1291671,-0.453,-1.18%,37.8363,49760422.73,9998
2017-09-18,38.94,39.04,38.69,38.92,1000932,-0.01,-0.03%,38.2888,38909478.87,7979
2017-09-15,39.04,39.09,38.69,38.93,2298844,-0.02,-0.05%,38.2986,89429638.48,8703
2017-09-14,38.69,38.995,38.55,38.95,1257601,0.236,0.62%,38.3183,48888484.31,8887
2017-09-13,39.20,39.25,38.60,38.71,1395341,-0.472,-1.22%,38.0822,54165612.51,11097
2017-09-12,39.75,39.75,38.95,39.19,1970369,-0.59,-1.51%,38.5544,77210132.86,15242
2017-09-11,39.63,39.87,39.51,39.79,1335853,0.236,0.61%,39.1447,53141494.72,11169
2017-09-08,39.45,39.70,39.38,39.55,2095598,0.118,0.30%,38.9086,82839952.92,14232
2017-09-07,39.14,39.48,38.95,39.43,1271582,0.364,0.95%,38.7905,49965300.24,13035
2017-09-06,39.14,39.31,38.975,39.06,1104999,-0.01,-0.03%,38.4265,43210951.64,9168
2017-09-05,38.83,39.12,38.69,39.07,1585919,0.226,0.59%,38.4364,61771705.23,12737
2017-09-01,38.88,39.05,38.75,38.84,992201,0.02,0.05%,38.2101,38640884.96,8151
2017-08-31,38.82,38.965,38.70,38.82,2049552,0.079,0.21%,38.1904,79526647.02,12534
2017-08-30,38.64,38.81,38.41,38.74,1474653,0.02,0.05%,38.1117,57015197.60,9623
2017-08-29,38.99,39.14,38.66,38.72,1143404,-0.207,-0.54%,38.0921,44396810.86,7436
2017-08-28,39.05,39.11,38.74,38.93,1492900,-0.108,-0.28%,38.2986,58039794.27,10291
