date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,226.21,227.00,222.77,222.77,3117345,-2.66,-1.18%,222.77,698898801.55,31671
2018-03-09,226.11,226.52,222.50,225.43,4834585,0.70,0.31%,225.43,1088478564.27,43287
2018-03-08,227.93,227.99,223.92,224.73,3500879,-1.79,-0.79%,224.73,789225264.52,33473
2018-03-07,224.35,227.815,223.75,227.27,3242203,1.086,0.48%,226.52,733401845.51,29947
2018-03-06,228.92,229.1534,223.89,226.18,2652763,-2.193,-0.96%,225.4336,599324647.81,28906
2018-03-05,223.37,229.43,222.79,228.38,2627307,3.179,1.42%,227.6263,596383324.51,25556
2018-03-02,223.21,225.82,222.59,225.19,2613605,0.738,0.33%,224.4469,586612521.36,29456
2018-03-01,225.70,229.29,222.738,224.45,3514589,-1.704,-0.76%,223.7093,792045650.71,38586
2018-02-28,234.42,234.75,226.09,226.16,4368572,-6.339,-2.74%,225.4137,999222564.90,35090
2018-02-27,234.40,235.89,232.44,232.52,2899477,-1.535,-0.66%,231.7527,678595116.41,31632
2018-02-26,231.64,234.51,229.70,234.06,3307022,3.887,1.69%,233.2876,771164959.54,27461
2018-02-23,227.90,230.32,225.905,230.16,2393949,3.06,1.35%,229.4005,547390871.97,20743
2018-02-22,226.30,229.84,225.08,227.09,2768064,1.954,0.87%,226.3406,630294436.93,26068
2018-02-21,226.15,229.35,225.11,225.13,3371907,-1.525,-0.68%,224.3871,764361625.11,26303
2018-02-20,227.91,228.75,225.61,226.66,3172340,-2.701,-1.18%,225.912,720635273.56,31603
2018-02-16,225.99,230.55,225.70,229.37,3621676,3.339,1.48%,228.6131,826844290.93,32259
2018-02-15,229.27,230.00,221.74,226.02,4662696,-2.751,-1.21%,225.2741,1048670078.40,44955
2018-02-14,224.95,229.34,223.92,228.78,2878356,2.133,0.94%,228.025,654032372.56,30801
2018-02-13,223.15,227.12,222.385,226.64,3536761,0.947,0.42%,225.8921,795952575.96,35000
