date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,110.22,110.75,108.89,108.91,3124847,-1.47,-1.33%,108.91,341698772.73,26294
2018-03-09,109.53,110.42,108.91,110.38,3201872,1.58,1.45%,110.38,352018120.60,27499
2018-03-08,109.41,110.54,106.97,108.80,6078959,-0.41,-0.38%,108.80,661269153.94,42021
2018-03-07,109.02,109.55,107.83,109.21,7097591,-0.59,-0.54%,109.21,773156039.09,51637
2018-03-06,107.49,110.04,106.31,109.80,8590537,3.99,3.77%,109.80,933121361.56,62874
2018-03-05,105.34,106.17,104.63,105.81,4997436,0.44,0.42%,105.81,527564366.19,34003
2018-03-02,105.76,106.30,104.37,105.37,4670569,-1.06,-1.00%,105.37,491642887.31,41072
2018-03-01,104.96,109.29,103.95,106.43,8701867,2.02,1.93%,106.43,931502073.72,72790
2018-02-28,106.40,106.60,104.38,104.41,3729244,-1.28,-1.21%,104.41,392925476.72,28828
2018-02-27,108.24,108.56,105.68,105.69,3605108,-2.38,-2.20%,105.69,385331611.67,32228
2018-02-26,106.70,108.44,106.01,108.07,4092385,2.46,2.33%,108.07,439847960.14,33402
2018-02-23,104.40,105.62,104.34,105.61,4417027,0.53,0.50%,105.61,463473157.16,32831
2018-02-22,105.35,106.48,104.65,105.08,3357008,0.38,0.36%,105.08,354397790.34,27779
2018-02-21,104.74,107.05,104.51,104.70,5515976,-0.01,-0.01%,104.70,583995503.01,40280
2018-02-20,106.25,106.65,104.33,104.71,5228599,-1.69,-1.59%,104.71,550028777.50,40092
2018-02-16,107.11,107.66,105.90,106.40,6119610,-1.00,-0.93%,106.40,653120187.26,38681
2018-02-15,107.15,108.33,105.52,108.31,5535121,1.696,1.60%,107.40,593719600.87,38629
2018-02-14,106.69,107.10,105.09,106.60,6504041,-0.952,-0.89%,105.7043,690562065.39,48906
2018-02-13,105.99,108.77,105.50,107.56,7557854,1.239,1.18%,106.6563,811222992.20,53560
2018-02-12,107.00,107.08,105.414,106.31,6677261,-0.079,-0.08%,105.4168,710219734.95,53088
2018-02-09,108.10,108.11,103.81,106.39,11369598,-2.866,-2.64%,105.4961,1206471066.34,91953
2018-02-08,111.76,112.50,109.23,109.28,6999074,-2.608,-2.35%,108.3618,776632823.98,60810
2018-02-07,112.39,113.26,111.62,111.91,7219687,-0.793,-0.71%,110.9697,811888977.47,56374
2018-02-06,112.62,115.89,109.68,112.71,11749078,-0.585,-0.52%,111.763,1323522604.32,99106
2018-02-05,115.89,116.31,113.21,113.30,8119637,-3.143,-2.72%,112.3481,934974454.83,67334
2018-02-02,118.985,119.14,115.52,116.47,9235616,-3.014,-2.54%,115.4914,1077159739.25,67689
2018-02-01,119.22,121.00,118.07,119.51,14405947,-7.744,-6.13%,118.5059,1717738209.97,105879
2018-01-31,128.50,128.97,126.25,127.32,5788268,-0.783,-0.62%,126.2503,738401007.87,43974
2018-01-30,130.37,130.74,128.10,128.11,4124859,-2.509,-1.94%,127.0336,531276431.51,34383
2018-01-29,132.76,133.56,130.61,130.64,2753769,-2.063,-1.57%,129.5424,362220433.86,23987
2018-01-26,131.21,132.72,131.04,132.72,2044532,1.418,1.09%,131.6049,270043743.18,15928
2018-01-25,131.96,131.97,129.71,131.29,3166768,-0.397,-0.30%,130.1869,414888133.83,23628
2018-01-24,132.51,132.9565,130.15,131.69,2862880,-0.377,-0.29%,130.5835,376838546.84,28184
2018-01-23,132.87,132.87,130.91,132.07,2952740,-0.783,-0.59%,130.9603,389692665.61,23810
2018-01-22,132.52,132.9899,131.14,132.86,3099993,-0.218,-0.17%,131.7437,410548670.35,27639
2018-01-19,133.86,134.02,131.92,133.08,3891715,-0.506,-0.38%,131.9619,517517890.65,30080
2018-01-18,134.65,135.53,133.53,133.59,3371107,-0.416,-0.31%,132.4676,452479798.20,26495
2018-01-17,133.53,134.30,132.39,134.01,3508825,1.121,0.85%,132.884,468870474.01,24518
2018-01-16,134.41,134.71,131.76,132.88,4126546,-1.20,-0.90%,131.7635,549448460.97,37586
2018-01-12,133.45,134.33,133.00,134.09,4212455,0.625,0.47%,132.9634,563953997.38,26279
2018-01-11,130.36,133.77,130.02,133.46,4252297,3.639,2.83%,132.3387,564927517.53,40280
2018-01-10,128.52,130.46,128.49,129.79,2927883,0.674,0.53%,128.6995,379992053.99,25039
2018-01-09,129.23,130.00,128.86,129.11,2957717,-0.059,-0.05%,128.0252,382764229.16,26955
2018-01-08,128.11,129.52,127.74,129.17,3243045,1.537,1.21%,128.0847,417368602.46,25773
2018-01-05,127.82,128.66,125.77,127.62,3699152,0.387,0.31%,126.5477,470642598.48,28413
2018-01-04,127.01,128.95,126.71,127.23,5473064,0.813,0.65%,126.161,700143759.13,38519
2018-01-03,124.15,126.69,123.90,126.41,5655594,2.717,2.22%,125.3479,710260843.48,46009
2018-01-02,120.04,123.71,119.61,123.67,5413025,4.482,3.79%,122.6309,662324033.22,43752
2017-12-29,119.05,120.32,119.00,119.15,2614403,0.099,0.08%,118.1489,312579627.92,17482
2017-12-28,119.49,119.56,118.51,119.05,1367260,-0.03,-0.03%,118.0497,162647323.13,11849
2017-12-27,118.20,119.13,118.0501,119.08,1507999,0.813,0.69%,118.0795,179371026.62,11195
2017-12-26,118.94,119.08,118.09,118.26,1309064,-0.377,-0.32%,117.2664,155048056.18,12243
2017-12-22,118.77,119.00,118.21,118.64,1933427,0.059,0.05%,117.6432,229431006.26,14216
2017-12-21,118.475,118.85,117.50,118.58,3377711,0.248,0.21%,117.5837,400191928.87,18204
2017-12-20,120.38,120.73,118.22,118.33,3420036,-0.664,-0.56%,117.3358,406898827.56,27849
2017-12-19,119.00,119.49,118.55,119.00,2111182,0.188,0.16%,118.0002,251375675.09,17495
2017-12-18,118.76,119.92,118.61,118.81,2580972,0.803,0.69%,117.8118,307531826.55,23340
2017-12-15,117.66,118.60,117.3068,118.00,4997181,1.15,0.99%,117.0086,589440156.17,21558
2017-12-14,118.10,118.34,116.33,116.84,2817363,-1.547,-1.32%,115.8583,330049767.70,25080
2017-12-13,118.48,119.33,118.04,118.40,2738497,0.238,0.20%,117.4052,325149315.28,19856
2017-12-12,117.91,118.88,117.61,118.16,2540981,0.109,0.09%,117.1672,300261977.07,19175
2017-12-11,119.33,119.41,117.56,118.05,2765450,-1.497,-1.26%,117.0581,326774996.65,23350
2017-12-08,120.06,120.13,117.89,119.56,3030422,-0.169,-0.14%,118.5555,360945315.61,23639
2017-12-07,118.36,120.02,117.85,119.73,3279999,1.428,1.22%,118.724,392206995.62,26329
2017-12-06,119.69,119.95,117.97,118.29,3346989,-2.063,-1.73%,117.2961,397192429.36,27543
2017-12-05,123.83,124.00,120.28,120.37,3690947,-3.322,-2.71%,119.3587,447348940.28,30744
2017-12-04,122.10,125.16,122.10,123.72,4535047,3.381,2.83%,122.6805,562397504.86,37416
2017-12-01,121.89,121.89,119.10,120.31,3141930,-1.13,-0.94%,119.2992,378722828.65,27788
2017-11-30,119.04,122.00,119.025,121.45,5654168,2.39,2.02%,120.4296,684637691.51,37428
2017-11-29,115.49,119.26,115.33,119.04,4122054,3.818,3.34%,118.0398,487327179.55,31795
