date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,32.80,33.06,32.61,32.82,2298817,0.10,0.31%,32.82,75542581.74,16602
2018-03-09,32.89,33.48,32.13,32.72,4808744,-0.13,-0.40%,32.72,157193345.18,32516
2018-03-08,33.65,33.72,32.73,32.85,2568389,-0.80,-2.38%,32.85,84639808.36,18195
2018-03-07,34.04,34.34,33.20,33.65,2505913,-0.56,-1.64%,33.65,84673168.92,16813
2018-03-06,34.49,34.50,33.83,34.21,2076254,-0.07,-0.20%,34.21,70905172.44,16463
2018-03-05,33.98,34.40,33.70,34.28,2993459,0.19,0.56%,34.28,102409109.10,21669
2018-03-02,32.79,34.32,32.43,34.09,3031865,0.96,2.90%,34.09,102122272.41,21456
2018-03-01,33.34,33.44,32.56,33.13,3696678,-0.21,-0.63%,33.13,121800264.94,28208
2018-02-28,33.63,33.875,32.87,33.34,4873041,0.13,0.39%,33.34,162992944.21,21497
2018-02-27,33.79,33.96,33.01,33.21,2255048,-0.67,-1.98%,33.21,75175468.54,17900
2018-02-26,33.89,34.21,33.53,33.88,2031207,0.14,0.41%,33.88,69000213.51,14283
2018-02-23,33.07,33.74,32.95,33.74,2588212,0.81,2.46%,33.74,86434292.20,17901
2018-02-22,33.12,33.74,32.81,32.93,2478560,-0.10,-0.30%,32.93,82082828.43,17895
2018-02-21,33.93,34.29,32.98,33.03,3688516,-0.95,-2.80%,33.03,122786655.03,23530
2018-02-20,33.48,34.54,33.43,33.98,3121615,0.48,1.43%,33.98,106099002.06,18613
2018-02-16,33.98,34.58,33.50,33.50,3620823,-0.43,-1.27%,33.50,122971509.56,24347
2018-02-15,34.00,34.17,33.08,33.93,4496381,0.00,0.00%,33.93,151218918.00,24805
2018-02-14,33.35,34.17,32.87,33.93,4730949,0.83,2.51%,33.93,159735364.64,30011
2018-02-13,32.71,33.29,32.62,33.10,4152102,0.22,0.67%,33.10,137298358.19,28949
2018-02-12,33.10,33.85,32.64,32.88,4408268,0.01,0.03%,32.88,145537059.24,29316
2018-02-09,33.20,33.48,30.83,32.87,7542236,0.16,0.49%,32.87,241661454.94,54177
