date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,94.01,94.48,92.53,92.69,3231872,-1.63,-1.73%,92.69,300488189.02,26030
2018-03-09,93.93,95.40,93.85,94.32,3500425,1.01,1.08%,94.32,331039970.33,25814
2018-03-08,92.10,93.46,91.10,93.31,3650780,1.27,1.38%,93.31,337837015.03,26906
2018-03-07,90.75,92.85,90.695,92.04,2616836,0.32,0.35%,92.04,240349593.29,19597
2018-03-06,91.88,92.765,91.00,91.72,2852301,0.16,0.17%,91.72,262419732.64,24080
2018-03-05,91.51,92.35,90.08,91.56,4656722,-0.64,-0.69%,91.56,425668545.84,36230
2018-03-02,90.06,92.62,89.57,92.20,3485040,1.38,1.52%,92.20,319079242.70,26533
2018-03-01,90.53,92.42,89.79,90.82,3035876,0.40,0.44%,90.82,276414099.31,27367
2018-02-28,93.00,93.47,90.40,90.42,2746798,-2.35,-2.53%,90.42,250925507.38,22481
2018-02-27,93.36,95.25,92.73,92.77,2893040,-0.54,-0.58%,92.77,271355278.96,24503
2018-02-26,93.11,93.8126,92.66,93.31,2563286,0.85,0.92%,93.31,239314812.24,21371
2018-02-23,92.68,92.90,91.66,92.46,2069238,0.41,0.45%,92.46,190819233.10,20232
2018-02-22,90.99,93.24,90.99,92.05,3047341,1.22,1.34%,92.05,281567162.39,29694
2018-02-21,91.50,92.75,90.81,90.83,2018076,-0.75,-0.82%,90.83,184990375.34,20673
2018-02-20,93.11,93.89,91.05,91.58,3083630,-1.69,-1.81%,91.58,283688702.41,25148
2018-02-16,93.01,94.41,92.41,93.27,2538806,0.27,0.29%,93.27,237086532.87,22106
2018-02-15,93.56,94.22,91.581,93.00,4057606,0.37,0.40%,93.00,376670169.96,28729
2018-02-14,88.86,93.04,88.7801,92.63,4877254,3.15,3.52%,92.63,448592333.09,40352
2018-02-13,88.33,89.80,88.16,89.48,3638168,0.64,0.72%,89.48,325304208.62,23600
2018-02-12,88.25,89.69,88.13,88.84,4020910,1.42,1.62%,88.84,357423342.09,31056
2018-02-09,87.63,89.37,85.26,88.22,5463449,1.437,1.67%,87.42,478404606.11,40300
2018-02-08,89.63,90.37,86.75,86.77,3975852,-3.042,-3.42%,85.9832,350328747.94,33691
2018-02-07,90.43,92.55,89.84,89.84,4344520,-0.614,-0.69%,89.0253,395067957.37,36999
2018-02-06,87.78,91.12,86.75,90.46,6335047,0.684,0.77%,89.6397,566598171.73,58273
2018-02-05,91.84,93.66,82.90,89.77,7072852,-3.389,-3.67%,88.956,638640582.68,57964
2018-02-02,94.19,95.85,92.74,93.19,4656726,-1.486,-1.58%,92.345,436963143.79,39126
2018-02-01,96.42,96.87,92.6964,94.69,5032298,-1.268,-1.33%,93.8314,473118385.69,40250
2018-01-31,94.55,96.43,94.46,95.97,5334042,1.615,1.73%,95.0997,510711537.11,33672
2018-01-30,95.82,96.02,92.11,94.34,4338765,-2.031,-2.13%,93.4845,410361543.47,32652
2018-01-29,98.63,98.63,96.19,96.39,2787105,-2.279,-2.33%,95.5159,270252046.03,22298
2018-01-26,97.56,98.75,97.39,98.69,2122211,1.496,1.55%,97.7951,208743220.61,17227
2018-01-25,98.19,98.19,96.881,97.18,2725312,-0.476,-0.49%,96.2988,265487124.23,20793
2018-01-24,99.93,99.95,96.98,97.66,3109532,-1.021,-1.04%,96.7744,305245943.20,26265
2018-01-23,99.31,99.31,98.06,98.69,2120302,-0.258,-0.26%,97.7951,209186082.03,17836
2018-01-22,97.62,99.10,97.43,98.95,2441159,1.675,1.74%,98.0527,240911444.29,20682
2018-01-19,96.77,97.29,96.25,97.26,2368832,0.793,0.83%,96.378,229643893.07,17180
