date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,121.59,121.68,120.08,120.99,740144,-0.21,-0.17%,120.99,89510498.13,6556
2018-03-09,120.15,121.53,119.81,121.20,947807,2.02,1.69%,121.20,114583514.10,9820
2018-03-08,119.30,121.20,117.40,119.18,1699517,0.09,0.08%,119.18,202068247.73,15147
2018-03-07,117.91,119.51,117.08,119.09,891265,-0.32,-0.27%,119.09,106048660.68,8713
2018-03-06,118.35,120.35,117.78,119.41,1155512,1.68,1.43%,119.41,137435209.51,11983
2018-03-05,117.64,118.50,115.59,117.73,1560975,-0.01,-0.01%,117.73,182872988.47,14972
2018-03-02,116.03,118.36,114.225,117.74,1806908,0.67,0.57%,117.74,210914301.44,17605
2018-03-01,118.36,119.66,115.84,117.07,1327770,-0.66,-0.56%,117.07,156237086.64,14013
2018-02-28,119.33,120.03,117.66,117.73,1359242,-1.14,-0.96%,117.73,161277174.60,10328
2018-02-27,121.40,121.99,118.30,118.87,2051340,-2.88,-2.37%,118.87,244975543.95,17063
2018-02-26,121.69,122.30,119.62,121.75,1311629,0.06,0.05%,121.75,158938539.38,13973
2018-02-23,122.98,123.1699,121.11,121.69,1279452,-0.43,-0.35%,121.69,155582313.83,10384
2018-02-22,122.18,123.62,120.6693,122.12,1404029,0.36,0.30%,122.12,171564801.36,10818
2018-02-21,124.63,125.95,121.88,122.04,1667610,-2.424,-1.95%,121.76,205389302.92,15271
2018-02-20,125.67,126.67,122.505,124.47,1881909,-2.095,-1.66%,124.1845,234323194.83,15787
2018-02-16,128.00,131.54,125.50,126.57,3235488,-6.884,-5.17%,126.2796,413090516.26,28922
2018-02-15,130.98,134.4389,130.17,133.47,1867278,3.841,2.97%,133.1638,248039309.21,16587
2018-02-14,128.07,130.06,126.48,129.62,1333192,0.249,0.19%,129.3227,171696408.92,12715
2018-02-13,128.20,132.03,128.00,129.37,1688210,2.205,1.74%,129.0732,219129252.83,16238
2018-02-12,126.40,128.41,125.38,127.16,1613783,2.155,1.73%,126.8683,204934926.09,13473
2018-02-09,122.31,126.12,119.34,125.00,1390359,3.522,2.91%,124.7133,171267950.35,14653
2018-02-08,128.48,128.62,121.40,121.47,1734167,-6.754,-5.28%,121.1913,215590476.08,17482
2018-02-07,125.92,131.2695,125.63,128.24,1552081,1.457,1.15%,127.9458,200535546.91,15970
2018-02-06,123.13,128.66,122.74,126.78,1746621,1.576,1.26%,126.4892,219957695.73,17914
2018-02-05,130.13,131.29,123.07,125.20,2381009,-5.787,-4.43%,124.9128,303505502.90,22381
2018-02-02,132.90,133.85,129.99,131.00,1861538,-3.223,-2.41%,130.6995,245325443.61,18795
2018-02-01,134.61,136.94,133.92,134.23,2100886,-1.167,-0.86%,133.9221,284392221.33,14092
2018-01-31,140.49,140.49,132.745,135.40,2190456,-4.42,-3.17%,135.0894,296972820.18,20597
2018-01-30,138.23,140.81,137.52,139.83,1782758,0.908,0.66%,139.5092,249371597.16,14499
2018-01-29,141.00,141.00,138.18,138.92,1400859,-2.185,-1.55%,138.6013,195224885.56,12274
2018-01-26,139.02,141.20,138.545,141.11,1570755,2.564,1.86%,140.7863,220897391.46,13321
2018-01-25,136.11,139.19,135.24,138.54,1094020,3.043,2.25%,138.2222,150476447.02,10351
2018-01-24,134.70,136.96,133.32,135.49,1297947,0.609,0.45%,135.1792,175488391.98,11412
2018-01-23,132.76,135.22,131.80,134.88,1118225,1.876,1.41%,134.5706,149589901.92,11822
2018-01-22,135.20,135.20,132.02,133.00,1443614,-2.025,-1.50%,132.6949,191931889.67,12597
2018-01-19,135.89,137.65,134.43,135.03,1428319,-0.13,-0.10%,134.7202,193295367.24,10013
2018-01-18,134.85,136.49,134.18,135.16,1371721,0.579,0.43%,134.8499,185450281.49,13028
2018-01-17,134.56,135.45,133.71,134.58,698197,0.888,0.67%,134.2713,93923941.83,8054
2018-01-16,134.35,136.32,132.94,133.69,1603152,-0.279,-0.21%,133.3833,215235027.34,8377
2018-01-12,135.27,135.35,133.61,133.97,915910,-1.207,-0.90%,133.6627,122993093.42,8353
2018-01-11,133.37,135.89,132.66,135.18,916251,2.774,2.10%,134.8699,123680530.64,8582
2018-01-10,133.24,133.73,131.46,132.40,1330755,-1.736,-1.30%,132.0963,176251845.97,11228
2018-01-09,133.84,135.60,133.49,134.14,1229023,0.20,0.15%,133.8323,165326860.13,11044
2018-01-08,131.90,134.08,129.80,133.94,993259,2.035,1.55%,133.6327,131828152.36,9193
2018-01-05,133.45,134.00,130.86,131.90,1285256,-1.477,-1.11%,131.5974,169494456.24,10580
2018-01-04,135.08,135.45,132.55,133.38,1326248,-0.908,-0.68%,133.074,177139051.53,11343
2018-01-03,132.59,135.00,132.23,134.29,2600985,2.414,1.84%,133.9819,347898421.27,18394
2018-01-02,129.75,132.32,128.96,131.87,1869694,3.492,2.73%,131.5675,245424977.19,16335
2017-12-29,128.48,129.63,127.03,128.37,967600,0.768,0.60%,128.0755,124303422.93,9815
2017-12-28,127.50,127.97,126.56,127.60,745742,0.12,0.09%,127.3073,94824075.29,6638
2017-12-27,127.15,127.885,125.89,127.48,801333,0.758,0.60%,127.1876,102012709.52,7578
2017-12-26,124.02,127.85,124.0001,126.72,958075,2.484,2.00%,126.4293,121434835.48,10050
2017-12-22,122.245,125.68,119.99,124.23,1158663,1.377,1.12%,123.945,143766508.78,12573
2017-12-21,119.40,122.92,118.69,122.85,1344245,3.861,3.25%,122.5682,163631899.14,12659
2017-12-20,119.14,120.37,117.74,118.98,1398714,-0.279,-0.23%,118.7071,166475468.99,12951
2017-12-19,122.33,122.86,118.85,119.26,1433029,-3.043,-2.49%,118.9864,172528947.51,12845
2017-12-18,121.81,123.50,120.00,122.31,1160703,1.487,1.23%,122.0294,141741098.17,11728
2017-12-15,121.595,122.59,120.57,120.82,1448947,0.579,0.48%,120.5428,175620875.92,8571
2017-12-14,122.47,123.11,119.35,120.24,1229221,-2.863,-2.33%,119.9642,148302377.91,12723
2017-12-13,122.17,123.97,121.39,123.11,1472560,1.596,1.32%,122.8276,180893487.81,15301
2017-12-12,123.09,124.87,120.905,121.51,1225791,-1.407,-1.15%,121.2313,149462856.47,10816
2017-12-11,125.01,125.62,122.35,122.92,1187846,-2.953,-2.35%,122.638,146570040.32,10611
2017-12-08,125.54,127.62,125.05,125.88,1359304,0.998,0.80%,125.5912,171410648.52,13115
2017-12-07,121.29,125.80,120.58,124.88,1688602,3.761,3.11%,124.5935,209636020.74,13764
2017-12-06,122.25,122.77,121.04,121.11,1238622,-1.596,-1.30%,120.8322,150721415.85,13342
2017-12-05,126.23,126.27,121.60,122.71,1026051,-2.534,-2.03%,122.4285,126506914.95,11056
2017-12-04,122.69,126.78,122.10,125.25,1860478,4.031,3.33%,124.9627,232863867.45,17429
2017-12-01,125.73,125.85,120.47,121.21,1911037,-4.43,-3.53%,120.9319,233110880.80,18259
2017-11-30,124.60,126.61,123.50,125.65,1540517,0.788,0.63%,125.3618,193014462.13,13073
2017-11-29,121.98,125.54,121.35,124.86,1157284,3.193,2.63%,124.5736,144038451.75,11367
2017-11-28,119.98,121.75,119.72,121.66,832533,2.025,1.70%,121.3809,100838305.13,8525
