date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,68.09,68.89,67.92,68.36,2132128,0.15,0.22%,68.36,146005392.05,10191
2018-03-09,67.84,68.25,66.61,68.21,888645,0.59,0.87%,68.21,60008239.17,8016
2018-03-08,67.98,67.98,67.28,67.62,762596,-0.02,-0.03%,67.62,51526455.10,6156
2018-03-07,67.14,67.79,66.90,67.64,721911,0.04,0.06%,67.64,48715100.77,7034
2018-03-06,67.34,67.69,66.68,67.60,902761,0.38,0.57%,67.60,60790621.25,8755
2018-03-05,66.00,67.69,65.97,67.22,1564734,0.83,1.25%,67.22,105145551.08,9657
2018-03-02,66.00,66.46,65.41,66.39,973833,0.09,0.14%,66.39,64298088.28,9349
2018-03-01,66.17,67.30,65.90,66.30,978433,-0.17,-0.26%,66.30,65069886.31,10049
2018-02-28,66.88,67.45,66.42,66.47,1963386,0.07,0.11%,66.47,131089416.62,11657
2018-02-27,68.14,68.48,66.21,66.40,1135981,-1.70,-2.50%,66.40,75953024.44,10042
2018-02-26,67.68,68.18,67.27,68.10,678198,0.43,0.64%,68.10,46023610.89,7034
2018-02-23,66.91,67.69,66.17,67.67,565566,1.14,1.71%,67.67,38040013.84,5481
2018-02-22,65.52,67.07,65.52,66.53,1178283,1.34,2.06%,66.53,78428303.94,11671
2018-02-21,67.03,67.41,65.16,65.19,1427354,-2.10,-3.12%,65.19,93818255.60,11200
2018-02-20,67.36,68.44,67.15,67.29,1441444,-0.37,-0.55%,67.29,97677059.86,13062
2018-02-16,67.03,68.03,66.80,67.66,940982,0.51,0.76%,67.66,63525778.57,7758
2018-02-15,66.18,67.26,66.03,67.15,1215754,1.07,1.62%,67.15,81278306.05,10155
2018-02-14,66.80,66.88,65.29,66.08,2126978,-1.38,-2.05%,66.08,140417740.34,17515
2018-02-13,67.54,67.975,66.15,67.46,2085212,-0.14,-0.21%,67.46,139763744.81,15471
2018-02-12,67.79,68.01,65.49,67.60,1579291,-0.09,-0.13%,67.60,105852956.86,15105
2018-02-09,66.49,68.26,65.64,67.69,1587841,1.51,2.28%,67.69,106226748.68,13444
