date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,105.82,106.07,104.68,104.86,680972,-0.98,-0.93%,104.86,71495769.86,6990
2018-03-09,104.95,106.01,104.65,105.84,1175886,1.46,1.40%,105.84,124128375.83,9669
2018-03-08,104.33,104.68,103.76,104.38,824346,0.25,0.24%,104.38,85974031.77,6912
2018-03-07,103.63,104.30,103.08,104.13,636523,-0.14,-0.13%,104.13,66228059.70,5740
2018-03-06,103.31,104.55,103.075,104.27,1012699,1.18,1.14%,104.27,105379952.06,10151
2018-03-05,101.27,103.34,100.86,103.09,857713,1.72,1.70%,103.09,87994776.86,6812
2018-03-02,100.19,101.59,99.30,101.37,1140587,0.31,0.31%,101.37,114910493.79,10741
2018-03-01,102.00,102.675,100.00,101.06,996719,-1.13,-1.11%,101.06,100981117.32,12143
2018-02-28,103.67,103.72,102.16,102.19,867377,-0.88,-0.85%,102.19,89279423.40,7406
2018-02-27,103.85,103.86,103.04,103.07,951269,-0.52,-0.50%,103.07,98362836.51,9687
2018-02-26,101.83,103.62,101.79,103.59,1005838,2.05,2.02%,103.59,103743402.70,9644
2018-02-23,100.00,101.57,99.18,101.54,802692,1.93,1.94%,101.54,80821814.91,8836
2018-02-22,100.62,101.69,98.99,99.61,1733951,0.38,0.38%,99.61,174110396.40,16451
2018-02-21,100.00,102.00,99.00,99.23,1855629,2.19,2.26%,99.23,185597295.94,17942
2018-02-20,98.51,98.51,96.59,97.04,1466220,-1.75,-1.77%,97.04,142399044.47,15233
2018-02-16,98.17,99.68,98.17,98.79,2067699,0.56,0.57%,98.79,204351541.99,10009
2018-02-15,97.40,98.23,96.51,98.23,937641,1.60,1.66%,98.23,91607528.51,8140
2018-02-14,94.37,96.78,93.52,96.63,916033,1.75,1.84%,96.63,87966555.55,9653
2018-02-13,93.94,95.0799,92.6181,94.88,800183,0.58,0.62%,94.88,75691430.45,7528
2018-02-12,93.58,95.13,92.89,94.30,900236,1.39,1.50%,94.30,84930754.29,10285
2018-02-09,92.98,93.54,90.60,92.91,1134681,0.63,0.68%,92.91,104613260.53,12830
2018-02-08,94.70,95.49,92.24,92.28,1038163,-2.41,-2.55%,92.28,97027653.52,11553
2018-02-07,94.61,96.40,94.52,94.69,940112,-0.32,-0.34%,94.69,89532780.00,10074
2018-02-06,93.53,95.44,92.401,95.01,1246944,0.12,0.13%,95.01,117755265.12,13270
2018-02-05,98.88,99.31,94.85,94.89,1257480,-3.94,-3.99%,94.89,120937500.20,12219
2018-02-02,99.84,100.26,98.80,98.83,1086583,-1.43,-1.43%,98.83,107947864.87,11042
2018-02-01,99.23,100.34,98.00,100.26,1599836,0.21,0.21%,100.26,159862220.44,14280
2018-01-31,99.17,100.54,98.72,100.05,1264569,0.93,0.94%,100.05,126472991.64,12627
2018-01-30,98.29,99.40,97.875,99.12,1253586,0.87,0.89%,99.12,123887543.15,10680
2018-01-29,98.00,98.86,97.54,98.25,1033914,-0.06,-0.06%,98.25,101794935.46,8810
2018-01-26,98.96,98.96,97.87,98.31,1477579,-0.28,-0.28%,98.31,145099326.09,10823
2018-01-25,99.45,99.71,98.53,98.59,653215,-0.41,-0.41%,98.59,64591562.94,6666
2018-01-24,99.25,99.92,98.89,99.00,637390,-0.25,-0.25%,99.00,63219256.90,6305
2018-01-23,99.08,99.30,97.33,99.25,922074,-0.27,-0.27%,99.25,91239206.62,8406
2018-01-22,99.01,99.55,98.34,99.52,628744,0.62,0.63%,99.52,62286717.38,6580
2018-01-19,98.50,99.09,97.99,98.90,1088586,0.70,0.71%,98.90,107106512.12,8019
2018-01-18,98.09,98.719,96.2862,98.20,763973,0.19,0.19%,98.20,75000959.81,6322
2018-01-17,97.75,98.27,97.27,98.01,719836,0.81,0.83%,98.01,70452915.54,8034
2018-01-16,97.37,97.89,97.10,97.20,967582,-0.30,-0.31%,97.20,94237940.13,7223
2018-01-12,96.78,97.59,96.43,97.50,734536,0.83,0.86%,97.50,71374572.98,7522
2018-01-11,96.39,96.73,96.03,96.67,357869,0.33,0.34%,96.67,34521569.34,5192
2018-01-10,97.13,97.13,96.07,96.34,437528,-0.39,-0.40%,96.34,42177961.72,6099
2018-01-09,97.02,97.19,96.33,96.73,566880,-0.27,-0.28%,96.73,54929399.35,6492
2018-01-08,96.56,97.56,96.335,97.00,791601,0.12,0.12%,97.00,76804335.00,8589
2018-01-05,96.50,96.96,95.92,96.88,882063,0.85,0.89%,96.88,85208294.88,8706
2018-01-04,95.96,96.29,95.58,96.03,960974,0.48,0.50%,96.03,92194412.75,9144
2018-01-03,95.76,95.97,95.26,95.55,760168,-0.28,-0.29%,95.55,72598261.41,9056
2018-01-02,96.48,96.74,95.38,95.83,653913,-0.17,-0.18%,95.83,62657569.62,7451
2017-12-29,96.41,97.00,95.93,96.00,529448,-0.45,-0.47%,96.00,50906589.33,4391
