date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,120.72,120.99,119.835,120.24,925963,-0.22,-0.18%,120.24,111348685.07,9729
2018-03-09,119.28,120.91,117.76,120.46,1220336,2.11,1.78%,120.46,146724683.92,10779
2018-03-08,117.42,118.44,116.66,118.35,1898042,0.42,0.36%,118.35,224095900.85,6640
2018-03-07,116.61,118.49,116.32,117.93,1255379,0.48,0.41%,117.93,147958888.60,8770
2018-03-06,117.65,118.45,116.12,117.45,598173,0.19,0.16%,117.45,70094152.01,7146
2018-03-05,115.10,117.40,114.88,117.26,567562,1.48,1.28%,117.26,66110222.24,5878
2018-03-02,113.97,115.99,113.04,115.78,603812,0.76,0.66%,115.78,69343955.28,6577
2018-03-01,116.06,116.86,113.78,115.02,804248,-1.00,-0.86%,115.02,92673669.95,9559
2018-02-28,117.10,118.36,116.00,116.02,904529,-0.39,-0.34%,116.02,105640992.97,8027
2018-02-27,117.59,118.48,116.41,116.41,869018,-0.84,-0.72%,116.41,101993475.96,7843
2018-02-26,118.46,118.99,116.62,117.25,864098,-0.39,-0.33%,117.25,101280914.48,8364
2018-02-23,115.49,118.12,114.7892,117.64,745302,2.72,2.37%,117.64,87415254.50,6021
2018-02-22,116.47,117.73,114.53,114.92,936210,-0.78,-0.67%,114.92,108512878.67,9322
2018-02-21,116.83,118.11,115.58,115.70,1212858,-0.64,-0.55%,115.70,141587057.47,10557
2018-02-20,119.70,120.00,116.18,116.34,1942321,-4.21,-3.49%,116.34,228654584.81,12632
2018-02-16,116.47,121.61,116.23,120.55,2361321,4.20,3.61%,120.55,283202597.25,16502
2018-02-15,114.80,116.48,114.17,116.35,1007176,2.37,2.08%,116.35,116560973.00,8119
2018-02-14,110.18,114.03,110.00,113.98,826083,3.41,3.08%,113.98,93435499.75,8649
2018-02-13,110.45,111.41,109.20,110.57,1054380,-0.46,-0.41%,110.57,116202639.89,10479
2018-02-12,109.56,111.53,109.28,111.03,3585784,1.94,1.78%,111.03,396672585.91,9572
2018-02-09,107.30,110.63,105.40,109.09,2231666,3.47,3.29%,109.09,242917734.53,16669
2018-02-08,109.24,110.00,105.53,105.62,1238726,-3.49,-3.20%,105.62,132461222.49,14520
2018-02-07,109.11,110.91,108.19,109.11,994413,-0.30,-0.27%,109.11,108885641.01,10210
2018-02-06,106.92,109.85,106.091,109.41,1171603,0.68,0.63%,109.41,127160230.36,13644
2018-02-05,111.90,113.24,108.70,108.73,1011241,-3.78,-3.36%,108.73,111986152.05,11342
2018-02-02,113.85,114.42,112.46,112.51,860163,-2.19,-1.91%,112.51,97361952.33,8738
2018-02-01,114.21,116.34,113.6401,114.70,860431,-0.22,-0.19%,114.70,99067855.33,9612
2018-01-31,112.35,115.32,112.22,114.92,938966,2.77,2.47%,114.92,107616779.64,9380
2018-01-30,111.65,113.12,111.51,112.15,476632,-0.26,-0.23%,112.15,53543549.11,5930
2018-01-29,114.89,115.44,111.92,112.41,941270,-2.90,-2.51%,112.41,106457036.47,9402
2018-01-26,116.62,116.63,115.15,115.31,617124,-0.68,-0.59%,115.31,71336085.29,7383
2018-01-25,116.28,116.635,115.63,115.99,551775,0.22,0.19%,115.99,64084145.01,6114
2018-01-24,116.07,116.62,115.35,115.77,474461,0.00,0.00%,115.77,54997332.80,6177
2018-01-23,114.40,115.99,114.31,115.77,621099,1.31,1.14%,115.77,71705578.32,6804
2018-01-22,114.48,115.08,114.25,114.46,980755,-0.02,-0.02%,114.46,112324718.74,6531
2018-01-19,115.07,115.26,114.10,114.48,859393,-0.06,-0.05%,114.48,98514099.94,8319
2018-01-18,114.09,115.17,114.09,114.54,729875,0.54,0.47%,114.54,83691662.82,7915
2018-01-17,113.07,114.47,112.98,114.00,688617,1.35,1.20%,114.00,78517252.07,7295
2018-01-16,113.75,114.03,112.50,112.65,651014,-0.96,-0.84%,112.65,73579721.33,6896
2018-01-12,112.23,113.79,112.01,113.61,648675,1.38,1.23%,113.61,73438867.01,6979
2018-01-11,112.32,112.81,111.60,112.23,745077,0.27,0.24%,112.23,83657659.82,5613
2018-01-10,112.43,112.61,111.74,111.96,586556,-1.01,-0.89%,111.96,65787503.90,6374
2018-01-09,114.79,114.79,112.11,112.97,917245,-1.34,-1.17%,112.97,103526452.93,9802
2018-01-08,112.44,114.60,112.27,114.31,674452,1.31,1.16%,114.31,76816796.87,7547
2018-01-05,111.79,113.02,111.7301,113.00,511872,1.53,1.37%,113.00,57580359.97,6500
2018-01-04,111.54,112.35,110.60,111.47,716274,0.57,0.51%,111.47,79807394.48,7914
2018-01-03,109.72,111.03,108.55,110.90,1188203,1.43,1.31%,110.90,130719661.13,12146
2018-01-02,114.69,115.13,109.32,109.47,1396799,-4.97,-4.34%,109.47,154372395.67,13707
2017-12-29,115.76,116.43,114.38,114.44,504146,-1.06,-0.92%,114.44,57941518.94,5303
2017-12-28,114.65,115.60,114.37,115.50,424831,1.12,0.98%,115.50,48950256.86,4922
2017-12-27,113.90,114.51,113.69,114.38,439177,0.47,0.41%,114.38,50186131.29,3726
2017-12-26,113.35,114.22,112.51,113.91,704403,-0.08,-0.07%,113.91,80035068.36,5487
2017-12-22,114.37,114.37,113.1601,113.99,500636,-0.20,-0.18%,113.99,57061481.00,5793
2017-12-21,116.11,116.50,114.04,114.19,974434,-1.82,-1.57%,114.19,111779748.53,7360
2017-12-20,116.09,116.19,114.83,116.01,495188,0.46,0.40%,116.01,57342542.12,5281
2017-12-19,116.14,116.36,114.54,115.55,928650,-0.55,-0.47%,115.55,107292190.66,9285
