date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,176.50,178.15,174.80,177.13,1357560,0.87,0.49%,177.13,240592607.13,12797
2018-03-09,173.26,176.31,171.76,176.26,1415305,4.38,2.55%,176.26,247942611.03,13233
2018-03-08,170.39,171.98,169.18,171.88,1060709,1.71,1.00%,171.88,181391039.95,10448
2018-03-07,167.94,170.77,167.906,170.17,1215786,1.45,0.86%,170.17,206051385.75,11787
2018-03-06,173.33,173.85,166.05,168.72,2176828,-4.44,-2.56%,168.72,368870167.87,22103
2018-03-05,168.49,173.45,167.17,173.16,1882421,3.10,1.82%,173.16,323444768.95,17607
2018-03-02,163.08,170.22,161.89,170.06,2111944,4.23,2.55%,170.06,352509990.18,21200
2018-03-01,165.68,168.00,163.61,165.83,2028742,-0.20,-0.12%,165.83,336328421.37,21235
2018-02-28,166.70,169.5409,164.63,166.03,2055525,0.15,0.09%,166.03,343582397.40,16580
2018-02-27,168.99,170.89,165.72,165.88,1635786,-3.66,-2.16%,165.88,273343694.51,14049
2018-02-26,166.92,170.36,166.03,169.54,1779326,3.64,2.19%,169.54,300463344.11,17535
2018-02-23,159.01,165.98,158.10,165.90,1591078,8.31,5.27%,165.90,259760442.80,15582
2018-02-22,161.50,162.32,157.00,157.59,1654835,-0.30,-0.19%,157.59,263368284.33,16643
2018-02-21,160.63,161.72,157.83,157.89,1160791,-3.09,-1.92%,157.89,184927640.95,12380
2018-02-20,158.49,164.01,158.01,160.98,1136414,0.26,0.16%,160.98,183682413.17,12884
2018-02-16,160.85,162.07,159.39,160.72,1001947,-0.22,-0.14%,160.72,161150531.38,9770
2018-02-15,158.36,161.08,157.16,160.94,1244660,3.68,2.34%,160.94,198961593.20,14528
2018-02-14,152.63,158.24,152.32,157.26,1992074,3.12,2.02%,157.26,312089743.36,17310
2018-02-13,151.40,155.49,150.99,154.14,1624480,2.13,1.40%,154.14,249124591.49,17489
2018-02-12,153.41,154.18,148.61,152.01,2242152,-0.95,-0.62%,152.01,338768938.50,21280
2018-02-09,152.92,154.63,146.21,152.96,2719763,1.36,0.90%,152.96,408298409.70,30523
2018-02-08,155.32,157.62,151.59,151.60,2854017,-4.07,-2.61%,151.60,440049996.01,23970
2018-02-07,157.10,160.11,155.615,155.67,1812917,-3.60,-2.26%,155.67,286161326.95,19146
2018-02-06,152.63,159.79,151.35,159.27,3114575,4.13,2.66%,159.27,485944749.68,32037
2018-02-05,163.08,165.87,155.03,155.14,2906900,-11.10,-6.68%,155.14,464333023.26,30241
2018-02-02,169.42,169.96,163.64,166.24,3455085,-6.75,-3.90%,166.24,574912220.01,32745
2018-02-01,174.11,174.955,163.17,172.99,5090031,6.12,3.67%,172.99,855062646.43,41279
2018-01-31,166.72,168.585,164.53,166.87,2323805,0.33,0.20%,166.87,386545983.23,20673
2018-01-30,166.37,168.08,164.00,166.54,2184621,-0.60,-0.36%,166.54,364214855.23,18436
2018-01-29,169.13,171.26,166.4171,167.14,1828670,-2.07,-1.22%,167.14,307550330.68,17557
2018-01-26,167.14,169.30,166.10,169.21,1495100,2.97,1.79%,169.21,250927172.12,14444
