date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,49.61,50.50,49.56,50.38,4084402,0.69,1.39%,50.38,205205433.39,32130
2018-03-09,50.46,50.61,49.26,49.69,3653001,-0.83,-1.64%,49.69,181368175.42,28294
2018-03-08,50.97,50.97,49.98,50.52,4368145,-0.70,-1.37%,50.52,220383145.45,33829
2018-03-07,50.30,51.24,49.99,51.22,2288361,0.77,1.53%,51.22,116551786.45,20684
2018-03-06,50.64,50.79,49.6805,50.45,2153833,-0.32,-0.63%,50.45,108513143.44,20434
2018-03-05,49.86,51.29,49.80,50.77,3753213,0.91,1.83%,50.77,190638205.24,29576
2018-03-02,49.50,50.09,49.21,49.86,3333704,0.28,0.56%,49.86,165779079.25,26754
2018-03-01,48.18,49.72,47.9712,49.58,3591089,1.26,2.61%,49.58,177159344.46,29802
2018-02-28,49.18,49.36,48.30,48.32,3371928,-0.59,-1.21%,48.32,164099583.33,24268
2018-02-27,50.73,50.93,48.91,48.91,2664787,-1.82,-3.59%,48.91,131956055.20,23804
2018-02-26,50.67,50.74,50.19,50.73,1975581,0.22,0.44%,50.73,99815947.52,17829
2018-02-23,49.95,50.52,49.50,50.51,1954768,0.84,1.69%,50.51,97975288.56,17256
2018-02-22,49.58,50.3299,49.12,49.67,1914619,0.33,0.67%,49.67,95368334.56,17159
2018-02-21,50.29,50.40,49.33,49.34,2288617,-0.93,-1.85%,49.34,113883479.18,19897
2018-02-20,51.11,51.56,50.26,50.27,2281262,-1.12,-2.18%,50.27,115786527.28,17964
2018-02-16,50.79,51.64,50.71,51.39,2454894,0.75,1.48%,51.39,125649222.57,20223
2018-02-15,49.62,50.75,49.62,50.64,2652303,1.02,2.06%,50.64,133552007.07,22132
2018-02-14,50.31,50.44,49.348,49.62,2867204,-1.10,-2.17%,49.62,142248000.10,23302
2018-02-13,50.38,50.90,49.58,50.72,3193339,0.26,0.52%,50.72,161065236.51,24155
2018-02-12,51.65,51.91,49.47,50.46,3986091,-1.13,-2.19%,50.46,200838182.57,33449
2018-02-09,50.05,52.01,49.17,51.59,5891931,0.67,1.32%,51.59,299997088.06,44602
2018-02-08,52.80,52.92,50.92,50.92,6466754,-2.05,-3.87%,50.92,334800635.81,44047
