date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,49.03,49.26,48.67,48.80,12526287,-0.21,-0.43%,48.80,612225959.85,67345
2018-03-09,49.20,49.23,48.35,49.01,14927138,0.00,0.00%,49.01,728441617.66,70534
2018-03-08,48.89,49.03,48.32,49.01,17038529,0.17,0.35%,49.01,830433112.40,76104
2018-03-07,48.54,49.21,48.46,48.84,16738156,-0.05,-0.10%,48.84,817587616.06,69178
2018-03-06,48.75,48.89,48.30,48.89,13526912,0.18,0.37%,48.89,658679493.51,64865
2018-03-05,48.15,48.94,48.02,48.71,15348432,0.45,0.93%,48.71,745996278.67,75753
2018-03-02,47.83,48.325,47.76,48.26,17449857,0.30,0.63%,48.26,839708529.81,91174
2018-03-01,47.69,48.60,47.51,47.96,28950158,0.22,0.46%,47.96,1390899542.70,131152
2018-02-28,48.76,48.96,47.72,47.74,22159143,-0.30,-0.62%,47.74,1068191171.86,87729
2018-02-27,49.02,49.17,48.04,48.04,23234746,-1.05,-2.14%,48.04,1128072639.16,113430
2018-02-26,48.72,49.15,48.45,49.09,20853929,0.80,1.66%,49.09,1018169143.11,107020
2018-02-23,48.09,48.30,47.535,48.29,26371397,0.42,0.88%,48.29,1264688022.62,110661
2018-02-22,48.25,48.70,47.78,47.87,21198268,-0.09,-0.19%,47.87,1020970591.81,97409
2018-02-21,48.80,48.86,47.94,47.96,20889871,-0.96,-1.96%,47.96,1012277065.60,116313
2018-02-20,49.84,49.89,48.76,48.92,21330390,-1.23,-2.45%,48.92,1046293000.34,98246
2018-02-16,49.69,50.455,49.69,50.15,12263969,0.41,0.82%,50.15,614662363.19,61365
2018-02-15,49.55,49.78,48.95,49.74,18902737,0.23,0.46%,49.74,933693170.83,85399
2018-02-14,49.76,50.10,49.32,49.51,17559235,-0.57,-1.14%,49.51,871622444.74,89138
2018-02-13,49.91,50.26,49.17,50.08,11871683,-0.03,-0.06%,50.08,591267984.65,68213
2018-02-12,50.22,50.66,49.58,50.11,16903021,0.23,0.46%,50.11,847008201.82,83752
2018-02-09,49.60,50.30,48.37,49.88,27707860,0.84,1.71%,49.88,1366210266.66,165008
2018-02-08,50.89,51.08,49.00,49.04,23308910,-1.97,-3.86%,49.04,1163849818.64,122729
2018-02-07,50.63,51.93,50.50,51.01,16066607,0.18,0.35%,51.01,824940804.01,89847
2018-02-06,49.44,51.00,49.07,50.83,34543947,0.33,0.65%,50.83,1733543142.15,195166
2018-02-05,52.52,53.19,50.50,50.50,22239589,-2.48,-4.68%,50.50,1149145472.75,125618
2018-02-02,54.27,54.27,52.90,52.98,15574016,-1.32,-2.43%,52.98,831190980.73,78278
2018-02-01,54.49,54.75,54.01,54.30,18646097,0.23,0.43%,54.30,1011986353.72,73268
2018-01-31,53.99,54.4199,53.53,54.07,17826960,0.17,0.32%,54.07,962528109.83,74460
2018-01-30,54.30,54.50,53.79,53.90,15401453,-0.23,-0.42%,53.90,832799071.72,73425
2018-01-29,53.58,54.58,53.40,54.13,17052645,-0.59,-1.08%,54.13,921885940.29,81467
2018-01-26,54.49,54.75,54.34,54.72,13077557,0.43,0.79%,54.72,713934725.82,58363
2018-01-25,54.28,54.77,54.01,54.29,18638689,0.07,0.13%,54.29,1013062847.95,91932
2018-01-24,53.82,54.44,53.50,54.22,21080439,0.99,1.86%,54.22,1140108096.58,95686
2018-01-23,54.60,54.60,52.81,53.23,33000480,-0.23,-0.43%,53.23,1764206221.81,129202
2018-01-22,52.05,53.49,52.01,53.46,27691346,1.55,2.99%,53.46,1467023848.68,123147
2018-01-19,51.74,51.92,51.155,51.91,23761297,0.36,0.70%,51.91,1226188377.84,91750
2018-01-18,51.90,53.30,51.385,51.55,29442552,-0.17,-0.33%,51.55,1532432953.82,132350
2018-01-17,51.81,51.90,51.21,51.72,11591459,0.06,0.12%,51.72,597656669.27,61082
2018-01-16,51.68,52.02,51.42,51.66,14739183,-0.20,-0.39%,51.66,762189727.68,71241
2018-01-12,51.94,52.24,51.7801,51.86,17673664,-0.25,-0.48%,51.86,918451697.83,74233
2018-01-11,51.89,52.175,51.64,52.11,15568207,0.42,0.81%,52.11,808994450.72,70828
2018-01-10,51.39,51.73,51.15,51.69,12593385,0.08,0.16%,51.69,648924195.64,66627
2018-01-09,52.12,52.435,51.55,51.61,14677833,-0.19,-0.37%,51.61,761475349.29,73277
2018-01-08,52.56,52.75,52.04,52.39,16212689,-0.089,-0.17%,51.80,850147140.15,59397
2018-01-05,52.80,52.88,52.35,52.48,13348863,-0.119,-0.23%,51.889,700795831.51,58187
2018-01-04,52.37,52.89,51.83,52.60,12062821,0.168,0.32%,52.0076,633427572.76,60628
2018-01-03,53.30,53.34,52.18,52.43,16662400,-1.088,-2.05%,51.8395,875781125.96,79993
2018-01-02,53.16,53.57,52.80,53.53,16045345,0.593,1.13%,52.9271,855589653.96,64766
2017-12-29,53.37,53.46,52.93,52.93,9994742,-0.494,-0.94%,52.3339,530472200.98,37954
2017-12-28,53.41,53.55,53.16,53.43,6726276,0.148,0.28%,52.8283,358846885.14,38789
2017-12-27,53.41,53.50,53.09,53.28,8361890,0.059,0.11%,52.68,445481629.71,35022
2017-12-26,53.13,53.69,53.13,53.22,6595751,0.03,0.06%,52.6206,351937935.26,32387
2017-12-22,53.10,53.63,53.06,53.19,13657808,0.178,0.34%,52.591,728096870.38,51485
2017-12-21,52.92,53.60,52.605,53.01,12778136,0.237,0.45%,52.413,678439554.37,56853
2017-12-20,53.13,53.35,52.68,52.77,11643501,-0.059,-0.11%,52.1757,616945699.37,51029
2017-12-19,53.40,53.59,52.695,52.83,14239492,-0.415,-0.79%,52.235,755697686.40,54786
2017-12-18,52.95,53.39,52.66,53.25,15874323,0.573,1.10%,52.6503,843962874.73,73323
2017-12-15,52.56,52.89,52.39,52.67,28935598,0.326,0.63%,52.0768,1522988944.43,57086
2017-12-14,52.469,52.74,52.085,52.34,18775429,-0.544,-1.04%,51.7505,983540991.06,75220
2017-12-13,52.99,53.19,52.28,52.89,17705487,-0.297,-0.56%,52.2944,934963276.59,84072
2017-12-12,52.35,53.34,52.33,53.19,22901150,1.335,2.60%,52.591,1213751904.05,101727
2017-12-11,51.22,51.93,50.97,51.84,13542530,0.742,1.47%,51.2562,698659163.33,70249
2017-12-08,50.50,51.175,50.36,51.09,13639852,0.662,1.33%,50.5146,693430761.65,63157
2017-12-07,50.59,50.74,50.20,50.42,11986747,-0.257,-0.51%,49.8522,605499281.14,60042
2017-12-06,50.65,50.8399,50.24,50.68,17296644,-0.237,-0.47%,50.1092,874987128.88,87879
2017-12-05,51.75,51.89,50.78,50.92,17574132,-0.791,-1.55%,50.3465,898356483.03,91748
2017-12-04,51.52,52.33,51.50,51.72,19371014,0.465,0.92%,51.1375,1005675810.09,100844
2017-12-01,50.90,51.545,50.33,51.25,23909026,0.356,0.71%,50.6728,1222109792.26,117196
2017-11-30,50.00,51.0944,49.99,50.89,33268492,0.979,1.98%,50.3169,1686720961.33,119335
2017-11-29,48.84,50.49,48.84,49.90,31034535,1.068,2.21%,49.338,1550869979.59,147244
2017-11-28,47.70,48.84,47.53,48.82,20982501,1.147,2.43%,48.2702,1015203500.92,84031
2017-11-27,47.37,47.90,47.35,47.66,17548285,0.643,1.38%,47.1233,835599090.96,88685
2017-11-24,47.06,47.18,46.845,47.01,5097203,-0.089,-0.19%,46.4806,239578113.55,24087
2017-11-22,46.25,47.42,46.24,47.10,15825110,0.91,1.99%,46.5696,744143989.28,77656
2017-11-21,46.34,46.4468,46.01,46.18,13598018,-0.02,-0.04%,45.6599,628452839.69,69677
2017-11-20,45.80,46.35,45.50,46.20,18227389,0.771,1.72%,45.6797,839384861.08,84565
2017-11-17,44.63,45.77,44.62,45.42,18933241,0.643,1.45%,44.9085,859230274.25,83074
2017-11-16,44.21,44.88,44.11,44.77,13818031,0.653,1.50%,44.2658,615089613.82,61408
2017-11-15,44.33,44.38,43.965,44.11,15726458,-0.109,-0.25%,43.6132,694511728.11,62112
2017-11-14,44.69,44.85,44.15,44.22,20829858,-0.524,-1.18%,43.722,923958405.74,87118
2017-11-13,44.92,45.08,44.70,44.75,16673922,-0.129,-0.29%,44.246,747623697.27,57420
2017-11-10,45.11,45.11,44.75,44.88,17074952,-0.188,-0.42%,44.3746,766538238.86,81371
2017-11-09,45.29,45.43,44.81,45.07,20839313,-0.386,-0.86%,44.5624,939155941.28,97882
2017-11-08,45.41,45.52,45.14,45.46,17414813,-0.109,-0.24%,44.948,789633770.67,65035
2017-11-07,45.21,45.5878,44.68,45.57,25789586,0.04,0.09%,45.0568,1167088449.61,110446
2017-11-06,46.31,46.35,44.84,45.53,36443257,-1.869,-3.99%,45.0172,1653142704.80,161798
2017-11-03,47.66,47.74,47.235,47.42,8038202,-0.04,-0.08%,46.886,381383650.91,44058
2017-11-02,47.88,47.94,47.18,47.46,13126910,-0.366,-0.77%,46.9255,623531414.84,72557
2017-11-01,48.15,48.17,47.56,47.83,11046583,-0.04,-0.08%,47.2913,528207135.43,56562
2017-10-31,47.94,48.18,47.71,47.87,15909969,0.04,0.08%,47.3309,761599938.19,64574
2017-10-30,48.88,49.12,47.42,47.83,24587436,-1.028,-2.13%,47.2913,1183484612.42,117287
2017-10-27,48.72,49.3875,48.53,48.87,12423443,-0.02,-0.04%,48.3196,608309091.05,59163
2017-10-26,48.86,49.43,48.75,48.89,14420059,0.227,0.47%,48.3394,706273465.37,61231
2017-10-25,48.68,48.79,48.15,48.66,17404153,-0.277,-0.57%,48.112,844679847.52,93022
2017-10-24,49.16,49.28,48.72,48.94,11527916,-0.049,-0.10%,48.3888,564753838.33,62415
2017-10-23,49.47,49.69,48.91,48.99,15659974,-0.534,-1.09%,48.4383,770804403.53,65188
2017-10-20,49.45,49.59,48.93,49.53,16259580,0.316,0.65%,48.9722,801887104.75,69308
2017-10-19,50.05,51.18,49.05,49.21,29173869,0.554,1.15%,48.6558,1455008061.00,127876
2017-10-18,48.33,48.85,47.76,48.65,20410445,0.247,0.52%,48.1021,986910165.89,86191
2017-10-17,48.09,48.49,47.87,48.40,14842814,0.307,0.64%,47.8549,716974827.61,55316
2017-10-16,47.90,48.35,47.70,48.09,10394675,0.227,0.48%,47.5484,499619523.75,56585
2017-10-13,48.34,48.48,47.83,47.86,20105054,-0.484,-1.01%,47.321,965632434.07,76575
2017-10-12,48.44,48.85,48.13,48.35,17087942,-0.504,-1.04%,47.8055,827410882.16,82144
2017-10-11,49.14,49.32,48.51,48.86,10335092,-0.277,-0.57%,48.3097,505044424.01,55667
2017-10-10,49.28,49.49,49.055,49.14,10843879,0.089,0.18%,48.5866,533519692.62,50381
2017-10-09,48.89,49.09,48.65,49.05,10702938,0.237,0.49%,48.4976,524335316.48,42736
2017-10-06,49.04,49.20,48.6555,48.81,13239635,-0.366,-0.75%,48.2603,647306594.34,58643
2017-10-05,49.96,50.0345,49.675,49.77,12230644,-0.127,-0.26%,48.6261,609252444.65,59358
2017-10-04,49.64,50.08,49.38,49.90,9887485,0.049,0.10%,48.7531,492702800.32,48057
2017-10-03,49.45,50.02,49.43,49.85,10218605,0.479,0.99%,48.7043,508742507.98,49397
2017-10-02,49.39,49.70,49.25,49.36,9525757,-0.127,-0.26%,48.2255,470669910.97,46879
2017-09-29,49.30,49.83,49.01,49.49,13021697,0.078,0.16%,48.3525,644039955.66,56002
2017-09-28,49.24,49.565,49.1401,49.41,8231789,-0.098,-0.20%,48.2744,406663893.20,45370
2017-09-27,49.19,49.725,49.12,49.51,14270770,0.00,0.00%,48.3721,706187455.12,58736
2017-09-26,49.96,50.08,49.40,49.51,12007462,-0.381,-0.78%,48.3721,596504391.80,57454
2017-09-25,49.87,50.315,49.745,49.90,13698567,0.00,0.00%,48.7531,684507091.67,68884
2017-09-22,49.19,50.08,49.02,49.90,20646413,0.938,1.96%,48.7531,1026771162.59,92806
2017-09-21,49.37,49.44,48.844,48.94,14315783,-0.528,-1.09%,47.8152,701976108.67,64821
2017-09-20,49.30,49.64,49.08,49.48,18755912,0.137,0.28%,48.3428,926573018.81,87287
2017-09-19,48.09,49.55,48.01,49.34,30817991,1.221,2.60%,48.206,1513828810.98,138000
2017-09-18,47.91,48.245,47.51,48.09,18810166,0.225,0.48%,46.9847,901063570.00,86434
2017-09-15,47.42,47.90,47.055,47.86,24626478,0.664,1.44%,46.76,1172430441.28,86878
2017-09-14,47.24,47.59,47.01,47.18,11808457,-0.068,-0.15%,46.0956,557896679.55,58466
2017-09-13,46.78,47.26,46.68,47.25,12772690,0.449,0.98%,46.164,601317055.31,54492
2017-09-12,46.50,46.95,46.38,46.79,11173160,0.479,1.06%,45.7146,522370291.40,55332
2017-09-11,46.23,46.34,46.12,46.30,11073655,0.186,0.41%,45.2359,512075562.11,50686
2017-09-08,46.18,46.39,45.71,46.11,14152041,-0.088,-0.19%,45.0502,651311188.91,65879
2017-09-07,47.00,47.21,46.07,46.20,16591072,-0.694,-1.51%,45.1382,771037635.65,81750
2017-09-06,47.47,47.56,46.615,46.91,14081939,-0.44,-0.95%,45.8318,661619133.05,57555
2017-09-05,47.78,47.92,47.30,47.36,10005052,-0.547,-1.17%,46.2715,474762678.99,52977
2017-09-01,48.02,48.07,47.77,47.92,11455202,-0.049,-0.10%,46.8186,548868993.25,53370
2017-08-31,48.26,48.399,47.93,47.97,14237666,-0.147,-0.31%,46.8675,684213862.61,54405
2017-08-30,48.33,48.37,48.00,48.12,10758395,-0.381,-0.80%,47.014,518410110.72,42786
2017-08-29,48.36,48.755,48.33,48.51,6044054,-0.098,-0.21%,47.3951,293369732.12,36075
2017-08-28,48.65,48.75,48.31,48.61,6329391,-0.068,-0.14%,47.4928,307131267.79,34838
2017-08-25,48.48,48.98,48.43,48.68,9846677,0.361,0.77%,47.5612,480091860.51,49098
2017-08-24,48.35,48.555,48.18,48.31,8898226,0.029,0.06%,47.1997,430315014.90,44462
2017-08-23,48.26,48.67,48.1901,48.28,8909187,-0.068,-0.14%,47.1704,431208232.29,44086
2017-08-22,48.13,48.44,47.78,48.35,11005501,0.205,0.44%,47.2387,530661167.18,50955
2017-08-21,47.83,48.50,47.685,48.14,10556849,0.44,0.94%,47.0336,508392574.74,53423
2017-08-18,47.85,47.95,47.51,47.69,16919130,-0.195,-0.42%,46.5939,807169563.67,67304
2017-08-17,48.37,48.45,47.89,47.89,10638043,-0.508,-1.07%,46.7893,512388404.76,51929
2017-08-16,48.37,48.53,48.22,48.41,9447047,-0.068,-0.14%,47.2974,456719811.19,48103
