date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,60.64,61.27,60.49,60.89,2145757,0.34,0.56%,60.89,130743896.53,21721
2018-03-09,60.29,60.56,59.97,60.55,1415220,0.27,0.45%,60.55,85389022.44,16646
2018-03-08,59.73,60.35,59.51,60.28,1455056,0.62,1.04%,60.28,87453792.42,14906
2018-03-07,59.88,60.19,59.44,59.66,1391754,-0.42,-0.70%,59.66,83096044.84,14769
2018-03-06,60.75,60.89,59.93,60.08,1676498,-0.83,-1.36%,60.08,100955366.62,16263
2018-03-05,59.35,61.0301,59.09,60.91,1993911,1.44,2.42%,60.91,120743244.61,20235
2018-03-02,59.66,60.41,58.92,59.47,1962710,-0.16,-0.27%,59.47,116583566.74,18287
2018-03-01,59.90,60.61,59.37,59.63,2054759,-0.29,-0.48%,59.63,122834935.46,24128
2018-02-28,60.79,61.00,59.91,59.92,1910418,-0.65,-1.07%,59.92,115199305.80,16044
2018-02-27,61.72,61.94,60.55,60.57,2028736,-1.05,-1.70%,60.57,123601241.90,19422
2018-02-26,61.75,61.99,61.33,61.62,1418418,-0.23,-0.37%,61.62,87353672.52,13662
2018-02-23,60.13,61.90,60.13,61.85,1617553,1.51,2.50%,61.85,99326084.60,15275
2018-02-22,60.30,60.87,60.07,60.34,2221456,0.22,0.37%,60.34,134280208.66,17232
2018-02-21,60.93,61.43,60.11,60.12,2364262,-0.78,-1.28%,60.12,143775068.08,23705
2018-02-20,61.68,61.95,60.41,60.90,1373990,-1.02,-1.65%,60.90,83661569.60,14870
2018-02-16,61.27,62.11,61.10,61.92,1936321,0.60,0.98%,61.92,119610957.17,15358
2018-02-15,60.26,61.33,60.05,61.32,2408067,1.18,1.96%,61.32,146726058.00,18736
2018-02-14,60.80,60.80,60.12,60.14,2105467,-0.97,-1.59%,60.14,127046314.81,19453
2018-02-13,60.66,61.24,59.70,61.11,1778517,0.382,0.63%,61.11,107933344.94,17798
2018-02-12,61.07,61.54,60.5001,61.28,2359789,0.178,0.29%,60.7275,144436912.65,19107
2018-02-09,59.50,61.56,59.49,61.10,2797354,1.586,2.69%,60.5491,169456711.94,28222
2018-02-08,59.78,60.83,59.36,59.50,2096492,-0.357,-0.60%,58.9635,125933221.95,23519
2018-02-07,60.20,60.99,59.82,59.86,1904680,-0.327,-0.55%,59.3203,114705076.99,17047
2018-02-06,60.63,60.87,59.08,60.19,2744404,-0.971,-1.60%,59.6473,164659816.02,27588
2018-02-05,61.79,62.85,61.07,61.17,2469868,-0.832,-1.35%,60.6185,152588301.79,23704
