date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,53.51,54.82,53.30,54.73,3202481,1.17,2.18%,54.73,174518167.69,24161
2018-03-09,53.71,53.71,53.06,53.56,2122424,-0.01,-0.02%,53.56,113230414.12,16204
2018-03-08,53.93,54.09,53.34,53.57,2214950,-0.40,-0.74%,53.57,118682075.52,16701
2018-03-07,52.78,54.07,52.65,53.97,2579971,1.11,2.10%,53.97,138351419.59,20505
2018-03-06,53.63,53.92,52.28,52.86,3070529,-1.21,-2.24%,52.86,162557078.44,24380
2018-03-05,52.65,54.21,52.65,54.07,3113707,1.14,2.15%,54.07,167878402.43,22676
2018-03-02,52.48,53.01,52.10,52.93,2385856,0.28,0.53%,52.93,125738881.88,19346
2018-03-01,52.05,53.4382,51.63,52.65,2684605,0.15,0.29%,52.65,141521731.14,20738
2018-02-28,54.90,54.90,51.85,52.50,3342649,0.28,0.54%,52.50,175046211.62,19091
2018-02-27,54.35,54.71,52.22,52.22,3190327,-2.18,-4.01%,52.22,168943708.86,27849
2018-02-26,54.61,54.67,53.42,54.40,2582871,-0.01,-0.02%,54.40,139541989.76,21446
2018-02-23,53.91,54.41,53.06,54.41,2661175,0.67,1.25%,54.41,143404589.40,22766
2018-02-22,53.82,55.06,53.114,53.74,3324197,-0.25,-0.46%,53.74,180291786.74,27924
2018-02-21,54.90,55.05,53.85,53.99,3418186,-0.81,-1.48%,53.99,185978581.49,28743
2018-02-20,55.51,56.10,54.79,54.80,2639184,-0.99,-1.77%,54.80,145925492.53,20533
2018-02-16,55.30,56.44,55.2521,55.79,4051061,0.62,1.12%,55.79,225972209.33,19534
2018-02-15,54.37,55.58,54.20,55.17,2908528,1.02,1.88%,55.17,159949218.38,26137
2018-02-14,54.54,54.72,53.43,54.15,3249046,-0.93,-1.69%,54.15,175270150.36,24609
2018-02-13,54.36,55.32,53.63,55.08,3839238,0.81,1.49%,55.08,209737967.38,26770
2018-02-12,54.83,54.97,53.00,54.27,4115633,-0.34,-0.62%,54.27,222269139.20,34029
2018-02-09,54.63,56.00,53.66,55.48,4303878,0.797,1.48%,54.61,235406791.88,37488
2018-02-08,56.36,57.21,54.66,54.67,3956558,-1.851,-3.32%,53.8127,220704611.53,32539
2018-02-07,57.11,58.10,56.43,56.55,3239714,-0.65,-1.15%,55.6632,184242852.67,29293
2018-02-06,55.91,57.2799,55.29,57.21,3943257,0.669,1.20%,56.3129,222487511.13,33904
2018-02-05,58.37,58.86,56.41,56.53,3525137,-1.89,-3.28%,55.6436,201753682.98,29045
2018-02-02,57.57,58.82,56.89,58.45,2827526,0.404,0.71%,57.5334,164752466.87,22608
2018-02-01,60.00,60.29,57.94,58.04,2609300,-1.90,-3.22%,57.1299,152855826.01,23216
2018-01-31,58.65,60.01,58.60,59.97,4265585,1.417,2.46%,59.0296,254346195.18,23164
2018-01-30,59.44,59.89,58.53,58.53,2444672,-0.974,-1.66%,57.6122,143948623.95,18480
2018-01-29,60.15,60.23,58.99,59.52,2085468,-1.053,-1.77%,58.5867,124010504.81,19249
2018-01-26,60.97,60.99,60.09,60.59,2206412,-0.246,-0.41%,59.6399,133361789.84,17208
2018-01-25,60.53,60.91,60.41,60.84,2134411,0.295,0.50%,59.886,129571377.01,17976
2018-01-24,60.27,60.94,60.145,60.54,2368096,0.217,0.36%,59.5907,143260840.02,20167
2018-01-23,59.67,60.51,59.28,60.32,2759326,0.974,1.67%,59.3741,165839667.46,22849
2018-01-22,59.26,59.71,59.01,59.33,2818632,0.039,0.07%,58.3996,167308499.19,19515
2018-01-19,59.29,59.321,58.24,59.29,3011607,0.00,0.00%,58.3603,177454313.64,19354
2018-01-18,59.90,59.90,58.96,59.29,3496432,-0.807,-1.36%,58.3603,207316033.44,25428
2018-01-17,59.58,60.19,59.01,60.11,4695959,0.837,1.43%,59.1674,280533960.92,31837
2018-01-16,59.30,60.72,59.20,59.26,3145457,0.098,0.17%,58.3307,187604617.67,21408
2018-01-12,60.31,60.31,58.98,59.16,2686579,-0.994,-1.68%,58.2323,159377492.29,19764
2018-01-11,61.04,61.43,60.14,60.17,2414321,-0.532,-0.89%,59.2265,146095865.56,20021
2018-01-10,61.08,61.20,60.70,60.71,3072933,-0.65,-1.08%,59.758,187185691.71,19174
2018-01-09,62.50,62.62,61.30,61.37,2032819,-1.201,-1.95%,60.4077,125148442.49,17836
2018-01-08,62.40,62.84,62.33,62.59,1623238,0.217,0.35%,61.6085,101590869.67,13516
2018-01-05,62.84,62.98,62.21,62.37,2003337,-0.384,-0.62%,61.392,125102992.65,14940
2018-01-04,64.11,64.145,62.73,62.76,1993539,-1.358,-2.15%,61.7759,126122227.65,17098
2018-01-03,64.30,64.68,63.95,64.14,1832568,0.108,0.17%,63.1342,117725813.97,14323
2018-01-02,63.91,64.50,63.67,64.03,1997332,0.256,0.41%,63.0259,128089628.19,15051
2017-12-29,63.70,64.292,63.51,63.77,1378489,0.049,0.08%,62.77,88064754.60,11931
2017-12-28,63.28,63.74,63.06,63.72,1276879,0.443,0.71%,62.7208,81131810.14,11879
2017-12-27,63.71,63.75,63.1167,63.27,1565407,-0.217,-0.35%,62.2779,99091942.78,13359
2017-12-26,63.35,64.08,63.15,63.49,1811649,0.089,0.14%,62.4944,115196190.87,14239
2017-12-22,63.54,63.87,63.28,63.40,1586192,-0.079,-0.13%,62.4058,100670114.84,12146
2017-12-21,63.555,63.97,63.26,63.48,1871878,-0.177,-0.28%,62.4846,118850172.73,16092
2017-12-20,64.48,65.12,63.65,63.66,2182182,-0.807,-1.27%,62.6617,139767650.73,17142
2017-12-19,67.02,67.24,64.11,64.48,4094343,-2.815,-4.25%,63.4689,265202404.20,31010
2017-12-18,67.27,67.7959,67.07,67.34,1622739,0.394,0.60%,66.284,109480204.31,13783
2017-12-15,66.63,67.25,66.39,66.94,4753461,0.64,0.98%,65.8903,317899293.31,17347
2017-12-14,66.285,66.63,66.08,66.29,1906611,-0.118,-0.18%,65.2505,126575440.91,17207
2017-12-13,66.34,66.87,66.26,66.41,2331169,0.285,0.44%,65.3686,154971641.61,21339
2017-12-12,65.97,66.45,65.585,66.12,2458774,0.197,0.30%,65.0832,162630214.14,20338
2017-12-11,66.28,66.30,65.69,65.92,2106824,-0.394,-0.60%,64.8863,138934470.76,16155
2017-12-08,66.29,66.63,66.13,66.32,2018184,0.128,0.20%,65.28,133878635.26,18443
2017-12-07,66.29,67.00,65.99,66.19,2548810,-0.098,-0.15%,65.1521,169134721.56,20512
2017-12-06,66.12,66.67,65.75,66.29,2226394,0.167,0.26%,65.2505,147297060.41,18286
2017-12-05,66.99,67.25,65.97,66.12,2672598,-0.994,-1.50%,65.0832,177330840.76,21775
2017-12-04,68.09,68.21,66.77,67.13,2467125,-0.817,-1.22%,66.0773,165609981.94,20951
2017-12-01,67.71,68.22,67.11,67.96,2051724,0.492,0.74%,66.8943,139024186.31,19572
2017-11-30,67.81,67.88,66.95,67.46,2523857,0.177,0.27%,66.4022,170168309.74,21176
2017-11-29,67.02,67.47,66.70,67.28,1593014,0.157,0.24%,66.225,107081531.29,13463
