date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,164.76,165.14,162.96,163.31,536100,-0.75,-0.46%,163.31,87851834.95,6762
2018-03-09,159.85,164.24,158.47,164.06,973305,5.28,3.33%,164.06,158091403.48,10739
2018-03-08,159.12,159.67,156.89,158.78,657192,0.18,0.11%,158.78,103877951.37,7666
2018-03-07,160.75,161.75,157.71,158.60,725010,-2.82,-1.75%,158.60,115432404.80,7588
2018-03-06,159.45,161.90,159.45,161.42,837631,2.84,1.79%,161.42,134939207.12,9559
2018-03-05,157.96,160.198,157.88,158.58,880222,-0.07,-0.04%,158.58,140040429.55,9533
2018-03-02,159.66,159.66,156.37,158.65,1086626,-1.92,-1.20%,158.65,171384543.45,12030
2018-03-01,160.70,163.915,158.62,160.57,1439787,-0.76,-0.47%,160.57,231614169.26,15427
2018-02-28,165.25,166.3363,161.911,162.43,1021155,-2.791,-1.70%,161.33,166420872.52,10631
2018-02-27,168.67,169.54,165.20,165.24,554284,-2.831,-1.70%,164.121,92207455.87,6821
2018-02-26,171.44,171.64,166.285,168.09,1039596,-3.327,-1.95%,166.9517,174462207.33,11919
2018-02-23,169.69,172.5545,168.48,171.44,750272,2.94,1.76%,170.279,128176377.70,7237
2018-02-22,166.64,168.65,166.25,168.48,679430,2.175,1.32%,167.3391,113985380.43,8083
2018-02-21,168.85,169.22,166.26,166.29,1151983,-2.195,-1.31%,165.1639,192875836.32,9577
2018-02-20,172.30,173.34,167.77,168.50,1059071,-4.172,-2.43%,167.3589,180079011.46,11238
2018-02-16,176.46,180.00,172.16,172.70,1288373,-4.013,-2.29%,171.5305,225472349.46,14294
2018-02-15,172.81,177.59,171.46,176.74,894907,5.493,3.23%,175.5431,157268583.78,11339
2018-02-14,168.98,172.6599,168.08,171.21,751590,1.013,0.60%,170.0506,128703698.87,9288
2018-02-13,170.40,171.67,168.89,170.19,592143,-0.854,-0.50%,169.0375,100735949.83,7109
2018-02-12,169.03,172.49,168.03,171.05,930899,4.013,2.42%,169.8916,158725704.35,11561
2018-02-09,168.28,171.40,163.63,167.01,1635862,2.046,1.25%,165.879,272982632.54,20019
2018-02-08,170.99,171.00,164.94,164.95,933637,-6.526,-3.83%,163.833,155644175.34,11998
2018-02-07,173.19,176.46,171.47,171.52,862497,-2.274,-1.32%,170.3585,149202701.39,10048
2018-02-06,168.58,174.44,167.51,173.81,1298300,1.917,1.12%,172.633,223275193.13,15979
2018-02-05,176.97,179.11,171.53,171.88,1295595,-6.138,-3.47%,170.716,226638491.65,14631
2018-02-02,181.27,181.59,177.26,178.06,852221,-4.40,-2.43%,176.8542,152567344.16,10815
2018-02-01,180.62,184.50,180.41,182.49,799249,1.063,0.59%,181.2542,146094471.35,10421
2018-01-31,183.00,183.60,180.45,181.42,822514,-0.646,-0.36%,180.1914,149608556.92,9173
2018-01-30,181.72,183.09,180.06,182.07,843016,-0.427,-0.24%,180.837,153122837.34,9673
2018-01-29,184.41,184.90,182.20,182.50,968139,-3.447,-1.87%,181.2641,177117407.27,11643
2018-01-26,185.74,186.95,184.50,185.97,1472157,2.86,1.57%,184.7106,273329828.38,13779
2018-01-25,180.01,187.47,179.02,183.09,2563883,4.092,2.30%,181.8501,471025216.50,23809
2018-01-24,173.68,181.89,173.48,178.97,2261389,6.943,4.06%,177.758,404753364.64,22018
2018-01-23,176.155,177.00,170.40,171.98,2152063,5.294,3.20%,170.8154,371051531.79,19895
2018-01-22,166.95,166.95,163.77,166.65,1109286,-0.874,-0.53%,165.5214,183519436.11,11296
2018-01-19,167.36,167.81,165.50,167.53,879683,0.139,0.08%,166.3955,147085944.54,8819
2018-01-18,171.92,172.05,166.66,167.39,1061482,-3.963,-2.33%,166.2564,178501954.05,10721
2018-01-17,169.78,172.30,168.54,171.38,805092,2.414,1.44%,170.2194,137537257.41,9437
2018-01-16,173.00,173.195,167.64,168.95,844276,-3.774,-2.20%,167.8059,143292871.50,7998
2018-01-12,169.81,172.99,168.49,172.75,1081757,3.695,2.20%,171.5801,186153478.33,10367
2018-01-11,166.86,169.30,164.52,169.03,953738,2.801,1.70%,167.8853,160257200.81,8971
2018-01-10,167.04,167.115,164.33,166.21,827694,-2.145,-1.28%,165.0844,137443068.18,9141
2018-01-09,169.56,169.83,167.94,168.37,1108711,-0.675,-0.40%,167.2298,187168969.97,10309
2018-01-08,168.60,170.43,167.905,169.05,918863,0.566,0.34%,167.9052,155409047.79,7350
2018-01-05,168.88,169.32,167.73,168.48,561187,-0.338,-0.20%,167.3391,94412616.54,6047
2018-01-04,169.91,170.25,168.10,168.82,617559,-0.02,-0.01%,167.6768,104257198.43,6494
2018-01-03,168.28,169.5475,167.90,168.84,963157,0.844,0.51%,167.6966,162647875.69,9081
2018-01-02,169.17,169.95,167.00,167.99,675996,-0.646,-0.39%,166.8524,113526395.77,7355
2017-12-29,170.53,171.6753,168.255,168.64,399759,-2.016,-1.19%,167.498,67605224.10,4529
2017-12-28,170.28,170.76,169.16,170.67,281270,0.586,0.35%,169.5142,47860421.38,3305
2017-12-27,169.94,170.87,169.64,170.08,329494,-0.079,-0.05%,168.9282,56063202.78,3299
2017-12-26,171.71,173.20,169.77,170.16,469556,-1.51,-0.89%,169.0077,80367914.15,4681
2017-12-22,169.48,172.30,169.03,171.68,705373,2.056,1.22%,170.5174,120701665.74,6447
2017-12-21,166.10,170.79,165.34,169.61,1240295,4.698,2.87%,168.4614,210209185.39,11673
2017-12-20,166.20,166.70,164.77,164.88,415073,-1.212,-0.73%,163.7634,68691605.01,4673
2017-12-19,165.02,166.87,164.70,166.10,560960,0.735,0.45%,164.9752,93196742.75,5175
2017-12-18,165.46,166.00,164.73,165.36,735926,0.864,0.53%,164.2402,121778850.25,7656
2017-12-15,164.26,165.11,163.22,164.49,1205687,0.566,0.35%,163.3761,198017153.46,7744
2017-12-14,165.65,167.875,162.92,163.92,850373,-3.099,-1.87%,162.8099,139689679.13,8713
2017-12-13,166.92,168.187,166.65,167.04,506064,0.526,0.32%,165.9088,84673922.52,5364
2017-12-12,168.64,168.79,165.98,166.51,859185,-1.351,-0.81%,165.3824,143581391.88,7070
2017-12-11,169.33,169.86,166.67,167.87,1151762,-1.818,-1.08%,166.7332,193660401.23,7946
2017-12-08,170.88,170.88,168.47,169.70,579166,-0.785,-0.46%,168.5508,98258607.54,5809
2017-12-07,170.05,171.28,169.01,170.49,742880,1.371,0.82%,169.3354,126821371.33,6634
2017-12-06,169.39,170.80,168.90,169.11,463325,-0.01,-0.01%,167.9648,78642444.32,5504
2017-12-05,168.80,170.09,166.69,169.12,693498,-0.507,-0.30%,167.9747,117092359.79,6724
2017-12-04,169.40,171.40,168.321,169.63,1098113,2.155,1.30%,168.4813,186668035.60,8881
2017-12-01,168.43,169.18,164.51,167.46,776849,-1.102,-0.66%,166.326,129783613.20,9389
2017-11-30,169.90,171.575,167.04,168.57,988149,-0.417,-0.25%,167.4284,166571381.67,9622
2017-11-29,167.57,170.21,167.02,168.99,1420536,1.50,0.90%,167.8456,239995245.87,12081
2017-11-28,165.02,167.83,163.77,167.48,1722203,2.463,1.50%,166.3458,285439780.03,15216
2017-11-27,167.70,167.99,164.93,165.00,985763,-2.801,-1.68%,163.8826,163501872.65,8822
2017-11-24,167.84,168.75,166.83,167.82,336316,1.172,0.71%,166.6835,56521442.18,3195
2017-11-22,168.80,169.4399,166.17,166.64,889597,-2.225,-1.33%,165.5115,148682539.28,7444
2017-11-21,165.82,169.88,164.21,168.88,1400855,3.655,2.23%,167.7363,235523598.04,11634
2017-11-20,165.87,166.85,164.72,165.20,553935,-0.199,-0.12%,164.0813,91610602.86,5943
2017-11-17,162.42,166.08,161.75,165.40,808569,2.503,1.55%,164.2799,133388947.92,8973
2017-11-16,161.57,164.465,161.2485,162.88,639121,2.394,1.50%,161.777,104308888.11,7821
2017-11-15,159.58,162.24,158.80,161.57,736745,0.562,0.35%,159.3833,118544806.38,7815
2017-11-14,161.97,161.97,159.97,161.00,620105,-0.661,-0.41%,158.821,99654398.18,6633
2017-11-13,161.50,162.47,161.43,161.67,490846,-0.375,-0.23%,159.482,79411948.62,5664
2017-11-10,162.54,162.96,161.68,162.05,704511,-0.681,-0.42%,159.8568,114218556.32,6568
2017-11-09,161.76,162.92,161.29,162.74,680999,-0.03,-0.02%,160.5375,110322958.24,7664
2017-11-08,162.67,163.0675,161.81,162.77,543639,0.207,0.13%,160.5671,88339625.04,6099
2017-11-07,163.37,163.499,162.10,162.56,732895,-0.848,-0.53%,160.3599,119224838.91,6348
2017-11-06,163.53,163.92,162.55,163.42,496218,-0.434,-0.27%,161.2083,81071939.04,5908
2017-11-03,163.53,166.225,163.31,163.86,951341,0.444,0.28%,161.6423,156603784.80,7754
2017-11-02,163.72,164.665,160.94,163.41,985406,-0.996,-0.61%,161.1984,160312137.93,11346
2017-11-01,165.00,167.45,163.6301,164.42,1137854,0.483,0.30%,162.1948,188273259.81,12911
2017-10-31,161.77,164.83,160.63,163.93,1138772,2.239,1.40%,161.7114,186023665.05,11797
2017-10-30,161.00,161.991,160.56,161.66,910196,0.247,0.15%,159.4721,146854713.48,9721
2017-10-27,161.64,162.94,160.63,161.41,1250981,-0.099,-0.06%,159.2255,202326476.30,13700
2017-10-26,161.13,163.10,160.57,161.51,1531097,0.513,0.32%,159.3241,248161282.71,15407
2017-10-25,162.72,163.00,159.71,160.99,2353490,-2.239,-1.39%,158.8112,378450177.62,24910
2017-10-24,164.95,168.60,162.01,163.26,9479958,-18.98,-10.54%,161.0505,1552533489.54,81393
2017-10-23,182.50,183.88,180.8911,182.50,1524855,0.039,0.02%,180.0301,278780752.31,14158
2017-10-20,178.87,183.14,178.817,182.46,894871,4.439,2.53%,179.9906,162742833.83,9271
2017-10-19,176.54,178.23,175.50,177.96,381727,1.154,0.66%,175.5515,67680808.63,4412
2017-10-18,176.43,178.275,175.43,176.79,632357,0.444,0.26%,174.3973,111925522.11,6922
2017-10-17,176.67,176.67,174.73,176.34,798922,-0.424,-0.24%,173.9534,140547282.59,8786
2017-10-16,178.16,178.16,175.075,176.77,637973,-1.983,-1.12%,174.3776,112739778.29,6560
2017-10-13,177.98,179.44,176.33,178.78,593356,1.657,0.95%,176.3604,105941902.28,6658
2017-10-12,176.66,177.90,175.92,177.10,700622,0.187,0.11%,174.7031,124075363.95,7224
2017-10-11,177.13,177.87,175.8501,176.91,641020,-0.266,-0.15%,174.5157,113228204.87,6956
2017-10-10,180.81,180.81,176.065,177.18,1264635,-2.742,-1.54%,174.7821,224158985.64,11592
2017-10-09,181.72,181.825,178.91,179.96,676981,-1.351,-0.76%,177.5244,121791760.42,7009
2017-10-06,183.56,183.7572,180.70,181.33,794964,-2.081,-1.15%,178.8759,144375779.44,8857
2017-10-05,185.90,190.73,183.14,183.44,1388037,-2.348,-1.28%,180.9573,258027183.76,15517
2017-10-04,185.12,185.91,183.39,185.82,673349,0.72,0.39%,183.3051,124571486.74,9286
2017-10-03,184.61,185.75,182.71,185.09,652118,1.174,0.65%,182.585,120384002.76,8752
2017-10-02,185.40,185.95,182.61,183.90,830868,-0.533,-0.29%,181.4111,153154338.80,9546
2017-09-29,183.17,185.74,182.59,184.44,467922,0.858,0.47%,181.9438,86344080.06,6405
2017-09-28,181.60,183.94,180.92,183.57,812554,2.012,1.12%,181.0856,148923387.39,8199
2017-09-27,182.10,182.25,179.821,181.53,755454,-0.099,-0.06%,179.0732,136811002.25,12842
2017-09-26,177.80,182.25,177.1893,181.63,1016635,4.281,2.45%,179.1718,183876419.96,12464
2017-09-25,175.05,178.32,174.83,177.29,816710,2.032,1.18%,174.8906,144607202.64,10144
2017-09-22,172.86,177.45,172.72,175.23,939925,2.506,1.47%,172.8585,164900339.55,11141
2017-09-21,170.94,172.9072,170.08,172.69,588869,2.279,1.36%,170.3528,101374096.91,11567
2017-09-20,171.06,171.75,169.935,170.38,715452,-0.671,-0.40%,168.0741,122103625.80,8059
2017-09-19,170.81,171.68,169.51,171.06,820442,0.217,0.13%,168.7449,139916354.84,8861
2017-09-18,172.31,172.525,170.09,170.84,556803,-1.006,-0.59%,168.5279,95242932.14,6587
2017-09-15,173.12,174.11,170.44,171.86,1176681,-3.226,-1.87%,169.5341,202149111.43,10304
2017-09-14,174.60,176.31,173.89,175.13,785339,-0.75,-0.43%,172.7598,137739838.36,6823
2017-09-13,176.74,177.00,173.71,175.89,530910,-0.444,-0.26%,173.5095,93060177.09,6521
