date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,163.52,164.39,162.17,162.96,315703,-1.18,-0.72%,162.96,51495672.59,3808
2018-03-09,160.41,164.18,158.995,164.14,490946,4.57,2.86%,164.14,80097292.50,7876
2018-03-08,159.01,159.905,158.16,159.57,566521,0.72,0.45%,159.57,90128092.15,6417
2018-03-07,156.56,159.21,156.56,158.85,467590,1.42,0.90%,158.85,74043713.02,4722
2018-03-06,157.12,158.22,155.71,157.43,376090,0.51,0.33%,157.43,59045315.77,4740
2018-03-05,154.08,157.79,153.60,156.92,397742,2.00,1.29%,156.92,62267963.05,4641
2018-03-02,154.30,155.27,152.70,154.92,598256,-0.07,-0.05%,154.92,92263815.06,7530
2018-03-01,158.39,159.59,154.38,154.99,425337,-2.91,-1.84%,154.99,66548801.22,6854
2018-02-28,161.33,162.64,157.86,157.90,667358,-3.11,-1.93%,157.90,106844108.56,6744
2018-02-27,161.65,163.05,160.45,161.01,585501,-0.20,-0.12%,161.01,94567643.68,10333
2018-02-26,160.17,161.38,159.77,161.21,341747,1.25,0.78%,161.21,54916677.72,4291
2018-02-23,156.98,160.19,156.7629,159.96,341977,3.43,2.19%,159.96,54434217.70,4242
2018-02-22,158.25,160.40,155.89,156.53,412049,-1.04,-0.66%,156.53,64661716.02,4335
2018-02-21,159.50,160.39,157.49,157.57,428244,-2.08,-1.30%,157.57,68202389.96,6342
2018-02-20,159.15,160.75,158.88,159.65,642696,0.42,0.26%,159.65,102665265.50,8139
2018-02-16,159.19,160.74,158.25,159.23,446547,-0.39,-0.24%,159.23,71258977.14,5071
2018-02-15,159.89,161.13,158.62,159.62,322162,0.37,0.23%,159.62,51381932.78,4601
2018-02-14,154.42,159.55,153.76,159.25,672244,3.94,2.54%,159.25,106153578.12,7550
2018-02-13,153.34,156.065,152.71,155.31,446575,1.16,0.75%,155.31,69173893.20,5148
2018-02-12,153.29,155.67,152.28,154.15,564631,2.01,1.32%,154.15,87042965.01,6270
2018-02-09,154.15,155.275,147.10,152.14,1034651,-0.22,-0.14%,152.14,155785335.91,12155
2018-02-08,158.17,160.70,152.25,152.36,898937,-5.02,-3.19%,152.36,139572606.51,9887
2018-02-07,157.66,160.14,156.97,157.38,972858,-1.02,-0.64%,157.38,154274305.93,9355
2018-02-06,154.98,159.02,153.1056,158.40,814092,0.90,0.57%,158.40,127606400.57,9985
2018-02-05,161.62,164.43,156.93,157.50,696380,-4.16,-2.57%,157.50,111108597.53,7815
2018-02-02,163.20,164.99,161.56,161.66,431522,-2.26,-1.38%,161.66,70180054.44,5600
2018-02-01,160.26,163.99,159.191,163.92,516149,3.45,2.15%,163.92,84215526.87,7355
2018-01-31,160.82,162.04,159.79,160.47,629229,0.13,0.08%,160.47,101119768.23,7784
2018-01-30,161.00,162.81,160.25,160.34,553403,-1.37,-0.85%,160.34,89091668.84,5579
2018-01-29,164.00,164.00,161.10,161.71,536944,-2.23,-1.36%,161.71,87033106.91,6393
2018-01-26,160.87,164.19,160.23,163.94,563723,3.77,2.35%,163.94,91990482.71,6104
2018-01-25,159.37,160.67,158.82,160.17,439234,1.15,0.72%,160.17,70314992.75,4722
2018-01-24,158.13,159.39,157.57,159.02,443655,1.15,0.73%,159.02,70441016.50,5108
2018-01-23,154.49,158.37,152.58,157.87,733580,3.27,2.12%,157.87,115593497.31,6781
2018-01-22,153.62,155.40,152.99,154.60,439284,0.71,0.46%,154.60,67927413.13,4314
2018-01-19,154.17,154.705,153.20,153.89,448481,0.33,0.21%,153.89,69011624.82,4395
2018-01-18,154.35,155.03,152.84,153.56,723695,-0.99,-0.64%,153.56,111197425.85,7267
2018-01-17,153.62,154.94,152.97,154.55,434064,1.97,1.29%,154.55,66982315.74,5393
2018-01-16,154.50,155.63,152.43,152.58,727260,-2.88,-1.85%,152.58,111836127.92,9392
2018-01-12,154.86,155.95,154.31,155.46,558065,0.70,0.45%,155.46,86651817.34,6046
2018-01-11,154.19,154.91,153.02,154.76,630513,1.15,0.75%,154.76,97364102.45,6775
2018-01-10,151.44,154.8699,151.27,153.61,1131156,1.78,1.17%,153.61,173858769.95,11512
2018-01-09,152.04,153.40,151.66,151.83,560196,0.42,0.28%,151.83,85323879.63,6497
2018-01-08,151.53,151.94,150.74,151.41,632741,-0.82,-0.54%,151.41,95773214.69,7180
2018-01-05,151.77,152.68,151.05,152.23,646682,0.97,0.64%,152.23,98319814.34,6358
2018-01-04,150.01,152.60,149.81,151.26,800867,1.52,1.02%,151.26,121445735.93,8088
2018-01-03,146.52,149.94,145.80,149.74,771212,2.75,1.87%,149.74,114876871.38,6899
2018-01-02,156.52,156.52,146.45,146.99,817893,-3.70,-2.46%,146.99,120600154.93,7548
2017-12-29,151.64,152.3124,150.67,150.69,402245,-0.70,-0.46%,150.69,60765852.90,4137
2017-12-28,151.52,151.67,150.64,151.39,347477,0.28,0.19%,151.39,52506005.15,4410
2017-12-27,151.96,152.58,151.34,151.64,347050,-0.229,-0.15%,151.11,52683097.54,4116
2017-12-26,151.84,152.39,151.665,151.87,233470,0.13,0.09%,151.3392,35467783.93,3037
2017-12-22,152.64,152.855,151.385,151.74,482508,-0.628,-0.41%,151.2097,73286700.80,5079
2017-12-21,153.87,154.10,151.86,152.37,587579,-0.747,-0.49%,151.8375,89811971.92,6061
2017-12-20,154.08,154.515,152.89,153.12,746223,-1.026,-0.67%,152.5848,114543770.89,7214
2017-12-19,155.21,155.27,153.53,154.15,612789,-0.409,-0.27%,153.6112,94596524.10,6272
2017-12-18,156.50,156.75,153.42,154.56,770081,-1.435,-0.92%,154.0198,119144297.87,6774
2017-12-15,153.94,156.35,152.73,156.00,1417818,2.511,1.64%,155.4548,220452549.51,8940
2017-12-14,152.82,154.12,152.0365,153.48,898958,0.548,0.36%,152.9436,137980232.78,9064
2017-12-13,155.29,155.58,152.78,152.93,599751,-2.262,-1.46%,152.3955,92116332.45,7449
2017-12-12,154.79,155.39,154.22,155.20,731108,-0.08,-0.05%,154.6576,113344709.22,9351
2017-12-11,155.44,156.085,154.84,155.28,731937,-0.179,-0.12%,154.7373,113612535.44,6277
2017-12-08,155.46,156.13,154.85,155.46,746470,0.04,0.03%,154.9167,116010720.35,7055
2017-12-07,156.54,157.16,155.36,155.42,734048,-1.674,-1.07%,154.8768,114417178.25,7432
2017-12-06,157.70,158.20,156.70,157.10,418606,-0.219,-0.14%,156.5509,65861993.29,5420
2017-12-05,158.54,158.99,157.07,157.32,633548,-1.156,-0.73%,156.7702,99894053.69,6994
2017-12-04,161.77,162.72,158.41,158.48,909215,-3.458,-2.14%,157.9261,145415216.47,10523
2017-12-01,160.82,162.02,158.02,161.95,1074875,1.146,0.72%,161.384,172863044.21,11114
2017-11-30,159.80,161.28,158.38,160.80,944827,1.724,1.09%,160.238,151261416.24,9268
2017-11-29,159.96,161.01,158.99,159.07,754990,-0.329,-0.21%,158.514,120556009.71,9459
2017-11-28,158.42,159.95,158.42,159.40,1207297,0.897,0.57%,158.8429,192140437.43,12016
2017-11-27,159.29,159.51,158.43,158.50,731992,-1.016,-0.64%,157.946,116338125.20,7130
2017-11-24,159.25,159.79,158.68,159.52,333855,0.727,0.46%,158.9625,53132117.50,2733
2017-11-22,160.27,160.66,158.69,158.79,899589,-1.006,-0.63%,158.235,143351950.43,8516
2017-11-21,160.66,160.66,159.71,159.80,852879,-0.09,-0.06%,159.2415,136458683.50,10523
2017-11-20,159.75,160.34,158.89,159.89,1061689,-0.179,-0.11%,159.3312,169379982.81,8464
2017-11-17,159.22,160.30,158.045,160.07,1735174,0.14,0.09%,159.5106,277051760.50,8453
2017-11-16,162.80,163.00,159.82,159.93,933569,-2.71,-1.67%,159.371,150491294.79,10034
2017-11-15,161.83,162.84,161.54,162.65,710499,0.618,0.38%,162.0815,115246863.31,8046
2017-11-14,160.66,162.86,160.13,162.03,892008,0.538,0.33%,161.4637,144117712.28,7796
2017-11-13,161.12,162.20,160.94,161.49,467455,-0.08,-0.05%,160.9256,75580529.92,6213
2017-11-10,161.43,162.03,160.39,161.57,445712,0.07,0.04%,161.0053,71939057.38,5359
2017-11-09,161.70,162.41,160.12,161.50,711001,0.508,0.32%,160.9356,114655814.36,8165
2017-11-08,160.98,161.68,160.05,160.99,365278,-0.608,-0.38%,160.4273,58845173.16,4477
2017-11-07,161.17,162.67,160.40,161.60,589856,0.409,0.25%,161.0352,95205644.57,7028
2017-11-06,160.01,161.67,158.47,161.19,700252,1.594,1.00%,160.6266,112234392.74,6813
2017-11-03,157.50,160.00,157.36,159.59,748660,2.103,1.34%,159.0322,119124419.42,8758
2017-11-02,164.43,165.00,157.09,157.48,1520091,-3.418,-2.13%,156.9296,243354817.28,16286
2017-11-01,161.50,163.00,159.90,160.91,931003,-0.169,-0.11%,160.3476,149894991.02,10396
2017-10-31,160.56,161.54,160.56,161.08,615699,0.07,0.04%,160.517,99182519.69,5916
2017-10-30,160.78,162.19,160.19,161.01,706352,-0.608,-0.38%,160.4473,113836207.49,7796
2017-10-27,162.32,162.33,160.0508,161.62,537873,-1.196,-0.74%,161.0551,86778374.61,6579
2017-10-26,164.00,164.305,161.106,162.82,505543,-0.419,-0.26%,162.2509,82292383.57,5596
2017-10-25,163.17,163.87,162.15,163.24,762399,-0.04,-0.02%,162.6695,124432507.77,5894
2017-10-24,164.10,164.58,162.76,163.28,984986,-0.737,-0.45%,162.7093,161292451.35,6230
2017-10-23,163.48,164.58,162.61,164.02,626150,1.196,0.74%,163.4468,102539722.19,6097
2017-10-20,161.93,163.06,161.49,162.82,484559,1.644,1.02%,162.2509,78814818.51,5856
2017-10-19,159.10,161.27,158.85,161.17,466983,1.365,0.86%,160.6067,74892328.11,4889
2017-10-18,159.10,160.16,158.59,159.80,543483,0.857,0.54%,159.2415,86737112.32,6429
2017-10-17,159.21,159.60,158.14,158.94,734555,-0.01,-0.01%,158.3845,116644121.79,6265
2017-10-16,158.12,159.16,156.42,158.95,625789,1.355,0.86%,158.3945,98962344.43,6108
2017-10-13,156.74,157.84,156.21,157.59,972404,1.156,0.74%,157.0392,153040706.67,8191
2017-10-12,155.96,156.98,155.70,156.43,649220,0.468,0.30%,155.8833,101518152.26,6579
2017-10-11,155.86,156.12,155.21,155.96,636465,0.01,0.01%,155.4149,99257323.30,5009
2017-10-10,154.97,156.02,154.44,155.95,541974,1.266,0.82%,155.405,84329524.14,5496
2017-10-09,155.12,155.45,154.40,154.68,399681,-0.339,-0.22%,154.1394,61868173.95,7088
2017-10-06,155.78,156.33,154.89,155.02,554205,-0.229,-0.15%,154.4782,86130406.73,5364
2017-10-05,154.96,155.57,154.08,155.25,413503,0.548,0.36%,154.7074,64142338.09,5253
2017-10-04,155.06,155.06,153.6901,154.70,522788,-0.189,-0.12%,154.1593,80816774.35,5800
2017-10-03,155.07,155.72,154.79,154.89,624685,-0.598,-0.39%,154.3487,96910435.64,6475
2017-10-02,154.41,155.62,153.28,155.49,669527,1.256,0.82%,154.9466,103592477.37,8337
2017-09-29,155.54,155.81,153.79,154.23,566028,-1.295,-0.84%,153.691,87488997.43,8048
2017-09-28,154.96,155.69,154.23,155.53,555022,0.229,0.15%,154.9864,86229633.23,6668
2017-09-27,155.11,156.06,154.81,155.83,1105827,0.963,0.63%,154.7572,172204094.58,9736
2017-09-26,153.99,156.14,153.50,154.86,1906757,1.331,0.87%,153.7939,295316430.54,15547
2017-09-25,152.40,153.97,152.02,153.52,647485,0.804,0.53%,152.4632,99237849.11,6431
2017-09-22,151.33,152.88,151.28,152.71,989530,1.331,0.89%,151.6587,150633874.00,8802
2017-09-21,152.30,152.60,151.31,151.37,308198,-1.033,-0.68%,150.328,46735300.36,4271
2017-09-20,152.28,152.74,151.58,152.41,812423,0.566,0.38%,151.3608,123707089.64,8986
2017-09-19,152.49,152.85,151.71,151.84,784293,-0.258,-0.17%,150.7947,119395483.32,6675
2017-09-18,153.20,153.68,151.59,152.10,1158034,-1.033,-0.68%,151.0529,176182101.14,8962
2017-09-15,152.20,153.80,151.64,153.14,1884757,0.715,0.47%,152.0858,288659947.03,7252
2017-09-14,152.52,152.90,151.16,152.42,1338102,-0.457,-0.30%,151.3707,203410169.18,8840
2017-09-13,152.43,153.00,151.67,152.88,576135,0.268,0.18%,151.8276,87809706.71,6004
2017-09-12,152.05,153.06,151.52,152.61,865584,1.073,0.71%,151.5594,131843088.88,8990
2017-09-11,152.00,153.25,151.12,151.53,1058679,-0.308,-0.20%,150.4869,160877496.05,11823
2017-09-08,147.79,152.44,147.37,151.84,1380437,3.953,2.69%,150.7947,209386155.71,14568
2017-09-07,147.63,149.255,147.40,147.86,1318350,0.238,0.16%,146.8421,195162341.71,13326
2017-09-06,147.75,148.29,147.16,147.62,865874,0.149,0.10%,146.6038,128059577.32,7817
2017-09-05,147.66,148.125,146.57,147.47,1170478,-0.626,-0.43%,146.4548,172461378.28,12175
2017-09-01,149.07,149.14,148.05,148.10,666267,-0.367,-0.25%,147.0805,99014649.78,6867
2017-08-31,148.36,148.89,147.99,148.47,758004,0.695,0.47%,147.4479,112547618.31,7353
2017-08-30,147.90,148.66,147.52,147.77,382418,-0.099,-0.07%,146.7527,56570818.63,5031
2017-08-29,147.10,148.04,146.50,147.87,804439,-0.129,-0.09%,146.852,118399579.62,7336
2017-08-28,149.00,149.00,147.93,148.00,705725,-0.874,-0.59%,146.9812,104699045.52,7038
2017-08-25,148.68,149.28,148.38,148.88,947000,0.516,0.35%,147.8551,141077709.42,8184
2017-08-24,149.02,149.045,148.065,148.36,378128,-0.03,-0.02%,147.3387,56146457.84,5319
2017-08-23,148.90,149.54,148.32,148.39,681194,-1.092,-0.74%,147.3685,101405860.34,6465
2017-08-22,149.00,150.21,148.72,149.49,1480212,0.556,0.38%,148.4609,221262421.33,12036
2017-08-21,148.63,149.83,148.26,148.93,455754,0.487,0.33%,147.9047,67929051.28,5695
2017-08-18,147.73,149.87,147.48,148.44,571736,0.387,0.26%,147.4181,84868948.66,9726
2017-08-17,149.83,150.17,148.04,148.05,665817,-1.947,-1.31%,147.0308,99166990.38,7300
2017-08-16,151.00,151.25,149.85,150.01,802945,-0.854,-0.57%,148.9773,120736974.41,13306
2017-08-15,151.52,152.00,150.70,150.87,662364,-0.437,-0.29%,149.8314,100176920.27,8496
2017-08-14,149.57,151.60,148.07,151.31,530780,2.155,1.46%,150.2684,80142373.47,6497
