date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,87.38,87.38,86.33,86.67,2256448,-0.54,-0.62%,86.67,195686237.76,19081
2018-03-09,85.75,87.26,85.70,87.21,3039913,1.97,2.31%,87.21,263396073.80,24129
2018-03-08,85.12,85.69,84.93,85.24,3401749,0.405,0.48%,85.24,290240684.26,22551
2018-03-07,85.26,85.68,84.95,85.30,2268524,-0.517,-0.61%,84.835,193474315.60,18615
2018-03-06,85.90,85.90,85.28,85.82,1983383,0.129,0.15%,85.3522,169860065.77,18629
2018-03-05,85.37,85.895,84.71,85.69,2516215,0.169,0.20%,85.2229,214875785.66,22040
2018-03-02,84.77,85.74,84.50,85.52,2396811,0.169,0.20%,85.0538,204546247.55,20284
2018-03-01,86.49,87.19,85.07,85.35,3090797,-0.965,-1.12%,84.8848,265781673.70,29735
2018-02-28,87.38,88.26,86.26,86.32,3692803,-0.627,-0.72%,85.8495,322156042.09,25041
2018-02-27,86.66,87.62,86.66,86.95,3129426,0.358,0.42%,86.476,272318913.99,26444
2018-02-26,85.72,86.63,85.61,86.59,2189849,1.094,1.29%,86.118,189064682.15,16788
2018-02-23,84.91,85.49,84.33,85.49,1555773,0.985,1.17%,85.024,132221788.36,14197
2018-02-22,84.37,85.30,84.14,84.50,2473515,0.408,0.49%,84.0394,209411094.41,18190
2018-02-21,84.93,85.55,84.06,84.09,2062125,-0.776,-0.92%,83.6316,174891040.10,18434
2018-02-20,84.63,86.17,84.51,84.87,2650939,-0.278,-0.33%,84.4074,226183809.70,19612
2018-02-16,84.13,85.75,83.70,85.15,3362755,1.124,1.34%,84.6858,286054210.15,22518
2018-02-15,87.13,88.00,82.78,84.02,6370581,1.412,1.72%,83.562,535684012.88,34834
2018-02-14,80.49,82.60,80.30,82.60,3196656,1.80,2.24%,82.1497,261942329.52,28668
2018-02-13,80.13,81.0702,80.00,80.79,2719908,0.219,0.27%,80.3496,219276635.68,23367
2018-02-12,80.80,81.2258,79.86,80.57,3791341,0.467,0.59%,80.1308,305788390.42,22729
2018-02-09,79.91,80.50,78.39,80.10,4948510,0.975,1.24%,79.6634,394192368.39,43953
2018-02-08,81.88,82.23,79.07,79.12,3974181,-2.596,-3.19%,78.6887,320001121.68,24193
2018-02-07,81.88,83.47,81.63,81.73,2842171,-0.07,-0.09%,81.2845,234540444.39,23208
2018-02-06,80.91,82.969,78.87,81.80,5892379,0.05,0.06%,81.3541,479734553.26,42287
2018-02-05,86.10,86.21,81.49,81.75,4412439,-4.754,-5.52%,81.3044,369407403.07,35531
