date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,28.00,28.38,27.95,28.26,8858000,0.26,0.93%,28.26,249915023.56,42535
2018-03-09,27.65,28.00,27.445,28.00,6732611,0.85,3.13%,28.00,187498510.25,36467
2018-03-08,27.28,27.30,26.71,27.15,6149103,0.03,0.11%,27.15,166336212.32,33318
2018-03-07,27.35,27.51,27.17,27.46,8283275,-0.168,-0.62%,27.12,226889711.92,40655
2018-03-06,27.45,27.71,27.235,27.63,6333160,0.385,1.43%,27.2879,174381413.66,31731
2018-03-05,27.00,27.62,26.995,27.24,5235541,0.128,0.48%,26.9027,143078937.72,27975
2018-03-02,27.16,27.31,26.6501,27.11,6907898,-0.267,-0.99%,26.7743,186602330.25,38398
2018-03-01,27.70,27.77,27.135,27.38,8853506,-0.375,-1.37%,27.041,243129457.18,57196
2018-02-28,28.45,28.56,27.75,27.76,5773254,-0.593,-2.12%,27.4163,161736775.54,32838
2018-02-27,28.41,28.76,28.215,28.36,9133081,-0.049,-0.18%,28.0088,260035913.20,40343
2018-02-26,28.88,28.89,28.02,28.41,5405425,-0.326,-1.15%,28.0582,153357988.35,31666
2018-02-23,28.55,28.87,28.38,28.74,6177256,0.178,0.63%,28.3841,177013668.89,31178
2018-02-22,28.83,29.36,28.46,28.56,4361576,-0.059,-0.21%,28.2064,125894213.23,26647
2018-02-21,29.17,29.315,28.61,28.62,3612988,-0.464,-1.62%,28.2656,104636533.10,22321
2018-02-20,28.87,29.54,28.84,29.09,4534112,0.178,0.62%,28.7298,132258165.38,28344
2018-02-16,29.83,29.90,28.85,28.91,6909090,-1.057,-3.57%,28.552,201839750.90,40166
2018-02-15,29.56,30.33,29.53,29.98,5296131,0.00,0.00%,29.6088,158896709.56,28184
2018-02-14,29.44,30.26,29.36,29.98,4899476,0.207,0.71%,29.6088,146907906.97,30877
2018-02-13,29.17,29.88,29.11,29.77,5151530,0.346,1.19%,29.4014,152905318.00,30540
2018-02-12,28.97,29.61,28.92,29.42,6354024,0.80,2.83%,29.0557,186657175.14,36429
2018-02-09,28.76,28.99,27.56,28.61,10986249,0.049,0.18%,28.2558,311690233.18,61731
2018-02-08,30.04,30.25,28.56,28.56,9151824,-1.422,-4.80%,28.2064,267161254.25,64615
2018-02-07,30.08,30.69,30.00,30.00,7717391,-0.168,-0.56%,29.6285,233194474.50,40746
2018-02-06,28.95,30.205,28.691,30.17,11131694,0.681,2.34%,29.7964,330752539.60,63629
2018-02-05,30.30,30.755,29.00,29.48,8692425,-1.205,-3.97%,29.115,259385030.43,60425
2018-02-02,31.38,31.45,30.61,30.70,4370785,-0.968,-3.09%,30.3199,134989067.88,27685
2018-02-01,31.54,31.79,31.37,31.68,4304587,0.286,0.92%,31.2877,136140226.04,26898
2018-01-31,31.62,31.795,31.265,31.39,5094175,-0.119,-0.38%,31.0013,160237916.49,27607
2018-01-30,31.69,31.77,31.29,31.51,5362798,-0.464,-1.47%,31.1198,168900513.23,29954
2018-01-29,32.29,32.47,31.94,31.98,4984770,-0.543,-1.69%,31.584,160195050.03,28144
2018-01-26,32.56,32.75,32.385,32.53,4727638,0.128,0.40%,32.1272,153758006.03,27189
2018-01-25,32.70,33.07,32.27,32.40,8226684,-0.691,-2.11%,31.9988,268357188.02,46452
2018-01-24,33.19,33.67,33.06,33.10,6536800,-0.049,-0.15%,32.6902,217631996.43,30770
2018-01-23,32.92,33.32,32.70,33.15,6036385,0.296,0.91%,32.7395,199653669.29,38067
2018-01-22,32.37,32.85,32.34,32.85,5515665,0.543,1.70%,32.4433,180511609.71,28483
