date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,20.21,20.37,20.055,20.13,5393405,-0.04,-0.20%,20.13,108835380.22,30002
2018-03-09,19.82,20.185,19.80,20.17,4359058,0.51,2.59%,20.17,87501093.06,22073
2018-03-08,19.97,19.98,19.60,19.66,4136336,-0.30,-1.50%,19.66,81592689.71,23429
2018-03-07,19.77,20.01,19.76,19.96,2503357,0.06,0.30%,19.96,49878116.52,13496
2018-03-06,19.96,19.995,19.72,19.90,2926521,0.00,0.00%,19.90,58099290.78,18131
2018-03-05,19.74,20.07,19.67,19.90,7196894,0.03,0.15%,19.90,143112173.15,34679
2018-03-02,19.55,19.89,19.485,19.87,3105124,0.21,1.07%,19.87,61320684.30,20128
2018-03-01,19.84,20.01,19.50,19.66,5527480,-0.16,-0.81%,19.66,108965009.67,36531
2018-02-28,20.10,20.15,19.75,19.82,5540119,-0.17,-0.85%,19.82,110331957.42,28269
2018-02-27,20.30,20.38,19.97,19.99,5283161,-0.31,-1.53%,19.99,106161464.35,25724
2018-02-26,20.31,20.40,20.18,20.30,2983995,0.06,0.30%,20.30,60553455.58,17678
2018-02-23,20.25,20.26,20.015,20.24,3527479,0.15,0.75%,20.24,71120982.21,20881
2018-02-22,20.20,20.38,20.06,20.09,4950210,0.00,0.00%,20.09,99823548.86,23470
2018-02-21,20.27,20.4169,20.09,20.09,3709796,-0.16,-0.79%,20.09,75026814.14,20151
2018-02-20,20.24,20.50,20.18,20.25,3932913,-0.01,-0.05%,20.25,79867127.33,21160
2018-02-16,20.15,20.45,20.11,20.26,7246367,0.06,0.30%,20.26,146998156.04,41905
2018-02-15,20.45,20.54,20.10,20.20,7922391,-0.10,-0.49%,20.20,160565863.31,42504
2018-02-14,20.50,20.74,19.83,20.30,13492319,0.55,2.78%,20.30,273416623.01,63499
2018-02-13,19.59,19.915,19.59,19.75,7356341,-0.02,-0.10%,19.75,145621837.69,34866
2018-02-12,19.46,19.94,19.40,19.77,7008865,0.41,2.12%,19.77,138495985.43,42730
2018-02-09,18.98,19.49,18.55,19.36,7548014,0.55,2.92%,19.36,143838441.97,45828
2018-02-08,19.47,19.50,18.81,18.81,7526566,-0.68,-3.49%,18.81,143211945.31,41621
2018-02-07,19.73,20.05,19.43,19.49,4430789,-0.32,-1.62%,19.49,87154660.87,25311
2018-02-06,19.28,19.87,18.981,19.81,7243019,0.27,1.38%,19.81,141518096.13,45070
2018-02-05,20.15,20.24,19.53,19.54,5493227,-0.74,-3.65%,19.54,109044516.57,31626
2018-02-02,20.57,20.67,20.28,20.28,6520662,-0.41,-1.98%,20.28,133324265.66,24215
2018-02-01,20.71,20.85,20.625,20.69,6318715,-0.10,-0.48%,20.69,131029114.10,26984
2018-01-31,20.65,20.94,20.64,20.79,4503658,0.19,0.92%,20.79,93631711.86,19751
2018-01-30,20.66,20.84,20.51,20.60,3387554,-0.23,-1.10%,20.60,69878094.67,16493
2018-01-29,21.15,21.15,20.78,20.83,3536651,-0.33,-1.56%,20.83,73852851.92,19122
2018-01-26,20.90,21.175,20.78,21.16,3667541,0.36,1.73%,21.16,77172625.11,18020
2018-01-25,20.59,20.81,20.475,20.80,3745670,0.28,1.36%,20.80,77697080.81,18014
2018-01-24,20.80,20.905,20.51,20.52,4187397,-0.21,-1.01%,20.52,86358652.22,19936
2018-01-23,20.52,20.82,20.48,20.73,4241713,0.18,0.88%,20.73,87867466.55,22475
2018-01-22,20.24,20.595,20.235,20.55,4526914,0.31,1.53%,20.55,92732502.38,21213
2018-01-19,20.28,20.30,20.13,20.24,4212879,0.05,0.25%,20.24,85279843.52,19863
2018-01-18,20.21,20.33,20.13,20.19,6504181,-0.05,-0.25%,20.19,131456789.20,27539
2018-01-17,20.47,20.48,20.01,20.24,8385324,-0.38,-1.84%,20.24,169520586.15,39699
2018-01-16,21.12,21.14,20.54,20.62,8158150,-0.50,-2.37%,20.62,169368814.97,36875
2018-01-12,21.22,21.28,21.00,21.12,3665750,-0.06,-0.28%,21.12,77398759.14,18010
2018-01-11,21.30,21.3861,21.04,21.18,4058189,-0.05,-0.24%,21.18,86037924.71,23349
2018-01-10,20.81,21.27,20.70,21.23,6453566,0.19,0.90%,21.23,136113741.63,31700
2018-01-09,21.50,21.52,20.99,21.04,6739452,-0.45,-2.09%,21.04,142369750.84,31737
2018-01-08,21.59,22.21,21.23,21.49,23503245,0.89,4.32%,21.49,509085010.85,87916
2018-01-05,19.45,20.635,19.42,20.60,16589567,1.15,5.91%,20.60,335167847.75,60726
2018-01-04,19.17,19.49,18.955,19.45,9184157,0.38,1.99%,19.45,176922186.09,32972
2018-01-03,19.15,19.36,19.07,19.07,6250358,-0.01,-0.05%,19.07,119699324.73,24468
2018-01-02,19.06,19.13,18.965,19.08,6822502,0.07,0.37%,19.08,129913298.50,22446
2017-12-29,19.08,19.15,19.005,19.01,2825771,-0.06,-0.31%,19.01,53851458.30,14001
2017-12-28,18.89,19.08,18.85,19.07,2969743,0.27,1.44%,19.07,56373897.84,13788
2017-12-27,18.93,18.97,18.72,18.80,2929585,-0.09,-0.48%,18.80,55043301.69,13453
2017-12-26,19.05,19.10,18.85,18.89,2104183,-0.19,-1.00%,18.89,39811552.68,11160
2017-12-22,19.33,19.45,18.961,19.08,3160155,-0.18,-0.93%,19.08,60398519.32,16475
2017-12-21,19.51,19.53,19.235,19.26,4371451,-0.21,-1.08%,19.26,84384815.84,16222
2017-12-20,19.63,19.68,19.43,19.47,3201113,-0.12,-0.61%,19.47,62391990.77,17856
2017-12-19,19.60,19.73,19.50,19.59,4211002,0.03,0.15%,19.59,82603015.23,19923
2017-12-18,19.70,19.74,19.52,19.56,5311357,0.08,0.41%,19.56,104115477.24,23215
2017-12-15,19.27,19.74,19.16,19.48,18819914,0.305,1.59%,19.48,367317822.05,45350
2017-12-14,19.12,19.665,19.05,19.35,6245371,-0.02,-0.10%,19.175,121386023.77,27469
2017-12-13,19.49,19.67,19.34,19.37,3591393,-0.129,-0.67%,19.1948,69900445.57,18371
2017-12-12,19.49,19.66,19.305,19.50,3672536,-0.03,-0.15%,19.3236,71562893.27,17124
2017-12-11,19.48,19.70,19.41,19.53,4719594,0.139,0.72%,19.3534,92234029.71,20798
2017-12-08,19.58,19.58,19.36,19.39,3210851,-0.129,-0.67%,19.2146,62410916.31,17696
2017-12-07,19.39,19.62,19.36,19.52,3827765,0.119,0.62%,19.3435,74750704.02,19438
2017-12-06,19.56,19.68,19.40,19.40,4390144,-0.149,-0.77%,19.2245,85572994.16,16696
2017-12-05,19.73,19.87,19.52,19.55,4829662,-0.159,-0.81%,19.3732,94950415.98,20479
2017-12-04,19.84,19.88,19.625,19.71,6123427,0.00,0.00%,19.5317,120746993.61,25046
2017-12-01,19.66,19.84,19.40,19.71,5169773,0.02,0.10%,19.5317,101553475.05,28426
2017-11-30,19.75,19.99,19.61,19.69,4978233,-0.01,-0.05%,19.5119,98380816.28,24267
2017-11-29,19.72,19.85,19.645,19.70,3982793,0.01,0.05%,19.5218,78549037.84,20831
2017-11-28,19.52,19.70,19.46,19.69,2692079,0.208,1.08%,19.5119,52802943.62,14422
2017-11-27,19.67,19.73,19.40,19.48,2838600,-0.168,-0.87%,19.3038,55423670.68,18050
2017-11-24,19.58,19.70,19.50,19.65,1551150,0.099,0.51%,19.4723,30451714.56,7777
2017-11-22,19.72,19.74,19.495,19.55,1831482,-0.149,-0.76%,19.3732,35860549.43,10662
2017-11-21,19.69,19.84,19.66,19.70,2155672,0.02,0.10%,19.5218,42546927.24,11737
2017-11-20,19.73,19.82,19.59,19.68,2030216,0.00,0.00%,19.502,39976948.74,12122
2017-11-17,19.68,19.81,19.53,19.68,2463777,-0.089,-0.46%,19.502,48506191.14,12916
2017-11-16,19.74,19.855,19.63,19.77,2399338,0.168,0.87%,19.5912,47438700.81,13017
2017-11-15,19.55,19.64,19.36,19.60,3213349,-0.05,-0.25%,19.4227,62873318.41,16186
2017-11-14,19.48,19.75,19.45,19.65,2996556,0.129,0.67%,19.4723,58928349.50,16990
2017-11-13,20.08,20.10,19.495,19.52,3133704,-0.614,-3.08%,19.3435,61595806.92,18889
2017-11-10,20.14,20.21,20.09,20.14,5479625,0.059,0.30%,19.9579,110357992.65,19652
2017-11-09,19.63,20.15,19.63,20.08,5372841,0.327,1.67%,19.8984,107367775.91,27079
2017-11-08,19.20,19.76,19.125,19.75,4926787,0.585,3.08%,19.5714,96237053.92,21828
2017-11-07,19.52,19.61,19.14,19.16,4417987,-0.268,-1.39%,18.9867,85191186.23,23402
2017-11-06,19.41,19.85,19.27,19.43,5339826,-0.069,-0.36%,19.2543,104432723.21,27908
2017-11-03,20.10,20.67,19.43,19.50,7262928,-0.575,-2.89%,19.3236,144479124.36,40712
2017-11-02,19.93,20.11,19.81,20.08,4774395,0.099,0.50%,19.8984,95560642.68,26993
2017-11-01,19.97,20.04,19.83,19.98,3219467,0.119,0.60%,19.7993,64247770.38,17328
2017-10-31,19.72,19.92,19.57,19.86,2919496,0.139,0.71%,19.6804,57839422.75,16719
2017-10-30,20.12,20.125,19.69,19.72,3172158,-0.535,-2.67%,19.5417,62814542.97,14326
2017-10-27,20.34,20.40,20.045,20.26,2405278,0.01,0.05%,20.0768,48553995.22,12594
2017-10-26,20.10,20.27,20.07,20.25,2169661,0.223,1.12%,20.0669,43889250.07,10970
2017-10-25,20.09,20.15,19.89,20.025,2376740,-0.074,-0.37%,19.8439,47487315.11,15670
2017-10-24,20.22,20.24,20.06,20.10,2768906,-0.099,-0.50%,19.9182,55726188.10,14963
2017-10-23,20.34,20.40,20.18,20.20,2351788,-0.109,-0.54%,20.0173,47605988.63,14216
2017-10-20,20.00,20.39,19.97,20.31,4094419,0.446,2.27%,20.1263,82919612.65,19739
2017-10-19,19.73,19.87,19.64,19.86,2580938,0.069,0.35%,19.6804,51061579.36,13951
2017-10-18,19.74,19.91,19.74,19.79,3712920,0.089,0.46%,19.611,73681141.19,18034
2017-10-17,19.77,19.90,19.68,19.70,3401434,-0.059,-0.30%,19.5218,67226149.06,14374
2017-10-16,19.82,19.88,19.65,19.76,2634158,-0.03,-0.15%,19.5813,51969376.94,15102
2017-10-13,19.79,19.99,19.755,19.79,1935420,0.05,0.25%,19.611,38391118.86,11575
2017-10-12,19.69,19.755,19.615,19.74,2787921,0.00,0.00%,19.5615,54981568.60,12924
2017-10-11,19.60,19.74,19.54,19.74,3102638,0.139,0.71%,19.5615,60993742.78,13665
2017-10-10,19.59,19.64,19.52,19.60,2001091,0.079,0.41%,19.4227,39160124.20,10915
2017-10-09,19.56,19.61,19.465,19.52,1883350,0.00,0.00%,19.3435,36764199.23,8890
2017-10-06,19.65,19.67,19.425,19.52,2515673,-0.129,-0.66%,19.3435,49065127.71,13084
2017-10-05,19.43,19.75,19.345,19.65,3887705,0.238,1.24%,19.4723,76262605.30,18238
2017-10-04,19.38,19.42,19.32,19.41,3916280,0.03,0.15%,19.2345,75868412.36,15204
2017-10-03,19.40,19.479,19.27,19.38,3278429,-0.02,-0.10%,19.2047,63480984.60,15549
2017-10-02,19.23,19.46,19.185,19.40,4540174,0.198,1.04%,19.2245,87911057.73,25114
2017-09-29,19.03,19.20,19.03,19.20,2905252,0.139,0.73%,19.0264,55650206.65,15315
2017-09-28,18.97,19.085,18.92,19.06,3028362,0.059,0.32%,18.8876,57545501.03,13766
2017-09-27,18.80,19.02,18.74,19.00,3541307,0.268,1.44%,18.8282,67044895.29,17724
2017-09-26,19.08,19.08,18.70,18.73,3967258,-0.297,-1.58%,18.5606,74556862.09,16067
2017-09-25,18.94,19.085,18.865,19.03,2726859,0.04,0.21%,18.8579,51775948.94,15773
2017-09-22,18.91,19.005,18.88,18.99,2575435,0.079,0.42%,18.8183,48807952.06,12431
2017-09-21,18.92,19.015,18.90,18.91,2509712,-0.04,-0.21%,18.739,47538721.26,14164
2017-09-20,19.05,19.12,18.88,18.95,2185705,-0.099,-0.52%,18.7786,41472648.59,12976
2017-09-19,19.13,19.1934,19.01,19.05,2146383,-0.05,-0.26%,18.8777,40917449.98,13071
2017-09-18,18.98,19.11,18.92,19.10,2430817,0.188,1.00%,18.9273,46268007.91,12139
2017-09-15,18.85,19.01,18.825,18.91,5598719,-0.03,-0.16%,18.739,105892234.01,16456
2017-09-14,18.91,19.02,18.88,18.94,2769338,0.005,0.03%,18.7687,52429403.34,14471
2017-09-13,19.24,19.32,19.10,19.11,3393102,-0.108,-0.57%,18.7637,65055622.30,18292
2017-09-12,18.88,19.28,18.84,19.22,3432169,0.324,1.75%,18.8717,65742236.19,15889
2017-09-11,18.79,19.045,18.79,18.89,2714977,0.196,1.07%,18.5477,51426703.38,16160
2017-09-08,18.54,18.85,18.46,18.69,3118970,0.147,0.81%,18.3514,58303526.89,15581
2017-09-07,18.54,18.64,18.39,18.54,3800438,0.029,0.16%,18.2041,70297226.15,22012
2017-09-06,18.74,18.8099,18.475,18.51,5363039,-0.167,-0.91%,18.1746,99492954.31,25712
2017-09-05,18.72,18.78,18.50,18.68,4924213,-0.108,-0.59%,18.3415,91852600.76,24738
2017-09-01,18.99,19.01,18.755,18.79,3893668,-0.128,-0.69%,18.4495,73366120.01,22679
2017-08-31,19.05,19.0767,18.875,18.92,4088154,-0.01,-0.05%,18.5772,77482790.94,17985
2017-08-30,19.02,19.06,18.76,18.93,4001353,-0.137,-0.73%,18.587,75580608.50,21138
2017-08-29,18.97,19.13,18.83,19.07,3047709,0.029,0.16%,18.7245,57894539.22,16801
2017-08-28,19.08,19.17,18.975,19.04,2604439,0.039,0.21%,18.695,49598063.83,13792
2017-08-25,19.00,19.16,18.96,19.00,1687458,0.02,0.11%,18.6557,32127079.19,10976
2017-08-24,19.06,19.14,18.96,18.98,2451007,0.01,0.05%,18.6361,46641503.88,14901
2017-08-23,18.99,19.12,18.97,18.97,3018316,-0.059,-0.32%,18.6263,57425049.53,17095
2017-08-22,18.91,19.05,18.88,19.03,1991893,0.147,0.79%,18.6852,37826418.56,12981
2017-08-21,18.85,18.99,18.82,18.88,2157251,0.00,0.00%,18.5379,40773687.73,14735
2017-08-18,18.95,18.955,18.80,18.88,3946906,-0.118,-0.63%,18.5379,74558937.01,19523
2017-08-17,19.36,19.485,18.9901,19.00,3817383,-0.373,-1.96%,18.6557,73116294.92,21771
2017-08-16,19.25,19.515,19.24,19.38,3954630,0.157,0.83%,19.0288,76790886.70,20313
2017-08-15,19.14,19.28,19.08,19.22,3090921,0.079,0.42%,18.8717,59302051.76,16215
2017-08-14,19.05,19.24,19.045,19.14,2541550,0.236,1.27%,18.7932,48616245.04,13300
2017-08-11,18.86,19.07,18.85,18.90,3227668,-0.01,-0.05%,18.5575,61112301.19,19162
2017-08-10,19.19,19.26,18.91,18.91,3621828,-0.363,-1.92%,18.5674,68853597.84,20939
2017-08-09,19.21,19.28,19.16,19.28,2397024,-0.02,-0.10%,18.9307,46099304.29,14369
2017-08-08,19.33,19.56,19.29,19.30,2898664,-0.079,-0.41%,18.9503,56232664.15,16936
2017-08-07,19.70,19.73,19.35,19.38,4443305,-0.334,-1.72%,19.0288,86519968.31,22387
2017-08-04,20.07,20.40,19.59,19.72,8103189,0.137,0.72%,19.3627,160980942.75,47559
2017-08-03,19.44,19.66,19.39,19.58,4528451,0.088,0.46%,19.2252,88570786.65,21360
2017-08-02,19.71,19.74,19.38,19.49,3184974,-0.226,-1.17%,19.1369,62119707.42,18743
2017-08-01,20.07,20.40,19.59,19.72,8103189,-0.029,-0.15%,19.3627,160980942.75,47559
2017-07-31,19.68,19.81,19.65,19.75,4050236,0.098,0.51%,19.3921,79926936.00,16274
2017-07-28,19.66,19.74,19.58,19.65,1979924,-0.049,-0.25%,19.294,38896783.05,13044
2017-07-27,19.57,19.77,19.50,19.70,3255376,0.216,1.13%,19.3431,64033434.73,17447
2017-07-26,19.47,19.49,19.335,19.48,2147758,0.00,0.00%,19.127,41743064.18,12762
2017-07-25,19.25,19.61,19.25,19.48,3884744,0.314,1.67%,19.127,75646233.06,21687
2017-07-24,19.08,19.19,18.88,19.16,1745810,0.069,0.37%,18.8128,33359506.61,9920
2017-07-21,19.09,19.17,19.03,19.09,1710176,0.01,0.05%,18.7441,32630005.87,10190
2017-07-20,19.19,19.24,19.055,19.08,1855314,-0.098,-0.52%,18.7343,35451792.61,10600
2017-07-19,18.97,19.20,18.91,19.18,2798862,0.216,1.16%,18.8325,53509405.01,12516
2017-07-18,18.99,18.99,18.86,18.96,1893639,-0.039,-0.21%,18.6165,35839805.15,9081
2017-07-17,19.03,19.165,18.9401,19.00,1632698,-0.02,-0.11%,18.6557,31082352.66,9573
2017-07-14,18.98,19.085,18.93,19.02,1020380,0.079,0.42%,18.6754,19413531.52,5878
2017-07-13,19.05,19.08,18.94,18.94,1740770,-0.069,-0.37%,18.5968,33043776.59,9588
2017-07-12,18.90,19.07,18.87,19.01,3144132,0.216,1.17%,18.6656,59736162.48,13622
2017-07-11,18.69,18.84,18.6193,18.79,3097464,0.088,0.48%,18.4495,58121601.25,16804
2017-07-10,18.63,18.835,18.59,18.70,2527186,0.049,0.27%,18.3612,47269219.83,13328
2017-07-07,18.56,18.73,18.50,18.65,3080656,0.177,0.97%,18.3121,57436335.79,15658
2017-07-06,18.60,18.63,18.42,18.47,3997145,-0.216,-1.18%,18.1353,73954421.33,24585
2017-07-05,19.18,19.22,18.60,18.69,5171643,-0.452,-2.40%,18.3514,97109605.88,25862
2017-07-03,19.12,19.255,19.11,19.15,1805510,0.098,0.52%,18.803,34618915.54,9908
2017-06-30,18.87,19.14,18.84,19.05,4475598,0.187,1.01%,18.7048,85196856.94,24780
2017-06-29,18.98,19.09,18.74,18.86,4246552,-0.108,-0.58%,18.5183,80353859.95,25995
2017-06-28,18.88,19.00,18.76,18.97,3926550,0.088,0.48%,18.6263,74236131.76,23182
2017-06-27,19.18,19.21,18.87,18.88,2104774,-0.128,-0.68%,18.5379,39950113.33,12729
2017-06-26,19.18,19.335,18.94,19.01,2640404,-0.157,-0.83%,18.6656,50330198.15,14821
2017-06-23,18.83,19.17,18.80,19.17,4797678,0.383,2.08%,18.8227,91744168.48,17515
2017-06-22,18.80,18.93,18.52,18.78,4597180,-0.059,-0.32%,18.4397,86266781.47,20062
2017-06-21,19.02,19.03,18.83,18.84,2056371,-0.108,-0.58%,18.4986,38860513.62,13433
2017-06-20,19.03,19.065,18.93,18.95,3544120,-0.147,-0.79%,18.6066,67258097.83,17749
2017-06-19,19.17,19.17,18.8725,19.10,3375049,0.02,0.10%,18.7539,64198167.17,16373
2017-06-16,18.91,19.13,18.76,19.08,7644295,0.088,0.47%,18.7343,145126604.23,23278
2017-06-15,19.07,19.18,18.86,18.99,4468160,-0.236,-1.25%,18.6459,84822343.04,25141
2017-06-14,19.33,19.45,19.17,19.23,3377296,-0.044,-0.23%,18.8816,65055363.46,21348
2017-06-13,19.29,19.51,19.27,19.45,5166329,0.185,0.99%,18.9258,100376905.79,23252
2017-06-12,18.91,19.53,18.91,19.26,5476280,0.243,1.32%,18.7409,105539081.73,29730
2017-06-09,18.92,19.15,18.78,19.01,3359649,0.068,0.37%,18.4976,63833267.17,18192
2017-06-08,19.11,19.18,18.83,18.94,3479641,-0.185,-0.99%,18.4295,65972838.12,20646
2017-06-07,19.23,19.26,19.12,19.13,2569255,-0.088,-0.47%,18.6144,49258920.73,13204
2017-06-06,19.32,19.36,19.21,19.22,2591425,-0.175,-0.93%,18.702,49915367.54,14911
2017-06-05,19.29,19.44,19.25,19.40,2744525,0.117,0.62%,18.8771,53170588.52,14175
2017-06-02,19.41,19.44,19.18,19.28,3296626,-0.156,-0.82%,18.7603,63551376.93,19179
2017-06-01,19.09,19.52,19.07,19.44,5124638,0.409,2.21%,18.916,99521356.52,25790
2017-05-31,19.18,19.28,18.88,19.02,7722784,-0.156,-0.83%,18.5074,146827446.04,25557
2017-05-30,19.02,19.21,18.93,19.18,3450067,0.107,0.58%,18.663,65988786.35,20232
