date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,121.00,121.47,118.64,118.91,543499,-2.18,-1.80%,118.91,64799171.01,6435
2018-03-09,117.25,121.15,117.25,121.09,909617,4.61,3.96%,121.09,109420345.84,9034
2018-03-08,117.78,118.14,115.99,116.48,655943,-0.89,-0.76%,116.48,76607014.92,6915
2018-03-07,116.21,117.65,115.42,117.37,887635,-0.24,-0.20%,117.37,103634286.15,9125
2018-03-06,117.04,117.96,116.84,117.61,747167,0.92,0.79%,117.61,87806609.32,8122
2018-03-05,115.61,116.81,113.27,116.69,1272652,0.30,0.26%,116.69,147265024.17,10645
2018-03-02,114.73,116.68,113.24,116.39,915050,0.78,0.67%,116.39,105672114.30,10567
2018-03-01,116.01,117.2575,114.89,115.61,996678,-0.17,-0.15%,115.61,115567496.16,12053
2018-02-28,116.45,117.69,115.78,115.78,1058783,-0.18,-0.16%,115.78,123437601.96,9925
2018-02-27,118.04,118.05,115.65,115.96,1543944,-2.06,-1.75%,115.96,179890782.43,13787
2018-02-26,119.95,120.40,117.97,118.02,1306577,-1.57,-1.31%,118.02,155077898.51,10685
2018-02-23,120.13,120.68,119.28,119.59,774551,-0.16,-0.13%,119.59,92758814.98,7674
2018-02-22,121.76,121.88,119.23,119.75,947377,-1.37,-1.13%,119.75,114170023.23,10189
2018-02-21,120.75,123.02,120.60,121.12,771514,0.35,0.29%,121.12,94002963.86,7937
2018-02-20,120.23,122.59,120.23,120.77,670909,-0.31,-0.26%,120.77,81366777.45,7243
2018-02-16,122.65,122.82,121.01,121.08,611049,-1.54,-1.26%,121.08,74338338.70,5866
2018-02-15,121.86,123.99,121.79,122.62,1011392,0.95,0.78%,122.62,124144045.31,10264
2018-02-14,117.97,121.93,117.97,121.67,1972322,3.75,3.18%,121.67,236896979.99,16591
2018-02-13,116.03,118.23,115.71,117.92,1240653,1.61,1.38%,117.92,145406703.98,9133
2018-02-12,115.65,116.94,114.97,116.31,1022520,1.29,1.12%,116.31,118769989.52,9176
2018-02-09,114.56,115.895,110.77,115.02,1081528,1.46,1.29%,115.02,123231812.71,11516
2018-02-08,118.26,118.70,113.53,113.56,853309,-5.16,-4.35%,113.56,98748328.16,8208
2018-02-07,119.43,120.78,118.41,118.72,790796,-1.05,-0.88%,118.72,94511753.82,8550
2018-02-06,114.09,120.18,113.62,119.77,1696674,3.00,2.57%,119.77,200554318.59,14656
2018-02-05,120.19,121.84,116.19,116.77,1637210,-4.77,-3.92%,116.77,195603819.61,10269
2018-02-02,124.91,124.91,121.201,121.54,763783,-3.58,-2.86%,121.54,94019786.24,6907
2018-02-01,123.45,125.41,122.99,125.12,730569,0.99,0.80%,125.12,91102553.37,7744
2018-01-31,124.15,124.86,123.68,124.13,654999,0.66,0.53%,124.13,81361492.02,6850
2018-01-30,124.55,125.28,123.11,123.47,771757,-1.55,-1.24%,123.47,95467995.55,8070
2018-01-29,124.47,125.69,123.775,125.02,1126617,0.06,0.05%,125.02,140370849.62,10151
2018-01-26,125.66,125.72,124.25,124.96,1082399,-0.13,-0.10%,124.96,135085857.66,7954
2018-01-25,125.54,125.74,123.92,125.09,1692506,-0.18,-0.14%,125.09,210942195.08,9702
2018-01-24,127.73,127.78,124.83,125.27,850769,-2.06,-1.62%,125.27,107083119.81,8464
2018-01-23,126.70,127.84,126.50,127.33,546260,-0.02,-0.02%,127.33,69616514.44,5688
2018-01-22,126.60,127.47,126.10,127.35,1439541,0.36,0.28%,127.35,182871150.91,11920
2018-01-19,124.36,127.96,124.36,126.99,2219198,4.26,3.47%,126.99,281075345.51,18223
2018-01-18,120.20,124.05,120.20,122.73,1958509,5.60,4.78%,122.73,240814087.18,17934
2018-01-17,117.19,117.74,116.53,117.13,761037,0.05,0.04%,117.13,89173409.25,7814
2018-01-16,118.43,119.21,116.70,117.08,1217828,-0.85,-0.72%,117.08,143288095.84,10157
2018-01-12,116.99,117.96,116.40,117.93,987721,1.04,0.89%,117.93,116101706.43,7348
2018-01-11,113.24,116.94,112.61,116.89,983205,4.18,3.71%,116.89,113630463.88,9379
2018-01-10,112.93,113.505,112.50,112.71,621479,-0.66,-0.58%,112.71,70124384.71,6622
2018-01-09,114.27,114.38,112.78,113.37,781167,-0.49,-0.43%,113.37,88646794.45,7922
2018-01-08,112.74,114.20,111.60,113.86,1095832,1.42,1.26%,113.86,123881058.16,9722
2018-01-05,115.71,115.93,111.44,112.44,2157869,-3.29,-2.84%,112.44,243714873.54,15450
2018-01-04,117.85,117.95,115.42,115.73,927128,-1.77,-1.51%,115.73,107714207.58,9428
2018-01-03,116.60,117.62,116.60,117.50,683728,0.66,0.56%,117.50,80085985.72,6559
2018-01-02,116.59,116.93,115.42,116.84,685038,0.97,0.84%,116.84,79739297.99,7194
2017-12-29,117.00,117.00,115.87,115.87,875191,-0.79,-0.68%,115.87,101639970.71,5312
2017-12-28,115.64,116.72,115.43,116.66,670196,1.29,1.12%,116.66,77944704.93,6192
2017-12-27,113.89,115.37,113.89,115.37,384727,1.46,1.28%,115.37,44259804.70,4289
2017-12-26,113.56,114.54,113.50,113.91,508365,0.33,0.29%,113.91,57923512.25,5868
2017-12-22,113.02,113.81,112.63,113.58,855292,0.21,0.19%,113.58,96993665.68,7797
2017-12-21,113.85,114.355,112.98,113.37,1246140,0.54,0.48%,113.37,141535001.09,10344
2017-12-20,113.595,113.90,112.81,112.83,483317,-0.73,-0.64%,112.83,54692483.28,4978
2017-12-19,114.43,114.54,113.11,113.56,584156,-0.92,-0.80%,113.56,66436608.07,5889
2017-12-18,113.71,115.22,113.20,114.48,700450,1.87,1.66%,114.48,80283633.85,6946
