date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,189.21,192.32,188.18,191.79,4959058,2.90,1.54%,191.79,946939102.49,36985
2018-03-09,189.22,192.75,184.41,188.89,9408501,9.78,5.46%,188.89,1772315433.79,77594
2018-03-08,173.24,180.52,171.60,179.11,6348240,10.70,6.35%,179.11,1126015876.84,50232
2018-03-07,165.12,169.23,164.62,168.41,1551927,1.63,0.98%,168.41,260714436.85,14999
2018-03-06,166.63,167.30,164.01,166.78,1257555,1.72,1.04%,166.78,208558729.85,12983
2018-03-05,161.33,166.72,158.66,165.06,2803580,2.00,1.23%,165.06,455766696.57,24206
2018-03-02,161.78,163.50,156.54,163.06,4147623,-0.36,-0.22%,163.06,666118685.07,35888
2018-03-01,168.25,168.46,163.26,163.42,2561471,-4.08,-2.44%,163.42,424090714.56,24252
2018-02-28,168.74,169.95,166.83,167.50,2578012,-1.25,-0.74%,167.50,433085876.57,22522
2018-02-27,169.42,169.65,166.51,168.75,2023184,-0.25,-0.15%,168.75,341055193.86,17672
2018-02-26,168.07,169.72,167.21,169.00,1776347,1.87,1.12%,169.00,299608753.35,17149
2018-02-23,165.00,167.40,164.11,167.13,1904851,2.94,1.79%,167.13,316551194.56,17599
2018-02-22,166.39,167.67,162.07,164.19,2533350,-2.17,-1.30%,164.19,415570219.73,22511
2018-02-21,164.69,169.00,164.54,166.36,1962863,1.44,0.87%,166.36,328333040.42,18230
2018-02-20,163.88,166.92,163.28,164.92,1915826,0.64,0.39%,164.92,316248049.32,17642
2018-02-16,164.11,167.38,162.51,164.28,3451213,0.27,0.16%,164.28,569497260.96,27164
2018-02-15,164.58,166.29,161.80,164.01,2642400,-0.15,-0.09%,164.01,434136474.42,22276
2018-02-14,163.51,165.38,162.55,164.16,2116686,0.00,0.00%,164.16,347775990.82,20264
2018-02-13,163.00,165.55,162.49,164.66,2122892,1.735,1.07%,164.1599,348988900.87,20257
2018-02-12,167.62,167.76,162.00,162.92,3427519,-3.29,-1.99%,162.4252,561649139.61,34032
2018-02-09,168.65,168.74,160.89,166.22,5511089,-3.051,-1.81%,165.7152,909985113.30,54678
2018-02-08,178.20,179.20,169.15,169.28,5312619,-8.016,-4.53%,168.7659,917828134.83,49154
2018-02-07,175.56,180.10,172.95,177.32,15719925,14.057,8.64%,176.7815,2777819733.74,127479
2018-02-06,163.50,167.6576,162.24,163.22,3672737,-2.253,-1.37%,162.7243,602128909.51,38706
2018-02-05,165.62,170.78,165.30,165.48,4916767,-1.077,-0.65%,164.9774,827044411.14,48109
2018-02-02,167.95,173.00,166.00,166.56,5398823,-3.918,-2.31%,166.0542,908530379.25,44227
2018-02-01,166.01,171.78,164.03,170.49,6416095,4.885,2.96%,169.9722,1088053452.36,53151
2018-01-31,173.27,176.98,162.60,165.59,11253126,-5.782,-3.38%,165.0871,1893984806.55,77818
2018-01-30,160.89,172.30,160.721,171.39,16494619,7.886,4.84%,170.8695,2760292148.51,111349
2018-01-29,171.03,171.84,162.34,163.48,25903548,-16.759,-9.32%,162.9835,4319439398.22,187402
2018-01-26,201.99,201.99,178.04,180.29,22145560,-20.248,-10.12%,179.7425,4079504030.48,162787
2018-01-25,200.75,203.63,198.16,200.60,3491113,0.02,0.01%,199.9908,700652411.16,30426
2018-01-24,196.88,201.97,194.20,200.58,3248360,5.613,2.89%,199.9708,645207811.34,30847
2018-01-23,196.94,201.69,194.5901,194.95,4261754,-0.279,-0.14%,194.3579,842535183.59,36902
2018-01-22,187.59,195.84,185.02,195.23,6777532,15.543,8.68%,194.6371,1294632288.40,48683
2018-01-19,176.75,179.86,176.48,179.64,1840753,4.147,2.37%,179.0944,328542134.74,17493
2018-01-18,173.36,176.07,171.67,175.48,1847374,1.884,1.09%,174.9471,323211572.67,17917
2018-01-17,171.56,174.81,170.91,173.59,2367291,4.845,2.88%,173.0628,410364599.22,22280
2018-01-16,170.60,172.63,167.4413,168.73,3264359,3.18,1.93%,168.2176,555919058.07,27765
2018-01-12,162.83,165.85,161.12,165.54,2680185,3.031,1.87%,165.0373,439634385.24,22235
2018-01-11,162.00,163.3919,160.97,162.50,2420690,0.498,0.31%,162.0065,392868771.43,20889
2018-01-10,162.16,162.43,160.38,162.00,2296933,-1.396,-0.86%,161.508,371212370.12,19124
2018-01-09,162.90,163.77,162.09,163.40,2453611,1.097,0.68%,162.9038,399692910.48,19072
2018-01-08,164.12,164.15,161.50,162.30,1803804,-2.183,-1.33%,161.8071,293620745.71,16387
2018-01-05,164.47,166.25,163.12,164.49,2186633,1.087,0.67%,163.9904,360767166.75,18469
2018-01-04,163.19,163.48,161.53,163.40,2708830,0.877,0.54%,162.9038,439783838.14,19057
2018-01-03,165.04,165.39,160.56,162.52,3530850,-1.775,-1.08%,162.0264,571682843.51,27768
2018-01-02,165.11,166.34,163.72,164.30,2581234,-4.277,-2.54%,163.801,425863154.32,21232
2017-12-29,168.46,168.87,166.68,168.59,1336295,0.11,0.07%,168.078,224685926.82,10818
2017-12-28,170.56,171.06,168.30,168.48,1073066,-1.725,-1.02%,167.9683,181893275.82,10176
2017-12-27,167.78,170.30,166.26,170.21,951559,1.585,0.94%,169.6931,161214162.03,8604
2017-12-26,167.99,168.70,166.74,168.62,661067,0.867,0.52%,168.1079,110937084.87,7568
2017-12-22,167.77,168.71,167.02,167.75,748615,-0.758,-0.45%,167.2405,125533101.57,7900
2017-12-21,169.80,170.00,168.25,168.51,1104603,-0.439,-0.26%,167.9982,186476565.49,9026
2017-12-20,166.00,169.25,164.69,168.95,1480119,2.801,1.69%,168.4369,248667693.06,11426
2017-12-19,165.95,166.64,165.29,166.14,1005007,1.007,0.61%,165.6354,166715035.45,10134
2017-12-18,166.00,166.83,164.10,165.13,1450398,-0.897,-0.54%,164.6285,239514673.31,13265
2017-12-15,166.39,166.39,164.35,166.03,1496296,1.027,0.62%,165.5258,248194672.48,11180
2017-12-14,165.75,166.79,164.57,165.00,1161220,0.15,0.09%,164.4989,191746068.14,11567
2017-12-13,163.80,166.70,163.3425,164.85,1355644,2.532,1.56%,164.3494,223952720.93,14854
