date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,92.80,95.49,92.6201,95.38,2146165,2.49,2.68%,95.38,202009727.20,16328
2018-03-09,94.54,94.545,92.46,92.89,1349524,-0.80,-0.85%,92.89,125782800.07,12353
2018-03-08,93.33,93.86,92.05,93.69,1120578,1.00,1.08%,93.69,104278641.07,11296
2018-03-07,92.90,95.57,92.1176,92.69,1621229,-0.72,-0.77%,92.69,150934694.91,16043
2018-03-06,97.47,97.59,93.32,93.41,1255820,-3.28,-3.39%,93.41,118772756.84,12777
2018-03-05,95.41,97.37,95.41,96.69,1143087,0.84,0.88%,96.69,110371384.84,12599
2018-03-02,94.88,96.39,93.96,95.85,997637,0.50,0.52%,95.85,95348475.89,11216
2018-03-01,95.97,96.98,94.54,95.35,1199012,-0.74,-0.77%,95.35,114724893.74,13696
2018-02-28,98.11,98.75,96.09,96.09,1244665,-1.83,-1.87%,96.09,120855995.68,12641
2018-02-27,98.31,99.19,97.19,97.92,1627663,-0.42,-0.43%,97.92,159764614.35,16285
2018-02-26,98.76,99.30,97.60,98.34,955590,-0.36,-0.36%,98.34,93857057.90,8839
2018-02-23,96.31,98.77,96.00,98.70,1252396,3.26,3.42%,98.70,122302157.78,11359
2018-02-22,95.60,97.39,93.76,95.44,1531734,0.31,0.33%,95.44,146616077.38,16062
2018-02-21,98.08,98.25,95.10,95.13,1674370,-3.24,-3.29%,95.13,161116837.61,17512
2018-02-20,99.69,100.72,97.67,98.37,1450331,-0.36,-0.36%,98.37,143363416.59,12423
2018-02-16,98.26,101.04,98.1761,98.73,2091382,-0.03,-0.03%,98.73,208253263.08,18934
2018-02-15,98.05,99.53,95.72,98.76,3764119,-3.43,-3.36%,98.76,366959696.56,33208
2018-02-14,99.25,102.51,98.42,102.19,1564205,2.49,2.50%,102.19,157781175.34,16329
2018-02-13,100.03,100.86,97.737,99.78,1507022,-1.119,-1.11%,99.70,149771152.77,16162
2018-02-12,101.49,103.40,99.99,100.90,993360,0.709,0.71%,100.8191,100723127.90,11295
2018-02-09,100.72,101.09,95.56,100.19,1769777,0.00,0.00%,100.1096,173671783.11,17648
2018-02-08,105.87,106.44,100.18,100.19,1465293,-5.715,-5.40%,100.1096,150434707.34,13314
2018-02-07,108.44,110.24,105.71,105.91,1385702,-2.548,-2.35%,105.8251,148767560.23,15065
2018-02-06,107.82,110.20,105.96,108.46,1224614,0.55,0.51%,108.373,132199590.53,13436
2018-02-05,110.23,111.89,107.83,107.91,1186573,-3.038,-2.74%,107.8235,129574100.28,12361
2018-02-02,112.20,112.20,109.80,110.95,1162116,-2.458,-2.17%,110.861,128946853.88,14097
2018-02-01,113.04,115.59,111.97,113.41,1076052,1.209,1.08%,113.319,121768200.73,11484
2018-01-31,114.05,114.93,111.131,112.20,1066506,-2.128,-1.86%,112.11,119949148.07,11659
2018-01-30,117.01,117.01,112.6001,114.33,1646050,-4.347,-3.67%,114.2383,188230548.25,14943
2018-01-29,119.23,120.065,117.891,118.68,1004159,-1.099,-0.92%,118.5848,119634871.64,10386
2018-01-26,120.71,121.805,119.34,119.78,855357,-0.47,-0.39%,119.6839,102849985.23,9002
2018-01-25,124.50,125.34,119.57,120.25,1330552,-3.977,-3.20%,120.1536,161771459.33,12943
2018-01-24,125.50,125.92,123.88,124.23,1186302,-0.819,-0.66%,124.1304,147820449.03,10615
2018-01-23,126.63,127.13,124.56,125.05,1025666,-1.749,-1.38%,124.9497,128905983.91,11957
2018-01-22,124.52,126.815,124.21,126.80,773828,2.758,2.23%,126.6983,97468790.29,9384
2018-01-19,124.06,124.71,122.65,124.04,830863,-0.60,-0.48%,123.9405,102772482.11,7876
2018-01-18,126.20,126.63,124.27,124.64,984731,-1.809,-1.43%,124.54,123294404.87,9871
2018-01-17,126.25,128.00,125.16,126.45,646677,0.62,0.49%,126.3486,81954073.97,7550
2018-01-16,127.68,127.79,125.73,125.83,1218533,-1.309,-1.03%,125.7291,154179610.86,12100
2018-01-12,128.01,130.16,126.98,127.14,1459944,-0.51,-0.40%,127.038,187193561.26,13561
2018-01-11,126.25,128.74,125.86,127.65,1100478,2.098,1.67%,127.5476,140718471.81,9717
2018-01-10,127.87,128.22,125.26,125.55,843205,-2.058,-1.61%,125.4493,106561673.60,9069
2018-01-09,128.21,128.99,126.841,127.61,551533,-0.629,-0.49%,127.5077,70434618.21,6056
2018-01-08,127.71,128.75,126.32,128.24,808623,0.42,0.33%,128.1372,103304428.94,6382
2018-01-05,128.37,128.98,126.64,127.82,945135,-0.839,-0.65%,127.7175,120972103.50,9576
