date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,43.25,43.88,43.23,43.66,3242354,0.38,0.88%,43.66,141637747.07,29174
2018-03-09,43.08,43.29,42.78,43.28,2384036,0.15,0.35%,43.28,102747138.23,21596
2018-03-08,42.89,43.35,42.64,43.13,2844532,0.41,0.96%,43.13,122644383.74,26997
2018-03-07,42.79,43.08,42.565,42.72,3444282,-0.19,-0.44%,42.72,147294168.64,29981
2018-03-06,43.62,43.83,42.82,42.91,4723758,-0.92,-2.10%,42.91,203284506.97,35071
2018-03-05,42.88,44.02,42.78,43.83,4149220,0.80,1.86%,43.83,181145829.36,34314
2018-03-02,43.13,43.61,42.645,43.03,4515063,-0.14,-0.32%,43.03,194457988.64,33922
2018-03-01,43.29,43.94,42.84,43.17,4228718,-0.11,-0.25%,43.17,183013003.29,34290
2018-02-28,43.83,43.955,43.26,43.28,3958668,-0.42,-0.96%,43.28,172447487.50,21711
2018-02-27,44.44,44.69,43.66,43.70,4395746,-0.84,-1.89%,43.70,193237328.24,34671
2018-02-26,44.84,44.92,44.46,44.54,3079413,-0.23,-0.51%,44.54,137329554.50,23002
2018-02-23,43.64,44.82,43.64,44.77,3326700,1.16,2.66%,44.77,148125056.71,25935
2018-02-22,43.73,44.09,43.50,43.61,3440326,-0.09,-0.21%,43.61,150659802.05,28231
2018-02-21,44.02,44.59,43.70,43.70,4722952,-0.42,-0.95%,43.70,208512540.46,37477
2018-02-20,44.66,44.775,43.85,44.12,3454742,-0.56,-1.25%,44.12,152551985.64,26141
2018-02-16,44.13,44.88,44.05,44.68,3592637,0.49,1.11%,44.68,160227787.63,23365
2018-02-15,43.30,44.20,43.07,44.19,3736291,0.97,2.24%,44.19,163381280.11,30473
2018-02-14,43.64,43.759,43.21,43.22,4261519,-0.74,-1.68%,43.22,185161641.13,32194
2018-02-13,43.92,44.15,43.24,43.96,3409886,0.20,0.46%,43.96,149298564.56,28043
2018-02-12,43.54,44.00,43.04,43.76,4518281,0.41,0.95%,43.76,196945610.97,35044
2018-02-09,42.51,43.66,42.45,43.35,5456053,0.91,2.14%,43.35,234402659.82,55891
2018-02-08,42.18,43.16,42.11,42.44,5260879,-0.02,-0.05%,42.44,224642200.57,46695
2018-02-07,41.57,43.29,41.51,42.46,3961146,-0.27,-0.63%,42.46,169353275.39,30151
2018-02-06,43.24,43.24,41.88,42.73,6022734,-0.90,-2.06%,42.73,256114149.48,60025
2018-02-05,44.42,44.75,43.59,43.63,3978799,-0.85,-1.91%,43.63,175317307.07,36908
