date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,74.87,75.58,74.69,75.24,14226706,0.68,0.91%,75.24,1069325829.65,78057
2018-03-09,74.82,75.06,74.21,74.56,19714061,0.44,0.59%,74.56,1469163998.90,100419
2018-03-08,74.50,74.77,73.69,74.12,19299848,-0.14,-0.19%,74.12,1431026756.05,88371
2018-03-07,75.00,75.24,73.56,74.26,27255463,-1.92,-2.52%,74.26,2021599042.76,140618
2018-03-06,76.67,76.98,75.861,76.18,10754291,-0.09,-0.12%,76.18,821141082.44,70417
2018-03-05,75.23,76.56,75.121,76.27,14890975,0.72,0.95%,76.27,1133995397.37,77231
2018-03-02,74.89,75.87,74.48,75.55,15630250,0.35,0.47%,75.55,1174465503.49,92998
2018-03-01,75.53,76.6808,74.855,75.20,15696665,-0.54,-0.71%,75.20,1185519003.70,104268
2018-02-28,78.16,78.25,75.70,75.74,17087816,-1.76,-2.27%,75.74,1308284630.91,82462
2018-02-27,79.00,79.87,77.50,77.50,14629517,-1.34,-1.70%,77.50,1148082448.93,90902
2018-02-26,77.74,78.93,77.56,78.84,16940419,1.31,1.69%,78.84,1330667168.10,80194
2018-02-23,76.09,77.62,75.95,77.53,13378795,1.67,2.20%,77.53,1031564911.09,70305
2018-02-22,75.30,76.84,75.185,75.86,14020186,0.97,1.30%,75.86,1067120604.17,75295
2018-02-21,75.82,76.435,74.87,74.89,11714985,-0.86,-1.14%,74.89,886164506.25,67051
2018-02-20,76.47,77.47,75.461,75.75,13387346,-0.79,-1.03%,75.75,1019367720.47,79332
2018-02-16,76.15,77.12,75.85,76.54,13722431,0.33,0.43%,76.54,1050325558.51,75990
2018-02-15,76.62,76.70,75.45,76.21,14432424,-0.25,-0.33%,76.21,1097150000.43,82050
2018-02-14,75.79,76.66,75.165,76.46,17188405,0.16,0.21%,76.46,1305136699.01,99017
2018-02-13,76.10,76.75,75.73,76.30,11926610,-0.12,-0.16%,76.30,910527928.52,73882
2018-02-12,77.05,77.621,75.841,76.42,19340419,0.64,0.84%,76.42,1481046428.65,105139
2018-02-09,76.25,76.48,73.90,75.78,29491592,0.48,0.64%,75.78,2218888900.25,165834
2018-02-08,77.44,77.58,76.03,76.07,25650789,-0.861,-1.13%,75.30,1969390242.29,146515
2018-02-07,78.44,79.41,76.92,76.94,21994450,-1.396,-1.80%,76.1612,1714347485.75,126431
2018-02-06,78.51,80.35,76.90,78.35,36262761,-1.356,-1.72%,77.5569,2834641678.41,222944
2018-02-05,83.28,83.99,78.13,79.72,30452693,-4.761,-5.69%,78.9131,2461549827.08,185557
2018-02-02,85.13,86.01,82.9978,84.53,29822144,-4.494,-5.10%,83.6744,2507402118.43,154092
2018-02-01,87.50,89.25,87.35,89.07,17971012,1.752,2.03%,88.1684,1588925751.77,96790
2018-01-31,86.56,87.47,86.33,87.30,14404736,0.515,0.60%,86.4163,1253849441.57,75082
2018-01-30,87.54,88.38,86.78,86.78,12407974,-1.218,-1.40%,85.9016,1082386173.23,66068
2018-01-29,88.59,89.30,87.95,88.01,9315696,-0.98,-1.11%,87.1192,824010247.93,49901
2018-01-26,88.64,89.00,88.47,89.00,10514408,0.624,0.71%,88.0991,933804856.77,42370
2018-01-25,88.55,88.87,88.20,88.37,11271867,-0.158,-0.18%,87.4755,997612158.99,63114
2018-01-24,88.49,88.918,88.01,88.53,10316111,0.228,0.26%,87.6339,913077860.15,54000
2018-01-23,88.25,88.46,87.74,88.30,10281817,0.049,0.06%,87.4062,906864330.63,47584
2018-01-22,87.17,88.29,87.05,88.25,10270380,1.089,1.26%,87.3567,902592606.63,49734
2018-01-19,87.57,87.76,86.61,87.15,13090032,-0.277,-0.32%,86.2679,1140476041.17,48941
2018-01-18,87.77,88.19,87.34,87.43,9223679,-0.564,-0.65%,86.545,807775799.12,47161
2018-01-17,87.20,88.21,86.93,88.00,10545961,1.02,1.18%,87.1093,925720617.85,58647
2018-01-16,87.74,87.76,86.60,86.97,10882786,-0.544,-0.63%,86.0897,947469094.12,54812
2018-01-12,87.20,87.99,87.18,87.52,9834511,0.584,0.68%,86.6341,860419321.81,54741
2018-01-11,86.36,87.37,85.93,86.93,14366028,0.841,0.99%,86.0501,1248376874.41,64068
2018-01-10,87.00,87.19,85.98,86.08,10822328,-0.683,-0.80%,85.2087,934863005.98,54042
2018-01-09,86.94,87.15,86.65,86.77,8131631,-0.366,-0.42%,85.8917,706532128.22,46704
2018-01-08,86.70,87.15,86.6034,87.14,10927088,0.386,0.45%,86.258,950480948.42,43439
2018-01-05,86.75,86.88,85.705,86.75,11047571,-0.069,-0.08%,85.8719,954131202.71,57996
2018-01-04,86.79,87.22,86.43,86.82,10863030,0.119,0.14%,85.9412,943074286.20,56683
2018-01-03,85.16,86.965,84.82,86.70,13957739,1.653,1.96%,85.8224,1203547332.27,76275
2018-01-02,83.82,85.195,83.66,85.03,11469254,1.376,1.66%,84.1693,969838214.34,59614
2017-12-29,84.00,84.20,83.64,83.64,8523411,-0.376,-0.45%,82.7934,714636292.29,33610
2017-12-28,83.98,84.05,83.80,84.02,7495254,0.119,0.14%,83.1696,629329415.68,34639
2017-12-27,83.99,84.10,83.74,83.90,7000612,-0.079,-0.10%,83.0508,587152018.37,34878
2017-12-26,83.96,84.36,83.90,83.98,4777216,0.01,0.01%,83.13,401532399.93,26148
2017-12-22,83.815,84.02,83.60,83.97,10161447,0.119,0.14%,83.1201,852094194.41,45528
2017-12-21,83.32,84.27,82.96,83.85,13578133,0.97,1.18%,83.0013,1138349135.21,66747
2017-12-20,82.63,83.14,82.5201,82.87,10620305,0.426,0.52%,82.0312,879568371.19,51802
2017-12-19,82.99,83.17,82.33,82.44,10285052,-0.495,-0.60%,81.6055,850012668.53,50753
2017-12-18,83.04,83.6744,82.91,82.94,9363466,-0.089,-0.11%,82.1005,779029003.95,46407
2017-12-15,83.10,83.28,82.87,83.03,26582332,0.129,0.16%,82.1896,2208326247.35,51304
2017-12-14,83.04,83.33,82.89,82.90,9492394,-0.218,-0.26%,82.0609,788228928.86,47395
2017-12-13,82.61,83.30,82.48,83.12,10172650,0.356,0.43%,82.2787,844517757.46,52524
