date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,57.92,58.60,57.53,58.42,1400776,0.75,1.30%,58.42,81593173.68,11800
2018-03-09,57.31,58.12,56.88,57.67,2030815,0.72,1.26%,57.67,116983323.14,10191
2018-03-08,56.47,57.20,56.35,56.95,1373551,0.52,0.92%,56.95,78092555.33,12557
2018-03-07,56.21,56.77,56.06,56.43,1856600,0.06,0.11%,56.43,104636111.97,12164
2018-03-06,55.83,56.63,55.68,56.37,1528968,0.51,0.91%,56.37,86006715.93,13639
2018-03-05,56.51,56.51,54.24,55.86,2180930,-1.10,-1.93%,55.86,120732540.14,17029
2018-03-02,53.92,57.24,53.39,56.96,3023438,1.67,3.02%,56.96,170108556.90,23854
2018-03-01,55.49,56.26,54.41,55.29,3126805,-0.77,-1.37%,55.29,173122090.72,31048
2018-02-28,57.39,57.61,56.00,56.06,2685441,-1.27,-2.22%,56.06,151873571.63,16889
2018-02-27,57.26,58.07,57.21,57.33,2653021,0.28,0.49%,57.33,152917323.54,18537
2018-02-26,57.77,57.80,56.58,57.05,4406054,-0.62,-1.08%,57.05,251068848.86,21788
2018-02-23,57.90,57.90,56.37,57.67,2120422,0.56,0.98%,57.67,121189475.16,15096
2018-02-22,58.13,58.47,57.06,57.11,1694600,-0.95,-1.64%,57.11,97577572.62,13502
2018-02-21,58.06,58.97,57.93,58.06,2299704,-0.09,-0.15%,58.06,134749247.13,14194
2018-02-20,58.42,59.17,57.98,58.15,2883431,-0.28,-0.48%,58.15,168418128.09,15801
2018-02-16,57.91,59.04,57.91,58.43,1939231,0.73,1.27%,58.43,113546635.02,15263
2018-02-15,57.69,57.89,56.90,57.70,1855256,0.52,0.91%,57.70,106785361.02,14906
2018-02-14,56.47,57.35,56.47,57.18,1836871,0.19,0.33%,57.18,104997871.84,14585
2018-02-13,56.79,57.27,56.20,56.99,1564851,-0.39,-0.68%,56.99,89242835.98,13242
2018-02-12,57.59,57.94,56.91,57.38,1577783,0.20,0.35%,57.38,90598605.00,13308
2018-02-09,57.12,57.89,56.445,57.18,3480729,0.33,0.58%,57.18,199431476.35,21132
2018-02-08,58.30,58.49,56.85,56.85,2747381,-1.45,-2.49%,56.85,158136502.98,17354
2018-02-07,58.09,59.15,54.28,58.30,2284053,-0.16,-0.27%,58.30,133888991.89,16203
2018-02-06,57.09,58.71,57.02,58.46,2072268,-0.08,-0.14%,58.46,120538845.76,17157
2018-02-05,60.06,60.54,58.53,58.54,2008112,-1.52,-2.53%,58.54,119541459.51,14066
2018-02-02,60.46,60.59,60.04,60.06,1374001,-0.67,-1.10%,60.06,82870273.45,9292
2018-02-01,60.55,60.94,60.29,60.73,1383650,-0.08,-0.13%,60.73,83924070.37,15290
2018-01-31,61.50,61.50,60.33,60.81,1918038,-0.59,-0.96%,60.81,116724757.32,13932
2018-01-30,61.86,62.27,61.12,61.40,1518484,-0.58,-0.94%,61.40,93220692.44,10510
2018-01-29,62.70,62.93,61.92,61.98,2042217,-0.86,-1.37%,61.98,127401538.71,13822
2018-01-26,62.76,62.92,62.13,62.84,1802578,0.03,0.05%,62.84,113100795.41,15035
2018-01-25,61.65,63.03,61.59,62.81,2563147,0.98,1.58%,62.81,160257193.15,17668
2018-01-24,61.68,62.50,61.26,61.83,5513243,0.66,1.08%,61.83,342479220.41,31153
