date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,79.50,79.67,77.81,78.09,883049,-1.39,-1.75%,78.09,69135789.75,8917
2018-03-09,77.70,79.52,77.59,79.48,1202787,2.29,2.97%,79.48,94953383.44,10772
2018-03-08,76.79,77.26,75.82,77.19,1092868,0.81,1.06%,77.19,83825113.25,7732
2018-03-07,74.45,76.54,74.36,76.38,1229483,1.10,1.46%,76.38,93426221.00,9423
2018-03-06,74.24,75.36,74.23,75.28,907477,1.42,1.92%,75.28,68115941.43,8974
2018-03-05,73.21,74.09,72.55,73.86,1023115,0.35,0.48%,73.86,75309528.72,7800
2018-03-02,72.75,73.75,72.28,73.51,910076,0.24,0.33%,73.51,66601556.78,9022
2018-03-01,74.50,74.705,72.44,73.27,1520149,-1.31,-1.76%,73.27,111763199.94,13506
2018-02-28,75.78,76.68,74.56,74.58,1001274,-1.17,-1.54%,74.58,75349374.96,8579
2018-02-27,76.37,76.62,75.73,75.75,813702,-0.51,-0.67%,75.75,61977446.91,8616
2018-02-26,76.25,76.61,75.55,76.26,1014280,0.33,0.43%,76.26,77250535.63,8348
2018-02-23,75.13,75.96,74.80,75.93,443521,0.88,1.17%,75.93,33478962.26,4913
2018-02-22,75.57,76.035,74.87,75.05,704651,-0.13,-0.17%,75.05,53154535.72,6732
2018-02-21,75.02,76.35,74.9003,75.18,1012199,0.45,0.60%,75.18,76575960.79,10293
2018-02-20,75.03,75.91,74.51,74.73,1169980,-0.50,-0.66%,74.73,87926064.35,10569
2018-02-16,74.54,75.90,74.37,75.23,956262,0.50,0.67%,75.23,71926634.82,8738
2018-02-15,73.89,74.83,73.18,74.73,1302705,1.42,1.94%,74.73,96637822.47,11431
2018-02-14,72.17,73.51,71.96,73.31,1368991,0.75,1.03%,73.31,99788253.77,11576
2018-02-13,71.45,72.95,71.43,72.77,987681,0.838,1.17%,72.56,71615847.56,9094
2018-02-12,71.27,72.60,71.00,71.93,1040463,1.107,1.57%,71.7224,74896401.42,10186
2018-02-09,70.98,71.30,68.38,70.82,1725181,0.578,0.83%,70.6156,120907490.32,14468
2018-02-08,71.74,72.15,70.21,70.24,1495019,-1.546,-2.16%,70.0373,106493957.36,12171
2018-02-07,71.27,72.86,71.12,71.79,1748941,0.459,0.64%,71.5828,126384603.20,15764
