date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,83.29,83.93,82.31,82.41,2666809,-0.54,-0.65%,82.41,220733189.01,21193
2018-03-09,82.59,83.28,82.26,82.95,1897727,0.53,0.64%,82.95,157347840.43,16197
2018-03-08,81.71,82.54,81.625,82.42,2377362,1.01,1.24%,82.42,195590162.43,14811
2018-03-07,80.72,81.56,80.44,81.41,1855847,0.03,0.04%,81.41,150611129.66,16507
2018-03-06,81.09,81.64,80.651,81.38,1968747,0.75,0.93%,81.38,159911797.95,18096
2018-03-05,79.95,80.86,79.72,80.63,1896081,0.34,0.42%,80.63,152433924.61,17348
2018-03-02,78.63,80.73,78.10,80.29,2776701,0.59,0.74%,80.29,221591449.54,25111
2018-03-01,80.98,81.72,79.24,79.70,2673980,-1.68,-2.06%,79.70,214457362.06,28066
2018-02-28,80.70,82.69,80.62,81.38,3629428,1.20,1.50%,81.38,297197631.75,28208
2018-02-27,80.60,81.01,80.18,80.18,2315789,-0.39,-0.48%,80.18,186279529.06,17613
2018-02-26,80.02,80.78,79.905,80.57,1790024,0.77,0.96%,80.57,143869845.98,17323
2018-02-23,78.66,79.8499,78.56,79.80,2329638,1.48,1.89%,79.80,184984602.54,20772
2018-02-22,77.90,78.83,77.90,78.32,1881110,0.51,0.66%,78.32,147439979.68,17189
2018-02-21,77.90,79.09,77.80,77.81,2209931,-0.27,-0.35%,77.81,173260716.35,20496
2018-02-20,78.07,78.74,77.37,78.08,2553725,-0.17,-0.22%,78.08,199479470.79,20547
2018-02-16,78.74,79.00,78.22,78.25,2688922,-0.72,-0.91%,78.25,211158511.70,19601
2018-02-15,78.24,79.29,77.89,78.97,2901896,1.09,1.40%,78.97,228271821.83,23632
2018-02-14,77.14,78.68,76.32,77.88,3108012,0.11,0.14%,77.88,241680281.19,28744
2018-02-13,77.44,77.975,77.13,77.77,1512668,0.06,0.08%,77.77,117534807.32,14263
2018-02-12,79.25,80.35,77.42,78.07,3023822,-1.234,-1.56%,77.71,236419576.25,29235
2018-02-09,77.29,80.09,76.43,79.31,5100433,2.996,3.94%,78.9443,398456133.94,49167
2018-02-08,78.01,81.109,75.88,76.30,4632845,-3.812,-4.78%,75.9482,361923179.17,34251
2018-02-07,80.07,81.94,80.00,80.13,3561068,-0.448,-0.56%,79.7605,288223770.32,30512
2018-02-06,78.35,80.83,76.35,80.58,3050096,0.776,0.98%,80.2084,242957980.31,25635
2018-02-05,82.07,82.95,79.49,79.80,2870315,-2.817,-3.42%,79.432,233208501.25,25382
2018-02-02,83.90,84.59,82.44,82.63,3161369,-1.344,-1.61%,82.249,262800330.80,27267
2018-02-01,84.24,84.47,83.45,83.98,1685275,-0.607,-0.72%,83.5928,141532586.41,15144
2018-01-31,84.62,85.05,84.25,84.59,2132134,0.00,0.00%,84.20,180538056.27,16619
2018-01-30,85.00,85.48,84.37,84.59,1779572,-1.881,-2.19%,84.20,150868220.46,14509
2018-01-29,86.09,86.93,85.93,86.48,2303333,0.279,0.32%,86.0812,199349486.38,14170
2018-01-26,85.68,86.24,85.21,86.20,1332647,0.538,0.63%,85.8025,114444495.36,11765
2018-01-25,85.32,85.82,84.62,85.66,929863,0.418,0.49%,85.265,79435999.75,8488
2018-01-24,85.97,86.10,84.95,85.24,1192932,-0.597,-0.70%,84.847,101835896.34,10092
2018-01-23,84.72,86.34,84.6627,85.84,2010054,0.926,1.10%,85.4442,172480420.17,15929
2018-01-22,83.81,84.92,83.67,84.91,1469255,1.095,1.31%,84.5185,124014075.64,10792
2018-01-19,83.43,83.91,83.34,83.81,1677686,0.707,0.85%,83.4236,140335343.60,11130
2018-01-18,83.18,83.4299,82.93,83.10,1015220,0.01,0.01%,82.7168,84431459.62,8550
2018-01-17,83.32,83.52,82.76,83.09,1678525,0.159,0.19%,82.7069,139536155.88,10308
2018-01-16,84.07,84.34,82.64,82.93,1391154,-0.687,-0.83%,82.5476,115866519.21,11541
2018-01-12,82.76,83.76,82.45,83.62,1377469,1.125,1.37%,83.2344,114977083.98,12438
2018-01-11,82.58,83.01,81.935,82.49,1352675,-0.06,-0.07%,82.1096,111366850.06,9315
2018-01-10,82.85,82.85,82.21,82.55,887313,-0.209,-0.25%,82.1694,73255406.00,8054
2018-01-09,83.07,83.1599,82.27,82.76,1701081,-0.219,-0.27%,82.3784,140700776.18,14462
2018-01-08,82.72,83.06,82.12,82.98,1599534,0.139,0.17%,82.5974,132358090.68,13491
2018-01-05,82.59,83.01,82.36,82.84,1927917,0.478,0.58%,82.458,159612817.17,17339
2018-01-04,81.75,82.59,81.53,82.36,1971969,0.826,1.02%,81.9802,161994050.87,15695
2018-01-03,81.23,81.82,81.1343,81.53,2554926,-0.07,-0.09%,81.1541,208037156.65,20911
2018-01-02,82.15,82.46,81.48,81.60,1747813,-0.01,-0.01%,81.2237,142958769.08,12830
2017-12-29,82.64,82.71,81.59,81.61,1347613,-1.055,-1.28%,81.2337,110177429.42,10361
2017-12-28,82.69,82.69,82.02,82.67,673301,0.269,0.33%,82.2888,55559601.39,5704
2017-12-27,82.34,82.56,81.70,82.40,1051921,0.209,0.26%,82.0201,86598427.51,6836
2017-12-26,82.39,82.44,81.97,82.19,666705,-0.209,-0.25%,81.811,54797920.03,5938
2017-12-22,82.69,82.78,82.00,82.40,919864,-0.10,-0.12%,82.0201,75772878.98,7088
2017-12-21,82.07,82.88,82.01,82.50,1662067,0.368,0.45%,82.1196,137128571.90,10071
2017-12-20,82.99,83.08,82.13,82.13,1157610,-0.727,-0.88%,81.7513,95353379.86,8899
