date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,120.91,121.12,117.82,118.26,2030422,-2.60,-2.15%,118.26,241001109.85,14660
2018-03-09,120.74,121.435,120.14,120.86,874600,0.65,0.54%,120.86,105715467.20,8498
2018-03-08,121.70,121.70,119.71,120.21,1272529,-0.79,-0.65%,120.21,153005364.60,9755
2018-03-07,117.33,121.66,117.33,121.00,1345883,2.91,2.46%,121.00,162091144.54,11484
2018-03-06,118.38,118.55,116.93,118.09,1106050,-0.04,-0.03%,118.09,130350322.95,9345
2018-03-05,116.64,118.66,116.26,118.13,1048505,1.08,0.92%,118.13,123551819.72,8398
2018-03-02,113.23,117.44,113.0101,117.05,1181906,3.50,3.08%,117.05,137396247.48,12253
2018-03-01,116.00,116.59,112.5201,113.55,1044619,-2.70,-2.32%,113.55,119093575.39,12348
2018-02-28,118.15,118.93,116.22,116.25,819691,-1.89,-1.60%,116.25,96039379.63,6988
2018-02-27,119.92,120.20,118.12,118.14,854944,-1.74,-1.45%,118.14,101520032.03,8939
2018-02-26,118.90,120.03,118.40,119.88,638580,1.03,0.87%,119.88,76315177.26,7000
2018-02-23,118.38,118.94,117.62,118.85,633298,1.27,1.08%,118.85,74992902.85,5740
2018-02-22,119.25,120.00,117.34,117.58,888237,-1.10,-0.93%,117.58,105112807.43,8305
2018-02-21,119.33,120.70,118.66,118.68,988644,-0.04,-0.03%,118.68,118169345.90,9984
2018-02-20,119.80,120.72,118.50,118.72,663733,-1.76,-1.46%,118.72,79102822.15,7320
2018-02-16,119.70,121.66,118.93,120.48,696599,0.69,0.58%,120.48,83952483.53,7008
2018-02-15,118.15,119.90,117.80,119.79,1266113,2.09,1.78%,119.79,151126009.07,10396
2018-02-14,115.23,117.96,115.23,117.70,760756,1.77,1.53%,117.70,89076646.17,8055
2018-02-13,115.83,116.18,114.87,115.93,1081107,-0.59,-0.51%,115.93,124922160.34,10669
2018-02-12,116.96,117.4935,115.05,116.52,1467568,0.13,0.11%,116.52,171112361.87,15900
2018-02-09,116.05,117.41,112.97,116.39,2145928,0.86,0.74%,116.39,247223390.61,23129
2018-02-08,120.50,120.64,115.50,115.53,1659191,-5.25,-4.35%,115.53,195295732.04,16984
2018-02-07,121.65,123.52,120.74,120.78,1145267,-1.52,-1.24%,120.78,139600461.05,12831
2018-02-06,121.00,122.93,119.50,122.30,2166000,-0.88,-0.71%,122.30,262947290.41,24276
2018-02-05,124.79,127.42,122.37,123.18,2098830,-2.61,-2.07%,123.18,261828761.26,19646
