date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,57.04,57.29,55.80,56.58,3135971,-0.46,-0.81%,56.58,176796803.27,23069
2018-03-09,56.75,57.05,56.31,57.04,1883086,0.94,1.68%,57.04,107047111.93,17480
2018-03-08,56.91,57.13,55.23,56.10,2059975,-0.83,-1.46%,56.10,115231198.79,16771
2018-03-07,55.83,57.08,55.83,56.93,1405389,0.39,0.69%,56.93,79650688.60,12668
2018-03-06,55.82,56.57,55.25,56.54,1600378,0.83,1.49%,56.54,89817076.67,15864
2018-03-05,54.39,55.99,53.97,55.71,4642696,0.90,1.64%,55.71,256659433.06,19445
2018-03-02,54.14,54.95,53.40,54.81,2226664,0.43,0.79%,54.81,121324653.30,20161
2018-03-01,55.11,55.66,54.10,54.38,2848473,-0.59,-1.07%,54.38,156218075.53,25749
2018-02-28,55.91,56.3099,54.94,54.97,3168442,-0.77,-1.38%,54.97,175826361.41,20557
2018-02-27,56.30,57.07,55.74,55.74,1715708,-0.55,-0.98%,55.74,96642551.21,16215
2018-02-26,56.10,56.31,55.37,56.29,1938282,0.61,1.10%,56.29,108454462.40,14688
2018-02-23,54.87,55.70,54.6772,55.68,2001563,0.96,1.75%,55.68,110326588.90,15551
2018-02-22,56.10,56.23,54.51,54.72,1836036,-1.14,-2.04%,54.72,101175026.33,16442
2018-02-21,55.04,56.57,54.70,55.86,2644766,0.89,1.62%,55.86,148325861.47,21631
2018-02-20,54.86,55.40,54.59,54.97,2093239,-0.10,-0.18%,54.97,114926440.49,16079
2018-02-16,54.61,55.36,54.50,55.07,2343121,0.30,0.55%,55.07,128982400.27,18001
2018-02-15,54.96,55.06,54.26,54.77,2250554,0.26,0.48%,54.77,123033646.16,19348
2018-02-14,52.39,54.7701,51.82,54.51,4791460,2.75,5.31%,54.51,258540018.37,41167
2018-02-13,51.59,52.18,51.51,51.96,1767073,-0.10,-0.19%,51.76,91767258.65,17983
2018-02-12,52.07,52.511,51.2901,52.06,2571306,0.418,0.81%,51.8596,133703072.80,24200
2018-02-09,51.60,52.05,49.99,51.64,2791747,0.926,1.83%,51.4412,142852750.38,25671
2018-02-08,54.02,54.33,50.70,50.71,3213092,-3.297,-6.13%,50.5148,167363201.93,31137
2018-02-07,52.23,54.315,52.22,54.02,6427280,1.494,2.86%,53.8121,345525328.14,42792
2018-02-06,50.41,52.76,49.761,52.52,3682542,0.867,1.68%,52.3179,190461282.14,38799
2018-02-05,53.54,54.16,51.22,51.65,3305284,-2.49,-4.62%,51.4512,174049033.39,27990
2018-02-02,54.77,55.61,53.98,54.15,4533570,-0.827,-1.51%,53.9416,248761777.88,23849
2018-02-01,53.79,55.00,53.59,54.98,3542047,0.946,1.76%,54.7684,193278577.58,19833
2018-01-31,53.96,54.86,53.87,54.03,2244164,0.10,0.19%,53.822,121761298.70,20093
2018-01-30,53.71,54.59,53.71,53.93,2444743,-0.259,-0.48%,53.7224,132412744.88,18539
2018-01-29,54.00,55.02,53.85,54.19,2841695,0.169,0.31%,53.9814,154817336.71,21817
2018-01-26,53.37,54.07,52.96,54.02,1676676,0.996,1.89%,53.8121,90005414.65,11680
2018-01-25,53.87,53.95,52.75,53.02,1964711,-0.717,-1.34%,52.8159,104417790.19,16545
2018-01-24,54.37,54.49,53.06,53.74,2260255,-0.428,-0.79%,53.5332,121416163.37,19543
2018-01-23,53.97,54.88,53.15,54.17,2941449,0.01,0.02%,53.9615,159344101.69,22968
2018-01-22,53.77,54.22,53.3049,54.16,2546884,0.428,0.80%,53.9515,137162086.35,21245
2018-01-19,52.63,53.75,52.63,53.73,2438860,0.867,1.65%,53.5232,130319647.57,17156
