date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,84.89,84.95,84.09,84.41,2316258,-0.11,-0.13%,84.41,195556777.95,15604
2018-03-09,83.06,85.05,82.9814,84.52,3028662,1.98,2.40%,84.52,254885155.31,20299
2018-03-08,82.00,82.85,81.9336,82.54,2458103,0.78,0.95%,82.54,202509697.22,15951
2018-03-07,80.98,81.96,80.97,81.76,2878607,0.25,0.31%,81.76,235008467.97,17283
2018-03-06,82.00,82.14,80.93,81.51,2102685,-0.38,-0.46%,81.51,171147957.26,18145
2018-03-05,81.01,82.57,80.70,81.89,2148473,0.61,0.75%,81.89,175953557.74,16341
2018-03-02,79.93,81.50,79.86,81.28,2027160,0.84,1.04%,81.28,164152169.70,17951
2018-03-01,80.86,81.57,79.83,80.44,3010275,-0.42,-0.52%,80.44,242415711.83,24858
2018-02-28,81.88,82.48,80.84,80.86,1968243,-0.81,-0.99%,80.86,160327120.84,17158
2018-02-27,83.01,83.37,81.61,81.67,2241050,-1.63,-1.96%,81.67,184318364.19,20876
2018-02-26,83.46,83.46,82.79,83.30,2211747,0.51,0.62%,83.30,183815632.44,18752
2018-02-23,81.17,82.93,81.00,82.79,2697182,2.03,2.51%,82.79,221837167.02,19207
2018-02-22,81.03,81.68,80.51,80.76,2417701,0.26,0.32%,80.76,195544856.06,19453
2018-02-21,80.37,81.78,80.31,80.50,3403364,0.15,0.19%,80.50,275952049.93,26726
2018-02-20,79.21,81.47,79.07,80.35,3646659,0.62,0.78%,80.35,293250437.60,30372
2018-02-16,78.15,80.08,78.15,79.73,3958865,1.23,1.57%,79.73,314751002.85,28411
2018-02-15,79.26,81.40,75.75,78.50,6022226,4.04,5.43%,78.50,467947538.15,39447
2018-02-14,72.79,74.57,72.78,74.46,2947751,1.22,1.67%,74.46,217861372.78,25874
2018-02-13,73.11,73.79,72.96,73.24,2416237,0.05,0.07%,73.24,177260805.15,15247
2018-02-12,72.94,74.04,72.60,73.19,3827959,0.84,1.16%,73.19,280789332.83,21673
2018-02-09,72.23,72.88,70.20,72.35,3296547,0.84,1.17%,72.35,236052719.20,28216
2018-02-08,73.96,74.56,71.50,71.51,2729966,-2.35,-3.18%,71.51,198050002.57,22666
